Rank,Movie,Release,Distributor,Genre,2005 Gross,Tickets Sold
1,Star Wars Ep. III: Revenge …,"May 19, 2005",20th Century Fox,Adventure,"$380,270,577","59,324,582"
2,Harry Potter and the Goblet…,"Nov 18, 2005",Warner Bros.,Adventure,"$275,132,632","42,922,407"
3,War of the Worlds,"Jun 29, 2005",Paramount Pictures,Action,"$234,280,354","36,549,197"
4,The Chronicles of Narnia: T…,"Dec 9, 2005",Walt Disney,Adventure,"$217,677,877","33,959,107"
5,Wedding Crashers,"Jul 15, 2005",New Line,Comedy,"$209,218,368","32,639,370"
6,Charlie and the Chocolate F…,"Jul 15, 2005",Warner Bros.,Adventure,"$206,459,076","32,208,904"
7,Batman Begins,"Jun 15, 2005",Warner Bros.,Action,"$205,343,774","32,034,910"
8,Madagascar,"May 27, 2005",Dreamworks SKG,Adventure,"$193,595,521","30,202,109"
9,Mr. And Mrs. Smith,"Jun 10, 2005",20th Century Fox,Action,"$186,336,279","29,069,622"
10,Hitch,"Feb 11, 2005",Sony Pictures,Romantic Comedy,"$177,784,257","27,735,453"
11,King Kong,"Dec 14, 2005",Universal,Adventure,"$168,505,310","26,287,879"
12,The Longest Yard,"May 27, 2005",Paramount Pictures,Comedy,"$158,119,460","24,667,622"
13,Fantastic Four,"Jul 8, 2005",20th Century Fox,Action,"$154,696,080","24,133,553"
14,Chicken Little,"Nov 4, 2005",Walt Disney,Adventure,"$131,944,653","20,584,189"
15,Robots,"Mar 11, 2005",20th Century Fox,Adventure,"$128,200,012","20,000,001"
16,Meet the Fockers,"Dec 22, 2004",Universal,Comedy,"$116,706,205","18,206,896"
17,The Pacifier,"Mar 4, 2005",Walt Disney,Comedy,"$113,006,880","17,629,778"
18,The 40 Year-old Virgin,"Aug 19, 2005",Universal,Comedy,"$109,449,237","17,074,763"
19,Million Dollar Baby,"Jan 21, 2005",Warner Bros.,Drama,"$99,378,637","15,503,687"
20,Walk the Line,"Nov 18, 2005",20th Century Fox,Drama,"$91,742,439","14,312,392"
21,Flightplan,"Sep 23, 2005",Walt Disney,Thriller/Suspense,"$89,132,263","13,905,189"
22,Saw II,"Oct 28, 2005",Lionsgate,Horror,"$87,014,325","13,574,777"
23,Monster-in-Law,"May 13, 2005",New Line,Comedy,"$82,931,301","12,937,800"
24,Are We There Yet?,"Jan 21, 2005",Sony Pictures,Romantic Comedy,"$82,674,398","12,897,721"
25,The Dukes of Hazzard,"Aug 5, 2005",Warner Bros.,Comedy,"$80,270,227","12,522,656"
26,March of the Penguins,"Jul 22, 2005",Warner Independent,Documentary,"$77,437,223","12,080,690"
27,Constantine,"Feb 18, 2005",Warner Bros.,Action,"$75,976,178","11,852,757"
28,The Ring Two,"Mar 18, 2005",Dreamworks SKG,Horror,"$75,941,727","11,847,383"
