Rank,Movie,Release,Distributor,Genre,2022 Gross,Tickets Sold
1,Top Gun: Maverick,"May 27, 2022",Paramount Pictures,Action,"$718,732,821","68,778,260"
2,Black Panther: Wakanda Forever,"Nov 11, 2022",Walt Disney,Action,"$438,291,367","41,941,757"
3,Doctor Strange in the Multi…,"May 6, 2022",Walt Disney,Action,"$411,331,607","39,361,876"
4,Avatar: The Way of Water,"Dec 16, 2022",20th Century Studios,Action,"$401,007,908","38,373,962"
5,Jurassic World: Dominion,"Jun 10, 2022",Universal,Action,"$376,851,080","36,062,304"
6,Minions: The Rise of Gru,"Jul 1, 2022",Universal,Comedy,"$369,695,210","35,377,532"
7,The Batman,"Mar 4, 2022",Warner Bros.,Action,"$369,345,583","35,344,075"
8,Thor: Love and Thunder,"Jul 8, 2022",Walt Disney,Action,"$343,256,830","32,847,543"
9,Spider-Man: No Way Home,"Dec 17, 2021",Sony Pictures,Action,"$241,130,301","23,074,670"
10,Sonic the Hedgehog 2,"Apr 8, 2022",Paramount Pictures,Adventure,"$190,872,904","18,265,350"
11,Black Adam,"Oct 21, 2022",Warner Bros.,Action,"$168,054,237","16,081,745"
12,Elvis,"Jun 24, 2022",Warner Bros.,Drama,"$151,040,048","14,453,593"
13,Uncharted,"Feb 18, 2022",Sony Pictures,Adventure,"$148,648,820","14,224,767"
14,Nope,"Jul 22, 2022",Universal,Horror,"$123,277,080","11,796,849"
15,Lightyear,"Jun 17, 2022",Walt Disney,Adventure,"$118,307,188","11,321,262"
16,Smile,"Sep 30, 2022",Paramount Pictures,Horror,"$105,935,048","10,137,325"
17,The Lost City,"Mar 25, 2022",Paramount Pictures,Adventure,"$105,344,029","10,080,768"
18,Bullet Train,"Aug 5, 2022",Sony Pictures,Thriller/Suspense,"$103,368,602","9,891,732"
19,The Bad Guys,"Apr 22, 2022",Universal,Comedy,"$97,233,630","9,304,653"
20,Fantastic Beasts: The Secre…,"Apr 15, 2022",Warner Bros.,Adventure,"$95,850,844","9,172,329"
21,DC League of Super Pets,"Jul 29, 2022",Warner Bros.,Adventure,"$93,657,117","8,962,404"
22,Where the Crawdads Sing,"Jul 15, 2022",Sony Pictures,Drama,"$90,230,760","8,634,522"
23,The Black Phone,"Jun 24, 2022",Universal,Horror,"$90,123,230","8,624,233"
24,Sing 2,"Dec 22, 2021",Universal,Adventure,"$86,307,835","8,259,122"
25,Scream,"Jan 14, 2022",Paramount Pictures,Horror,"$81,641,405","7,812,575"
26,Morbius,"Apr 1, 2022",Sony Pictures,Action,"$73,865,530","7,068,472"
27,Everything Everywhere All A…,"Mar 25, 2022",A24,Action,"$70,008,593","6,699,386"
28,Ticket to Paradise,"Oct 21, 2022",Universal,Romantic Comedy,"$68,229,160","6,529,106"
29,The Woman King,"Sep 16, 2022",Sony Pictures,Action,"$67,178,268","6,428,542"
30,Halloween Ends,"Oct 14, 2022",Universal,Horror,"$64,079,860","6,132,044"
31,Dog,"Feb 18, 2022",United Artists,Comedy,"$61,778,069","5,911,776"
32,Puss in Boots: The Last Wish,"Dec 21, 2022",Universal,Adventure,"$61,222,670","5,858,628"
33,jackass forever,"Feb 4, 2022",Paramount Pictures,Reality,"$57,743,451","5,525,689"
