Rank,Movie,Release,Distributor,Genre,2013 Gross,Tickets Sold
89,Kevin Hart: Let Me Explain,"Jul 3, 2013",Lionsgate,Concert/Perfor…,"$32,244,051","3,966,057"
90,Side Effects,"Feb 8, 2013",Open Road,Thriller/Suspense,"$32,172,757","3,957,288"
91,Scary Movie 5,"Apr 12, 2013",Weinstein Co.,Comedy,"$32,015,787","3,937,981"
92,Walking with Dinosaurs,"Dec 20, 2013",20th Century Fox,Adventure,"$31,344,185","3,855,373"
93,The Mortal Instruments: Cit…,"Aug 21, 2013",Sony Pictures,Adventure,"$31,165,421","3,833,385"
94,Delivery Man,"Nov 22, 2013",Walt Disney,Comedy,"$29,866,438","3,673,608"
95,One Direction: This is Us,"Aug 30, 2013",Sony Pictures,Concert/Perfor…,"$28,873,374","3,551,460"
96,Kick-Ass 2,"Aug 16, 2013",Universal,Action,"$28,795,985","3,541,941"
97,Rush,"Sep 20, 2013",Universal,Drama,"$26,947,624","3,314,590"
98,The Host,"Mar 29, 2013",Open Road,Thriller/Suspense,"$26,623,701","3,274,747"
99,The World's End,"Aug 23, 2013",Focus Features,Comedy,"$26,004,851","3,198,628"
100,Argo,"Oct 12, 2012",Warner Bros.,Thriller/Suspense,"$25,918,584","3,188,017"
101,21 and Over,"Mar 1, 2013",Relativity,Comedy,"$25,682,380","3,158,964"
102,Escape Plan,"Oct 18, 2013",Lionsgate,Thriller/Suspense,"$25,063,555","3,082,848"
103,Parental Guidance,"Dec 25, 2012",20th Century Fox,Adventure,"$24,927,598","3,066,125"
104,Grudge Match,"Dec 25, 2013",Warner Bros.,Comedy,"$24,846,211","3,056,114"
105,Don Jon,"Sep 27, 2013",Relativity,Romantic Comedy,"$24,475,193","3,010,478"
106,The Incredible Burt Wonders…,"Mar 15, 2013",Warner Bros.,Comedy,"$22,537,881","2,772,187"
107,The Big Wedding,"Apr 26, 2013",Lionsgate,Romantic Comedy,"$21,819,348","2,683,806"
108,Mud,"Apr 26, 2013",Roadside Attractions,Drama,"$21,590,086","2,655,607"
109,Baggage Claim,"Sep 27, 2013",Fox Searchlight,Romantic Comedy,"$21,569,509","2,653,076"
110,The Way Way Back,"Jul 5, 2013",Fox Searchlight,Comedy,"$21,502,690","2,644,857"
111,The Place Beyond the Pines,"Mar 29, 2013",Focus Features,Drama,"$21,403,519","2,632,659"
112,Homefront,"Nov 27, 2013",Open Road,Action,"$20,158,492","2,479,519"
113,Broken City,"Jan 18, 2013",20th Century Fox,Thriller/Suspense,"$19,701,164","2,423,267"
114,Philomena,"Nov 22, 2013",Weinstein Co.,Drama,"$19,586,311","2,409,140"
115,Beautiful Creatures ,"Feb 14, 2013",Warner Bros.,Drama,"$19,452,138","2,392,636"
116,Runner Runner,"Oct 4, 2013",20th Century Fox,Thriller/Suspense,"$19,316,646","2,375,971"
117,The Book Thief,"Nov 8, 2013",20th Century Fox,Drama,"$19,091,819","2,348,317"
118,You're Next,"Aug 23, 2013",Lionsgate,Horror,"$18,494,006","2,274,785"
119,Quartet,"Jan 11, 2013",Weinstein Co.,Comedy,"$18,388,357","2,261,790"
120,Paranormal Activity: The Ma…,,,Horror,"$18,343,611","2,256,286"
121,Admission,"Mar 22, 2013",Focus Features,Romantic Comedy,"$18,007,317","2,214,922"
122,Parker,"Jan 25, 2013",FilmDistrict,Thriller/Suspense,"$17,616,641","2,166,868"
123,Enough Said,"Sep 18, 2013",Fox Searchlight,Comedy,"$17,497,669","2,152,234"
124,Dark Skies,"Feb 22, 2013",Weinstein Co.,Horror,"$17,418,667","2,142,517"
125,The Counselor,"Oct 25, 2013",20th Century Fox,Thriller/Suspense,"$16,960,224","2,086,128"
126,Dallas Buyers Club,"Nov 1, 2013",Focus Features,Drama,"$16,300,843","2,005,023"
127,Jobs,"Aug 16, 2013",Open Road,Drama,"$16,131,410","1,984,183"
128,Fruitvale Station,"Jul 12, 2013",Weinstein Co.,Drama,"$16,098,998","1,980,196"
129,The Impossible,"Dec 21, 2012",Lionsgate,Drama,"$15,607,469","1,919,737"
130,Jack Reacher,"Dec 21, 2012",Paramount Pictures,Thriller/Suspense,"$15,373,522","1,890,962"
131,About Time,"Nov 1, 2013",Universal,Romantic Comedy,"$15,323,921","1,884,861"
132,The Last Exorcism Part II,"Mar 1, 2013",CBS Films,Horror,"$15,179,303","1,867,072"
133,Spring Breakers,"Mar 15, 2013",A24,Thriller/Suspense,"$14,124,286","1,737,304"
134,This is 40,"Dec 21, 2012",Universal,Comedy,"$13,289,310","1,634,601"
135,Texas Chainsaw 3D,"Jan 4, 2013",Lionsgate,Horror,"$12,597,475","1,549,504"
136,The Last Stand,"Jan 18, 2013",Lionsgate,Action,"$12,050,299","1,482,201"
137,Out of the Furnace,"Dec 4, 2013",Relativity,Drama,"$11,187,536","1,376,080"
138,Wreck-It Ralph,"Nov 2, 2012",Walt Disney,Adventure,"$10,911,037","1,342,070"
139,Dead Man Down,"Mar 8, 2013",FilmDistrict,Thriller/Suspense,"$10,895,295","1,340,134"
140,Getaway,"Aug 30, 2013",Warner Bros.,Thriller/Suspense,"$10,501,938","1,291,751"
141,Bullet to the Head,"Feb 1, 2013",Warner Bros.,Action,"$9,489,829","1,167,260"
142,Peeples,"May 10, 2013",Lionsgate,Romantic Comedy,"$9,177,065","1,128,790"
143,Battle of the Year 3D,"Sep 20, 2013",Sony Pictures,Drama,"$8,888,355","1,093,278"
144,Movie 43,"Jan 25, 2013",Relativity,Comedy,"$8,840,453","1,087,386"
145,Before Midnight,"May 24, 2013",Sony Pictures Cla…,Drama,"$8,110,621","997,616"
146,Machete Kills,"Oct 11, 2013",Open Road,Action,"$8,008,161","985,013"
147,Dhoom 3,"Dec 20, 2013",Yash Raj Films,Action,"$7,846,872","965,174"
148,Inside Llewyn Davis,"Dec 6, 2013",CBS Films,Drama,"$7,757,978","954,240"
149,Skyfall,"Nov 9, 2012",Sony Pictures,Action,"$7,555,911","929,386"
150,Paranoia,"Aug 16, 2013",Relativity,Thriller/Suspense,"$7,388,654","908,813"
151,Mandela: Long Walk to Freedom,"Nov 29, 2013",Weinstein Co.,Drama,"$7,061,587","868,583"
152,Black Nativity,"Nov 27, 2013",20th Century Fox,Musical,"$7,012,316","862,523"
153,Nebraska,"Nov 15, 2013",Paramount Pictures,Drama,"$7,003,296","861,414"
154,The Spectacular Now,"Aug 2, 2013",A24,Drama,"$6,852,971","842,923"
155,The Grandmaster,"Aug 23, 2013",Weinstein Co.,Drama,"$6,594,959","811,188"
156,Amour,"Dec 19, 2012",Sony Pictures Cla…,Drama,"$6,427,707","790,615"
157,Rise of the Guardians,"Nov 21, 2012",Paramount Pictures,Adventure,"$6,185,091","760,773"
158,All is Lost,"Oct 18, 2013",Roadside Attractions,Thriller/Suspense,"$6,047,207","743,813"
159,The Guilt Trip,"Dec 19, 2012",Paramount Pictures,Comedy,"$6,022,333","740,754"
160,Justin Bieber’s Believe,"Dec 25, 2013",Open Road,Documentary,"$5,962,982","733,454"
161,The Bling Ring,"Jun 14, 2013",A24,Drama,"$5,845,732","719,032"
162,Pulling Strings,"Oct 4, 2013",Lionsgate,Romantic Comedy,"$5,842,961","718,691"
163,Closed Circuit,"Aug 28, 2013",Focus Features,Thriller/Suspense,"$5,750,995","707,379"
164,"Monsters, Inc.","Nov 2, 2001",Walt Disney,Adventure,"$5,571,699","685,325"
165,The Wizard of Oz,"Sep 23, 2009",Warner Bros.,Musical,"$5,509,334","677,654"
166,Top Gun,"May 16, 1986",Paramount Pictures,Action,"$5,418,430","666,473"
167,Hubble 3D,"Mar 19, 2010",Warner Bros.,Documentary,"$5,361,957","659,527"
168,Chennai Express,"Aug 8, 2013",UTV Communications,Romantic Comedy,"$5,307,960","652,885"
169,The Company You Keep,"Apr 5, 2013",Sony Pictures Cla…,Thriller/Suspense,"$5,132,442","631,296"
170,20 Feet From Stardom,"Jun 14, 2013",RADiUS-TWC,Documentary,"$4,821,266","593,021"
171,Much Ado About Nothing,"Jun 7, 2013",Roadside Attractions,Romantic Comedy,"$4,328,850","532,453"
172,Frances Ha,"May 17, 2013",IFC Films,Comedy,"$4,066,826","500,224"
173,Yeh Jawaani Hai Deewani,"May 31, 2013",Eros Entertainment,,"$3,827,466","470,783"
174,The To Do List,"Jul 26, 2013",CBS Films,Comedy,"$3,491,669","429,479"
175,Metallica Through the Never,"Sep 27, 2013",Picturehouse,Concert/Perfor…,"$3,419,967","420,660"
176,Emperor,"Mar 8, 2013",Roadside Attractions,Drama,"$3,346,264","411,594"
177,Stand Up Guys,"Feb 1, 2013",Roadside Attractions,Drama,"$3,310,031","407,137"
178,The Fifth Estate,"Oct 18, 2013",Walt Disney,Drama,"$3,254,172","400,267"
179,Promised Land,"Dec 28, 2012",Focus Features,Drama,"$3,202,459","393,906"
180,The Twilight Saga: Breaking…,"Nov 16, 2012",Lionsgate,Drama,"$3,191,381","392,543"
181,Hyde Park on Hudson,"Dec 7, 2012",Focus Features,Drama,"$3,166,260","389,453"
182,In a World...,"Aug 9, 2013",Roadside Attractions,Comedy,"$2,963,271","364,485"
183,To the Arctic 3D,"Apr 20, 2012",Warner Bros.,Documentary,"$2,930,286","360,428"
184,Home Run,"Apr 19, 2013",Samuel Goldwyn Films,Drama,"$2,859,955","351,777"
185,Filly Brown,"Apr 19, 2013",Lionsgate,Drama,"$2,850,357","350,597"
186,Grace Unplugged,"Oct 4, 2013",Roadside Attractions,Drama,"$2,507,159","308,383"
187,The Sapphires,"Mar 22, 2013",Weinstein Co.,Musical,"$2,450,867","301,459"
188,Space Station,"Apr 19, 2002",IMAX Films,Documentary,"$2,436,846","299,735"
189,La Vie d'Adèle,"Oct 11, 2013",Mongrel Media,Drama,"$2,426,783","298,497"
190,The Gatekeepers,"Feb 1, 2013",Sony Pictures Cla…,Documentary,"$2,408,553","296,254"
191,I'm in Love with a Church Girl,"Oct 18, 2013",High Top Releasing,Drama,"$2,387,730","293,693"
192,No,"Feb 15, 2013",Sony Pictures Cla…,Drama,"$2,341,226","287,973"
193,Trance,"Apr 5, 2013",Fox Searchlight,Thriller/Suspense,"$2,322,593","285,681"
194,Renoir,"Mar 29, 2013",Samuel Goldwyn Films,Drama,"$2,291,047","281,801"
195,The East,"May 31, 2013",Fox Searchlight,Drama,"$2,274,649","279,784"
196,Oldboy,"Nov 27, 2013",FilmDistrict,Action,"$2,193,658","269,822"
197,2013 Oscar Shorts,"Feb 1, 2013",Shorts International,Multiple Genres,"$2,142,342","263,510"
198,Hotel Transylvania,"Sep 28, 2012",Sony Pictures,Adventure,"$2,140,687","263,307"
199,Austenland,"Aug 16, 2013",Sony Pictures Cla…,Romantic Comedy,"$2,137,573","262,924"
200,Krrish 3,"Nov 1, 2013",Eros Entertainment,,"$2,123,333","261,172"
201,Blackfish,"Jul 19, 2013",Magnolia Pictures,Documentary,"$2,073,582","255,053"
202,The Iceman,"May 3, 2013",Alchemy,Drama,"$1,930,282","237,427"
203,Fill the Void,"May 24, 2013",Sony Pictures Cla…,Drama,"$1,774,639","218,282"
204,Stoker,"Mar 1, 2013",Fox Searchlight,Drama,"$1,703,125","209,486"
205,Unfinished Song,"Jun 21, 2013",Weinstein Co.,Comedy,"$1,698,952","208,973"
206,Cirque du Soleil: Worlds Away,"Dec 21, 2012",Paramount Pictures,Adventure,"$1,634,500","201,045"
207,The Christmas Candle,"Nov 15, 2013",Echolight Studios,Adventure,"$1,632,000","200,738"
208,Love Is All You Need,"May 3, 2013",Sony Pictures Cla…,Romantic Comedy,"$1,631,306","200,652"
209,Bhaag Milkha Bhaag,"Jul 12, 2013",Reliance Big Pict…,,"$1,626,289","200,035"
210,The Attack,"Jun 21, 2013",Cohen Media Group,Drama,"$1,625,707","199,963"
211,Seethamma Vakitlo Sirimalle…,"Jan 10, 2013",Ficus,Comedy,"$1,582,476","194,646"
212,Race 2,"Jan 25, 2013",UTV Communications,Action,"$1,579,940","194,334"
213,Flying Monsters 3D,"Oct 6, 2011",National Geograph…,Documentary,"$1,574,271","193,637"
214,The Saratov Approach,"Oct 9, 2013",Purdie Distribution,Thriller/Suspense,"$1,573,124","193,496"
215,"Bless Me, Ultima","Feb 22, 2013",Arenas Entertainment,Drama,"$1,559,556","191,827"
216,Beasts of the Southern Wild,"Jun 27, 2012",Fox Searchlight,Drama,"$1,546,618","190,235"
217,Kon-Tiki,"Apr 26, 2013",Weinstein Co.,Drama,"$1,517,410","186,643"
218,Atharintiki Daaredi,"Sep 27, 2013",,,"$1,500,000","184,501"
219,Disconnect,"Apr 12, 2013",LD Entertainment,Drama,"$1,436,862","176,735"
220,Girl Most Likely,"Jul 19, 2013",Roadside Attractions,Comedy,"$1,378,591","169,568"
221,I'm So Excited,"Jun 28, 2013",Sony Pictures Cla…,Comedy,"$1,359,796","167,256"
222,Stories We Tell,"Oct 12, 2012",Mongrel Media,Documentary,"$1,358,516","167,099"
223,Wadjda,"Sep 13, 2013",Sony Pictures Cla…,Drama,"$1,342,455","165,123"
224,Born to be Wild 3D,"Apr 8, 2011",Warner Bros.,Documentary,"$1,334,377","164,130"
225,The Ultimate Life,"Sep 6, 2013",High Top Releasing,Drama,"$1,327,841","163,326"
226,The Kings of Summer,"May 31, 2013",CBS Films,Comedy,"$1,315,500","161,808"
227,Flight,"Nov 2, 2012",Paramount Pictures,Drama,"$1,284,009","157,934"
228,Anna Karenina,"Nov 16, 2012",Focus Features,Drama,"$1,278,604","157,269"
229,Rust & Bone,"Nov 23, 2012",Sony Pictures Cla…,Drama,"$1,195,433","147,039"
230,Inequality for All,"Sep 27, 2013",RADiUS-TWC,Documentary,"$1,192,778","146,713"
231,Here Comes the Boom,"Oct 12, 2012",Sony Pictures,Comedy,"$1,189,316","146,287"
232,The Lords of Salem,"Apr 19, 2013",Anchor Bay Entert…,Horror,"$1,165,881","143,404"
233,Romeo & Juliet,"Oct 11, 2013",Relativity,Drama,"$1,162,635","143,005"
234,Still Mine,"May 3, 2013",Mongrel Media,Drama,"$1,154,466","142,000"
235,Under the Sea 3D,"Feb 13, 2009",Warner Bros.,Documentary,"$1,142,800","140,565"
236,Kai Po Che,"Feb 22, 2013",UTV Communications,Drama,"$1,122,527","138,072"
237,Thanks for Sharing,"Sep 20, 2013",Roadside Attractions,Comedy,"$1,066,256","131,150"
238,Special 26,"Feb 8, 2013",Viva Entertainment,Drama,"$1,065,938","131,111"
239,What Maisie Knew,"May 3, 2013",Alchemy,Drama,"$1,065,000","130,996"
240,Phantom,"Mar 1, 2013",RCR Media Group,Thriller/Suspense,"$1,034,589","127,255"
241,Ginger & Rosa,"Mar 15, 2013",A24,Drama,"$1,012,973","124,596"
242,Short Term 12,"Aug 23, 2013",Cinedigm,Drama,"$1,007,582","123,933"
243,From Up on Poppy Hill,"Mar 15, 2013",GKIDS,Drama,"$1,000,878","123,109"
244,Lore,"Feb 8, 2013",Music Box Films,Drama,"$970,325","119,351"
245,The Great Beauty,"Nov 15, 2013",Janus Films,Drama,"$948,906","116,716"
246,Red Dawn,"Nov 21, 2012",Open Road,Action,"$929,740","114,359"
247,Searching for Sugar Man,"Jul 27, 2012",Sony Pictures Cla…,Documentary,"$906,423","111,491"
248,A Royal Affair,"Nov 9, 2012",Magnolia Pictures,Drama,"$887,413","109,152"
249,Generation Iron,"Sep 20, 2013",Docurama,Documentary,"$849,521","104,492"
250,Girl Rising,"Mar 7, 2013",Gathr Films,Documentary,"$849,484","104,487"
251,Meerkats,"May 26, 2012",National Geograph…,Documentary,"$845,613","104,011"
252,Only God Forgives,"Jul 19, 2013",Radius,Thriller/Suspense,"$775,849","95,430"
253,Kill Your Darlings,"Oct 18, 2013",Sony Pictures Cla…,Drama,"$760,506","93,543"
254,Raanjhanaa,"Jun 21, 2013",Eros Entertainment,Drama,"$756,233","93,017"
255,Satyagraha,"Aug 30, 2013",UTV Communications,Drama,"$738,525","90,839"
256,On the Road,"Dec 21, 2012",IFC Films,Drama,"$720,828","88,662"
257,Hannah Arendt,"May 29, 2013",Zeitgeist,Drama,"$717,205","88,217"
258,Burn,"Jul 20, 2012","Callbox, LLC",Documentary,"$693,125","85,255"
259,The Hunt,"Jul 12, 2013",Magnolia Pictures,Drama,"$687,185","84,524"
260,56 Up,"Jan 4, 2013",First Run Features,Documentary,"$679,190","83,541"
261,Muscle Shoals,"Sep 27, 2013",Magnolia Pictures,Documentary,"$671,810","82,633"
262,Parkland,"Oct 4, 2013",Exclusive Releasing,Drama,"$641,439","78,897"
263,Deep Sea 3-D,"Mar 3, 2006",Warner Bros.,Documentary,"$611,380","75,200"
264,Fanny,"Dec 20, 2013",Mongrel Media,Drama,"$596,197","73,332"
265,To the Wonder,"Apr 12, 2013",Magnolia Pictures,Drama,"$584,563","71,901"
266,Salinger,"Sep 6, 2013",Weinstein Co.,Documentary,"$583,633","71,787"
267,Taken 2,"Oct 5, 2012",20th Century Fox,Thriller/Suspense,"$569,523","70,052"
268,The Lost Medallion: The Adv…,"Mar 1, 2013",Freestyle Releasing,Adventure,"$549,632","67,605"
269,The Reluctant Fundamentalist,"Apr 26, 2013",IFC Films,Drama,"$528,731","65,034"
270,Museum Hours,"Jun 28, 2013",Cinema Guild,Drama,"$526,804","64,797"
271,Hitchcock,"Nov 23, 2012",Fox Searchlight,Drama,"$519,781","63,933"
272,Scatter My Ashes at Bergdorf's,"May 3, 2013",Entertainment One,Documentary,"$516,719","63,557"
273,Haute Cuisine,"Sep 20, 2013",Weinstein Co.,Comedy,"$510,587","62,802"
274,The Inevitable Defeat of Mi…,"Oct 11, 2013",Codeblack Enterta…,Drama,"$494,608","60,837"
275,The Face Reader,"Oct 4, 2013",Pan Media & Enter…,Drama,"$484,112","59,546"
276,August: Osage County,"Dec 25, 2013",Weinstein Co.,Black Comedy,"$481,684","59,247"
277,The Act of Killing,"Jul 19, 2013",Drafthouse Films,Documentary,"$461,777","56,799"
278,New World,"Mar 22, 2013",Well Go USA,Thriller/Suspense,"$450,222","55,377"
279,Upstream Color,"Apr 5, 2013",erbp Film,Drama,"$444,098","54,624"
280,Sound City,"Jan 31, 2013",Variance Films,Documentary,"$422,853","52,011"
281,A Hijacking,"Jun 21, 2013",Magnolia Pictures,Thriller/Suspense,"$414,437","50,976"
282,Ain't Them Bodies Saints,"Aug 16, 2013",IFC Films,Drama,"$391,611","48,168"
283,Besharam,"Oct 2, 2013",Reliance Big Pict…,Romantic Comedy,"$388,915","47,837"
284,In the House,"Apr 19, 2013",Cohen Media Group,Drama,"$388,044","47,729"
285,Alceste a bicyclette,"May 3, 2013",Mongrel Media,Comedy,"$381,269","46,896"
286,At Any Price,"Apr 24, 2013",Sony Pictures Cla…,Drama,"$379,791","46,714"
287,Dirty Wars,"Jun 7, 2013",IFC Films,Documentary,"$371,245","45,663"
288,The Sessions,"Oct 19, 2012",Fox Searchlight,Drama,"$370,427","45,562"
289,Shootout at Wadala,"May 3, 2013",Eros Entertainment,Action,"$369,310","45,425"
290,Hava Nagila: The Movie,"Mar 1, 2013",International Fil…,Documentary,"$368,724","45,353"
291,Shuddh Desi Romance,"Sep 6, 2013",Yash Raj Films,Romantic Comedy,"$366,000","45,018"
292,Inch'Allah,"Sep 28, 2012",Entertainment One,Drama,"$356,297","43,824"
