Rank,Movie,Release,Distributor,Genre,2013 Gross,Tickets Sold
1,Iron Man 3,"May 3, 2013",Walt Disney,Action,"$408,992,272","50,306,552"
2,The Hunger Games: Catching …,"Nov 22, 2013",Lionsgate,Adventure,"$407,139,699","50,078,683"
3,Despicable Me 2,"Jul 3, 2013",Universal,Adventure,"$367,956,735","45,259,130"
4,Frozen,"Nov 27, 2013",Walt Disney,Musical,"$296,691,729","36,493,447"
5,Man of Steel,"Jun 14, 2013",Warner Bros.,Action,"$291,045,518","35,798,956"
6,Monsters University,"Jun 21, 2013",Walt Disney,Adventure,"$268,488,329","33,024,394"
7,Gravity,"Oct 4, 2013",Warner Bros.,Thriller/Suspense,"$255,621,667","31,441,779"
8,Fast and Furious 6,"May 24, 2013",Universal,Action,"$238,679,850","29,357,915"
9,Oz the Great and Powerful,"Mar 8, 2013",Walt Disney,Adventure,"$234,770,996","28,877,121"
10,The Hobbit: The Desolation …,"Dec 13, 2013",Warner Bros.,Adventure,"$228,934,309","28,159,201"
11,Star Trek Into Darkness,"May 16, 2013",Paramount Pictures,Adventure,"$228,778,661","28,140,056"
12,Thor: The Dark World,"Nov 8, 2013",Walt Disney,Action,"$203,449,204","25,024,502"
13,World War Z,"Jun 21, 2013",Paramount Pictures,Action,"$202,359,711","24,890,493"
14,The Croods,"Mar 22, 2013",20th Century Fox,Adventure,"$187,168,425","23,021,946"
15,The Heat,"Jun 28, 2013",20th Century Fox,Comedy,"$159,581,587","19,628,731"
16,We’re the Millers,"Aug 7, 2013",Warner Bros.,Comedy,"$150,394,119","18,498,661"
17,The Great Gatsby,"May 10, 2013",Warner Bros.,Drama,"$144,840,419","17,815,549"
18,The Conjuring,"Jul 19, 2013",Warner Bros.,Horror,"$137,400,141","16,900,386"
19,Identity Thief,"Feb 8, 2013",Universal,Comedy,"$134,506,920","16,544,516"
20,Grown Ups 2,"Jul 12, 2013",Sony Pictures,Comedy,"$133,668,525","16,441,392"
21,The Wolverine,"Jul 26, 2013",20th Century Fox,Action,"$132,556,852","16,304,655"
22,G.I. Joe: Retaliation,"Mar 27, 2013",Paramount Pictures,Action,"$122,523,060","15,070,487"
23,Now You See Me,"May 31, 2013",Lionsgate,Thriller/Suspense,"$117,723,989","14,480,195"
24,Cloudy with a Chance of Mea…,"Sep 27, 2013",Sony Pictures,Adventure,"$117,614,237","14,466,695"
25,Lee Daniels' The Butler,"Aug 16, 2013",Weinstein Co.,Drama,"$116,293,662","14,304,263"
26,The Hangover 3,"May 23, 2013",Warner Bros.,Comedy,"$112,200,072","13,800,746"
27,Anchorman 2: The Legend Con…,"Dec 18, 2013",Paramount Pictures,Comedy,"$108,773,941","13,379,328"
28,Epic,"May 24, 2013",20th Century Fox,Adventure,"$107,518,682","13,224,930"
29,Captain Phillips,"Oct 11, 2013",Sony Pictures,Drama,"$104,834,734","12,894,801"
30,Pacific Rim,"Jul 12, 2013",Warner Bros.,Action,"$101,802,906","12,521,882"
31,Jackass Presents: Bad Grandpa,"Oct 25, 2013",Paramount Pictures,Comedy,"$101,625,444","12,500,054"
32,This is the End,"Jun 12, 2013",Sony Pictures,Comedy,"$101,470,202","12,480,959"
33,Olympus Has Fallen,"Mar 22, 2013",FilmDistrict,Thriller/Suspense,"$98,927,592","12,168,215"
34,Silver Linings Playbook,"Nov 16, 2012",Weinstein Co.,Drama,"$97,416,189","11,982,311"
35,42,"Apr 12, 2013",Warner Bros.,Drama,"$95,020,213","11,687,603"
36,Elysium,"Aug 9, 2013",Sony Pictures,Action,"$93,050,117","11,445,278"
37,Zero Dark Thirty,"Dec 19, 2012",Sony Pictures,Thriller/Suspense,"$91,314,578","11,231,805"
38,Disney Planes,"Aug 9, 2013",Walt Disney,Adventure,"$90,282,580","11,104,868"
39,The Lone Ranger,"Jul 2, 2013",Walt Disney,Western,"$89,302,115","10,984,269"
40,Oblivion,"Apr 19, 2013",Universal,Thriller/Suspense,"$89,107,235","10,960,299"
41,American Hustle,"Dec 13, 2013",Sony Pictures,Black Comedy,"$87,903,772","10,812,272"
42,Insidious Chapter 2,"Sep 13, 2013",FilmDistrict,Horror,"$83,586,447","10,281,235"
43,Turbo,"Jul 17, 2013",20th Century Fox,Adventure,"$83,028,130","10,212,562"
44,2 Guns,"Aug 2, 2013",Universal,Action,"$75,612,460","9,300,425"
45,White House Down,"Jun 28, 2013",Sony Pictures,Thriller/Suspense,"$73,103,784","8,991,855"
46,Mama,"Jan 18, 2013",Universal,Horror,"$71,628,180","8,810,354"
47,Safe Haven,"Feb 14, 2013",Relativity,Drama,"$71,399,120","8,782,179"
48,The Smurfs 2,"Jul 31, 2013",Sony Pictures,Adventure,"$71,017,784","8,735,274"
49,The Best Man Holiday,"Nov 15, 2013",Universal,Comedy,"$70,492,685","8,670,686"
50,Percy Jackson: Sea of Monsters,"Aug 7, 2013",20th Century Fox,Adventure,"$68,518,210","8,427,824"
51,A Good Day to Die Hard,"Feb 14, 2013",20th Century Fox,Action,"$67,349,198","8,284,034"
52,Warm Bodies,"Feb 1, 2013",Lionsgate,Romantic Comedy,"$66,380,662","8,164,903"
53,Jack the Giant Slayer,"Mar 1, 2013",Warner Bros.,Adventure,"$65,187,603","8,018,155"
54,The Purge,"Jun 7, 2013",Universal,Horror,"$64,473,115","7,930,272"
55,The Wolf of Wall Street,"Dec 25, 2013",Paramount Pictures,Black Comedy,"$63,173,956","7,770,474"
56,Last Vegas,"Nov 1, 2013",CBS Films,Comedy,"$63,112,318","7,762,892"
57,Ender's Game,"Nov 1, 2013",Lionsgate,Adventure,"$61,656,849","7,583,868"
58,Prisoners,"Sep 20, 2013",Warner Bros.,Thriller/Suspense,"$61,002,302","7,503,358"
59,After Earth,"May 31, 2013",Sony Pictures,Action,"$60,522,097","7,444,292"
60,Saving Mr. Banks,"Dec 20, 2013",Walt Disney,Drama,"$58,958,280","7,251,940"
61,Escape From Planet Earth,"Feb 15, 2013",Weinstein Co.,Adventure,"$57,012,977","7,012,666"
62,Django Unchained,"Dec 25, 2012",Weinstein Co.,Western,"$56,525,312","6,952,682"
63,Hansel & Gretel: Witch Hunters,"Jan 25, 2013",Paramount Pictures,Action,"$55,703,475","6,851,595"
64,Free Birds,"Nov 1, 2013",Relativity,Adventure,"$54,894,525","6,752,094"
65,Evil Dead,"Apr 5, 2013",Sony Pictures,Horror,"$54,239,856","6,671,569"
66,RED 2,"Jul 19, 2013",Lionsgate,Action,"$53,262,560","6,551,360"
67,Tyler Perry’s Temptation,"Mar 29, 2013",Lionsgate,Drama,"$51,975,354","6,393,032"
68,The Call,"Mar 15, 2013",Sony Pictures,Thriller/Suspense,"$51,872,378","6,380,366"
69,Tyler Perry's A Madea Chris…,"Dec 13, 2013",Lionsgate,Comedy,"$50,227,277","6,178,016"
70,Pain & Gain,"Apr 26, 2013",Paramount Pictures,Action,"$49,875,291","6,134,722"
71,Gangster Squad,"Jan 11, 2013",Warner Bros.,Action,"$46,000,903","5,658,167"
72,The Secret Life of Walter M…,"Dec 25, 2013",20th Century Fox,Adventure,"$45,470,954","5,592,983"
73,Jurassic Park,"Aug 26, 1994",Universal,Adventure,"$45,385,935","5,582,525"
74,Les Misérables,"Dec 25, 2012",Universal,Musical,"$45,306,730","5,572,783"
75,The Internship,"Jun 7, 2013",20th Century Fox,Comedy,"$44,672,764","5,494,804"
76,Instructions Not Included,"Aug 30, 2013",Lionsgate,Comedy,"$44,467,206","5,469,521"
77,Snitch,"Feb 22, 2013",Lionsgate,Thriller/Suspense,"$42,930,462","5,280,499"
78,Riddick,"Sep 6, 2013",Universal,Action,"$42,025,135","5,169,143"
79,A Haunted House,"Jan 11, 2013",Open Road,Comedy,"$40,041,683","4,925,176"
80,The Hobbit: An Unexpected J…,"Dec 14, 2012",Warner Bros.,Adventure,"$39,168,675","4,817,795"
81,12 Years a Slave,"Oct 18, 2013",Fox Searchlight,Drama,"$38,472,086","4,732,113"
82,Lincoln,"Nov 9, 2012",Walt Disney,Drama,"$38,118,927","4,688,674"
83,The Family,"Sep 13, 2013",Relativity,Black Comedy,"$36,917,730","4,540,926"
84,Carrie,"Oct 18, 2013",Sony Pictures,Horror,"$35,266,619","4,337,837"
85,Life of Pi,"Nov 21, 2012",20th Century Fox,Drama,"$33,947,534","4,175,588"
86,R.I.P.D.,"Jul 19, 2013",Universal,Action,"$33,618,855","4,135,160"
87,Blue Jasmine,"Jul 26, 2013",Sony Pictures Cla…,Comedy,"$32,744,634","4,027,630"
88,47 Ronin,"Dec 25, 2013",Universal,Action,"$32,687,680","4,020,624"
