Rank,Movie,Release,Distributor,Genre,2012 Gross,Tickets Sold
1,The Avengers,"May 4, 2012",Walt Disney,Action,"$623,357,910","78,311,295"
2,The Dark Knight Rises,"Jul 20, 2012",Warner Bros.,Action,"$448,139,099","56,298,881"
3,The Hunger Games,"Mar 23, 2012",Lionsgate,Thriller/Suspense,"$408,010,692","51,257,624"
4,Skyfall,"Nov 9, 2012",Sony Pictures,Action,"$296,804,366","37,286,980"
5,The Twilight Saga: Breaking…,"Nov 16, 2012",Lionsgate,Drama,"$289,133,356","36,323,285"
6,The Hobbit: An Unexpected J…,"Dec 14, 2012",Warner Bros.,Adventure,"$263,834,893","33,145,087"
7,The Amazing Spider-Man,"Jul 3, 2012",Sony Pictures,Adventure,"$262,030,663","32,918,425"
8,Brave,"Jun 22, 2012",Walt Disney,Adventure,"$237,277,071","29,808,677"
9,Ted,"Jun 29, 2012",Universal,Comedy,"$218,665,740","27,470,570"
10,Madagascar 3: Europe's Most…,"Jun 8, 2012",Paramount Pictures,Adventure,"$216,391,482","27,184,859"
11,Dr. Seuss' The Lorax,"Mar 2, 2012",Universal,Adventure,"$214,030,500","26,888,253"
12,Men in Black 3,"May 25, 2012",Sony Pictures,Adventure,"$179,020,854","22,490,057"
13,Wreck-It Ralph,"Nov 2, 2012",Walt Disney,Adventure,"$178,501,640","22,424,829"
14,Ice Age: Continental Drift,"Jul 13, 2012",20th Century Fox,Adventure,"$161,204,082","20,251,769"
15,Snow White and the Huntsman,"Jun 1, 2012",Universal,Adventure,"$155,136,755","19,489,542"
16,Hotel Transylvania,"Sep 28, 2012",Sony Pictures,Adventure,"$146,172,361","18,363,361"
17,Lincoln,"Nov 9, 2012",Walt Disney,Drama,"$144,089,046","18,101,638"
18,Taken 2,"Oct 5, 2012",20th Century Fox,Thriller/Suspense,"$139,284,764","17,498,085"
19,21 Jump Street,"Mar 16, 2012",Sony Pictures,Comedy,"$138,447,667","17,392,922"
20,Prometheus,"Jun 8, 2012",20th Century Fox,Thriller/Suspense,"$126,477,084","15,889,080"
21,Safe House,"Feb 10, 2012",Universal,Thriller/Suspense,"$126,181,630","15,851,963"
22,The Vow,"Feb 10, 2012",Sony Pictures,Drama,"$125,014,030","15,705,280"
23,Magic Mike,"Jun 29, 2012",Warner Bros.,Comedy,"$113,721,571","14,286,629"
24,The Bourne Legacy,"Aug 10, 2012",Universal,Thriller/Suspense,"$113,203,870","14,221,591"
25,Argo,"Oct 12, 2012",Warner Bros.,Thriller/Suspense,"$110,106,919","13,832,527"
26,Django Unchained,"Dec 25, 2012",Weinstein Co.,Western,"$106,280,122","13,351,774"
27,Journey 2: The Mysterious I…,"Feb 10, 2012",Warner Bros.,Adventure,"$103,860,290","13,047,775"
28,Les Misérables,"Dec 25, 2012",Universal,Musical,"$103,503,040","13,002,894"
29,Rise of the Guardians,"Nov 21, 2012",Paramount Pictures,Adventure,"$97,227,667","12,214,531"
30,Flight,"Nov 2, 2012",Paramount Pictures,Drama,"$92,488,366","11,619,141"
31,Think Like a Man,"Apr 20, 2012",Sony Pictures,Romantic Comedy,"$91,547,205","11,500,905"
32,Life of Pi,"Nov 21, 2012",20th Century Fox,Drama,"$91,039,488","11,437,121"
33,The Campaign,"Aug 10, 2012",Warner Bros.,Comedy,"$86,907,746","10,918,058"
34,The Expendables 2,"Aug 17, 2012",Lionsgate,Action,"$85,028,192","10,681,933"
35,Wrath of the Titans,"Mar 30, 2012",Warner Bros.,Adventure,"$83,670,083","10,511,316"
36,Dark Shadows,"May 11, 2012",Warner Bros.,Black Comedy,"$79,727,149","10,015,973"
37,John Carter ,"Mar 9, 2012",Walt Disney,Adventure,"$73,058,679","9,178,226"
38,Act of Valor,"Feb 24, 2012",Relativity,Action,"$70,012,847","8,795,583"
39,Mission: Impossible—Ghost P…,"Dec 21, 2011",Paramount Pictures,Action,"$68,211,257","8,569,253"
40,Contraband,"Jan 13, 2012",Universal,Action,"$66,528,000","8,357,788"
41,Looper,"Sep 28, 2012",Sony Pictures,Action,"$66,486,205","8,352,538"
42,Tyler Perry's Madea's Witne…,"Jun 29, 2012",Lionsgate,Comedy,"$65,653,242","8,247,894"
43,Battleship,"May 18, 2012",Universal,Action,"$65,233,400","8,195,150"
44,Mirror Mirror,"Mar 30, 2012",Relativity,Adventure,"$64,935,167","8,157,684"
45,Jack Reacher,"Dec 21, 2012",Paramount Pictures,Thriller/Suspense,"$64,697,214","8,127,790"
46,Pitch Perfect,"Oct 5, 2012",Universal,Comedy,"$64,655,858","8,122,595"
47,Chronicle,"Feb 3, 2012",20th Century Fox,Thriller/Suspense,"$64,575,175","8,112,459"
48,Hope Springs,"Aug 8, 2012",Sony Pictures,Romantic Comedy,"$63,536,011","7,981,910"
49,Underworld: Awakening,"Jan 20, 2012",Sony Pictures,Action,"$62,321,039","7,829,276"
50,The Lucky One,"Apr 20, 2012",Warner Bros.,Drama,"$60,457,138","7,595,117"
51,The Dictator,"May 16, 2012",Paramount Pictures,Comedy,"$59,650,222","7,493,746"
52,Total Recall,"Aug 3, 2012",Sony Pictures,Action,"$58,877,969","7,396,729"
53,Titanic,"Dec 19, 1997",Paramount Pictures,Drama,"$57,885,250","7,272,016"
54,American Reunion,"Apr 6, 2012",Universal,Comedy,"$56,758,835","7,130,506"
55,ParaNorman,"Aug 17, 2012",Focus Features,Adventure,"$56,003,051","7,035,559"
56,This Means War,"Feb 17, 2012",20th Century Fox,Romantic Comedy,"$54,760,791","6,879,496"
57,Project X,"Mar 2, 2012",Warner Bros.,Comedy,"$54,731,865","6,875,862"
58,The Woman in Black,"Feb 3, 2012",CBS Films,Horror,"$54,333,290","6,825,790"
59,This is 40,"Dec 21, 2012",Universal,Comedy,"$54,255,195","6,815,979"
60,Paranormal Activity 4,"Oct 19, 2012",Paramount Pictures,Horror,"$53,900,335","6,771,398"
61,The Devil Inside,"Jan 6, 2012",Paramount Pictures,Horror,"$53,262,945","6,691,324"
62,Parental Guidance,"Dec 25, 2012",20th Century Fox,Adventure,"$52,339,698","6,575,338"
63,The Odd Life of Timothy Green,"Aug 15, 2012",Walt Disney,Drama,"$51,844,311","6,513,104"
64,Ghost Rider: Spirit of Veng…,"Feb 17, 2012",Sony Pictures,Action,"$51,774,002","6,504,271"
65,The Grey,"Jan 27, 2012",Open Road,Thriller/Suspense,"$51,580,136","6,479,916"
66,Sherlock Holmes: A Game of …,"Dec 16, 2011",Warner Bros.,Action,"$49,938,199","6,273,643"
67,Red Tails,"Jan 20, 2012",20th Century Fox,Action,"$49,876,377","6,265,876"
68,The Possession,"Aug 31, 2012",Lionsgate,Horror,"$49,130,588","6,172,184"
69,Diary of a Wimpy Kid: Dog Days,"Aug 3, 2012",20th Century Fox,Adventure,"$49,008,662","6,156,867"
70,Sinister,"Oct 12, 2012",Lionsgate,Horror,"$48,086,903","6,041,068"
71,Beauty and the Beast,"Jun 21, 2002",Walt Disney,Musical,"$47,611,331","5,981,322"
72,Savages,"Jul 6, 2012",Universal,Thriller/Suspense,"$47,323,100","5,945,113"
73,The Girl with the Dragon Ta…,"Dec 20, 2011",Sony Pictures,Thriller/Suspense,"$46,930,912","5,895,843"
74,The Best Exotic Marigold Hotel,"May 4, 2012",Fox Searchlight,Comedy,"$46,383,639","5,827,090"
75,Moonrise Kingdom,"May 25, 2012",Focus Features,Drama,"$45,512,466","5,717,646"
76,The Three Stooges,"Apr 13, 2012",20th Century Fox,Comedy,"$44,338,224","5,570,128"
77,Here Comes the Boom,"Oct 12, 2012",Sony Pictures,Comedy,"$44,101,002","5,540,326"
