Rank,Movie,Release,Distributor,Genre,2012 Gross,Tickets Sold
78,Red Dawn,"Nov 21, 2012",Open Road,Action,"$43,877,043","5,512,191"
79,Star Wars Ep. I: The Phanto…,"May 19, 1999",20th Century Fox,Adventure,"$43,456,382","5,459,344"
80,Resident Evil: Retribution,"Sep 14, 2012",Sony Pictures,Horror,"$42,345,531","5,319,790"
81,The Descendants,"Nov 16, 2011",Fox Searchlight,Drama,"$42,309,296","5,315,238"
82,The Cabin in the Woods,"Apr 13, 2012",Lionsgate,Thriller/Suspense,"$42,073,277","5,285,587"
83,What to Expect When You're …,"May 18, 2012",Lionsgate,Romantic Comedy,"$41,152,203","5,169,874"
84,End of Watch,"Sep 21, 2012",Open Road,Thriller/Suspense,"$40,891,820","5,137,163"
85,Finding Nemo,"May 30, 2003",Walt Disney,Adventure,"$40,795,794","5,125,099"
86,The Artist,"Nov 25, 2011",Weinstein Co.,Drama,"$39,622,751","4,977,732"
87,War Horse,"Dec 25, 2011",Walt Disney,Drama,"$39,431,587","4,953,716"
88,Rock of Ages,"Jun 15, 2012",Warner Bros.,Musical,"$38,518,613","4,839,021"
89,Abraham Lincoln: Vampire Hu…,"Jun 22, 2012",20th Century Fox,Horror,"$37,519,139","4,713,459"
90,Lawless,"Aug 29, 2012",Weinstein Co.,Drama,"$37,397,291","4,698,152"
91,That’s My Boy,"Jun 15, 2012",Sony Pictures,Comedy,"$36,931,089","4,639,584"
92,Trouble with the Curve,"Sep 21, 2012",Warner Bros.,Drama,"$35,763,137","4,492,856"
93,Alvin and the Chipmunks: Ch…,"Dec 16, 2011",20th Century Fox,Adventure,"$35,259,275","4,429,557"
94,Step Up Revolution,"Jul 27, 2012",Lionsgate,Drama,"$35,074,677","4,406,366"
95,Tyler Perry's Good Deeds,"Feb 24, 2012",Lionsgate,Drama,"$35,025,791","4,400,225"
96,Frankenweenie,"Oct 5, 2012",Walt Disney,Adventure,"$34,933,733","4,388,659"
97,Silver Linings Playbook,"Nov 16, 2012",Weinstein Co.,Drama,"$34,676,769","4,356,378"
98,The Watch,"Jul 27, 2012",20th Century Fox,Comedy,"$34,353,000","4,315,703"
99,2016: Obama’s America,"Jul 13, 2012",Rocky Mountain Pi…,Documentary,"$33,349,941","4,189,691"
100,House at the End of the Street,"Sep 21, 2012",Relativity,Horror,"$31,611,916","3,971,346"
101,Extremely Loud and Incredib…,"Dec 25, 2011",Warner Bros.,Drama,"$31,495,464","3,956,716"
102,We Bought a Zoo,"Dec 23, 2011",20th Century Fox,Drama,"$31,133,551","3,911,250"
103,The Guilt Trip,"Dec 19, 2012",Paramount Pictures,Comedy,"$31,111,882","3,908,527"
104,The Pirates! Band of Misfits,"Apr 27, 2012",Sony Pictures,Adventure,"$31,051,126","3,900,895"
105,Joyful Noise,"Jan 13, 2012",Warner Bros.,Musical,"$30,932,113","3,885,943"
106,The Iron Lady,"Jan 13, 2012",Weinstein Co.,Drama,"$29,959,436","3,763,748"
107,Chimpanzee,"Apr 20, 2012",Walt Disney,Documentary,"$28,965,459","3,638,876"
108,The Five-Year Engagement,"Apr 27, 2012",Universal,Romantic Comedy,"$28,700,285","3,605,563"
109,"Monsters, Inc.","Nov 2, 2001",Walt Disney,Adventure,"$27,978,476","3,514,883"
110,Cloud Atlas,"Oct 26, 2012",Warner Bros.,Drama,"$26,903,242","3,379,804"
111,One for the Money,"Jan 27, 2012",Lionsgate,Comedy,"$26,414,527","3,318,407"
112,The Adventures of Tintin,"Dec 21, 2011",Paramount Pictures,Adventure,"$26,191,381","3,290,374"
113,Alex Cross,"Oct 19, 2012",Lionsgate,Thriller/Suspense,"$25,888,412","3,252,313"
114,Katy Perry: Part of Me,"Jul 5, 2012",Paramount Pictures,Concert/Perfor…,"$25,326,071","3,181,667"
115,Sparkle,"Aug 17, 2012",Sony Pictures,Drama,"$24,397,469","3,065,008"
116,Hugo,"Nov 23, 2011",Paramount Pictures,Adventure,"$23,551,012","2,958,669"
117,Texas Chainsaw 3D,,,Horror,"$21,744,470","2,731,717"
118,Premium Rush,"Aug 24, 2012",Sony Pictures,Thriller/Suspense,"$20,275,446","2,547,166"
119,Tinker Tailor Soldier Spy,"Dec 9, 2011",Focus Features,Thriller/Suspense,"$20,193,631","2,536,888"
120,Big Miracle,"Feb 3, 2012",Universal,Drama,"$20,157,300","2,532,324"
121,The Secret World of Arrietty,"Feb 17, 2012",Walt Disney,Adventure,"$19,192,510","2,411,119"
122,Haywire,"Jan 20, 2012",Relativity,Thriller/Suspense,"$18,942,396","2,379,697"
123,Man on a Ledge,"Jan 27, 2012",Lionsgate,Thriller/Suspense,"$18,620,000","2,339,195"
124,A Thousand Words,"Mar 9, 2012",Paramount Pictures,Comedy,"$18,450,127","2,317,855"
125,Chernobyl Diaries,"May 25, 2012",Warner Bros.,Horror,"$18,119,640","2,276,336"
126,Silent Hill: Revelation 3D,"Oct 26, 2012",Open Road,Horror,"$17,530,219","2,202,288"
127,The Perks of Being a Wallfl…,"Sep 21, 2012",Lionsgate,Drama,"$17,479,028","2,195,857"
128,Wanderlust,"Feb 24, 2012",Universal,Comedy,"$17,288,155","2,171,878"
129,Born to be Wild 3D,"Apr 8, 2011",Warner Bros.,Documentary,"$17,203,348","2,161,224"
130,Safe,"Apr 27, 2012",Lionsgate,Action,"$17,142,080","2,153,527"
131,To Rome with Love,"Jun 22, 2012",Sony Pictures Cla…,Romantic Comedy,"$16,684,352","2,096,024"
132,The Raven,"Apr 27, 2012",Relativity,Thriller/Suspense,"$16,008,272","2,011,089"
133,The Master,"Sep 14, 2012",Weinstein Co.,Drama,"$15,979,869","2,007,521"
134,The Man with the Iron Fists,"Nov 2, 2012",Universal,Action,"$15,634,090","1,964,081"
135,To the Arctic 3D,"Apr 20, 2012",Warner Bros.,Documentary,"$15,183,579","1,907,484"
136,Seven Psychopaths,"Oct 12, 2012",CBS Films,Comedy,"$15,024,049","1,887,443"
137,Killing Them Softly,"Nov 30, 2012",Weinstein Co.,Thriller/Suspense,"$14,904,981","1,872,485"
138,Lockout,"Apr 13, 2012",Open Road,Thriller/Suspense,"$14,326,865","1,799,857"
139,Hit & Run,"Aug 22, 2012",Open Road,Comedy,"$13,749,300","1,727,298"
140,Dredd,"Sep 21, 2012",Lionsgate,Action,"$13,414,714","1,685,265"
141,The Intouchables,"May 25, 2012",Weinstein Co.,Comedy,"$13,160,899","1,653,379"
142,Playing for Keeps,"Dec 7, 2012",FilmDistrict,Romantic Comedy,"$12,851,597","1,614,522"
143,Silent House,"Mar 9, 2012",Open Road,Horror,"$12,739,737","1,600,469"
144,People Like Us,"Jun 29, 2012",Walt Disney,Drama,"$12,431,792","1,561,782"
145,Gone,"Feb 24, 2012",Lionsgate,Thriller/Suspense,"$11,682,205","1,467,613"
146,Anna Karenina,"Nov 16, 2012",Focus Features,Drama,"$11,537,763","1,449,467"
147,The Words,"Sep 7, 2012",CBS Films,Drama,"$11,494,838","1,444,075"
148,Beasts of the Southern Wild,"Jun 27, 2012",Fox Searchlight,Drama,"$11,249,128","1,413,207"
149,Cirque du Soleil: Worlds Away,"Dec 21, 2012",Paramount Pictures,Adventure,"$10,878,362","1,366,628"
150,Fun Size ,"Oct 26, 2012",Paramount Pictures,Comedy,"$9,409,538","1,182,102"
151,Bernie,"Apr 27, 2012",Alchemy,Black Comedy,"$9,204,489","1,156,342"
152,Salmon Fishing in the Yemen,"Mar 9, 2012",CBS Films,Drama,"$9,041,540","1,135,871"
153,The Darkest Hour,"Dec 25, 2011",Summit Entertainment,Action,"$8,305,531","1,043,408"
154,Arbitrage,"Sep 14, 2012",Roadside Attractions,Thriller/Suspense,"$7,915,822","994,450"
155,New Year’s Eve,"Dec 9, 2011",Warner Bros.,Romantic Comedy,"$7,286,815","915,429"
156,Friends with Kids,"Mar 9, 2012",Roadside Attractions,Romantic Comedy,"$7,251,073","910,938"
157,Seeking a Friend for the En…,"Jun 22, 2012",Focus Features,Comedy,"$7,078,738","889,288"
158,A Separation,"Dec 30, 2011",Sony Pictures Cla…,Drama,"$7,039,011","884,297"
159,In Darkness,"Feb 10, 2012",Sony Pictures Cla…,Drama,"$6,994,218","878,670"
160,The Collection,"Nov 30, 2012",LD Distribution,Horror,"$6,810,754","855,622"
161,The Muppets ,"Nov 23, 2011",Walt Disney,Adventure,"$6,096,470","765,888"
162,Chasing Mavericks,"Oct 26, 2012",20th Century Fox,Drama,"$5,977,302","750,917"
163,Casa de mi Padre,"Mar 16, 2012",Lionsgate,Comedy,"$5,909,483","742,397"
164,The Twilight Saga: Breaking…,"Nov 18, 2011",Summit Entertainment,Drama,"$5,756,395","723,165"
165,For Greater Glory,"Jun 1, 2012",ARC Entertainment,Drama,"$5,669,081","712,196"
166,My Week with Marilyn,"Nov 23, 2011",Weinstein Co.,Drama,"$5,661,684","711,266"
167,The Sessions,"Oct 19, 2012",Fox Searchlight,Drama,"$5,632,024","707,540"
168,Hubble 3D,"Mar 19, 2010",Warner Bros.,Documentary,"$5,557,365","698,161"
169,Hitchcock,"Nov 23, 2012",Fox Searchlight,Drama,"$5,488,896","689,559"
170,October Baby,"Mar 23, 2012",Five & Two Pictures,Drama,"$5,355,847","672,845"
171,Won't Back Down,"Sep 28, 2012",20th Century Fox,Drama,"$5,310,554","667,155"
172,The Apparition,"Aug 24, 2012",Warner Bros.,Horror,"$4,936,819","620,203"
173,Zero Dark Thirty,"Dec 19, 2012",Sony Pictures,Thriller/Suspense,"$4,406,138","553,534"
174,Promised Land,"Dec 28, 2012",Focus Features,Drama,"$4,395,439","552,190"
175,Jeff Who Lives at Home,"Mar 16, 2012",Paramount Vantage,Comedy,"$4,269,426","536,360"
176,Flying Monsters 3D,"Oct 6, 2011",National Geograph…,Documentary,"$4,176,870","524,732"
177,Goon,"Mar 30, 2012",Magnet Pictures,Comedy,"$4,164,911","523,230"
178,A Dangerous Method,"Nov 23, 2011",Sony Pictures Cla…,Drama,"$4,125,326","518,257"
179,The Raid: Redemption,"Mar 23, 2012",Sony Pictures Cla…,Action,"$4,105,123","515,718"
180,Safety Not Guaranteed,"Jun 8, 2012",FilmDistrict,Comedy,"$4,010,957","503,889"
181,The Cold Light of Day,"Sep 7, 2012",Lionsgate,Thriller/Suspense,"$3,763,583","472,811"
182,The Sitter,"Dec 9, 2011",20th Century Fox,Black Comedy,"$3,726,236","468,120"
183,Young Adult,"Dec 9, 2011",Paramount Pictures,Comedy,"$3,642,319","457,577"
184,Puss in Boots,"Oct 28, 2011",Paramount Pictures,Adventure,"$3,522,177","442,484"
185,Pina,"Jan 20, 2012",IFC Films,Documentary,"$3,520,458","442,268"
186,Bully,"Mar 30, 2012",Weinstein Co.,Documentary,"$3,483,795","437,662"
187,The Impossible,"Dec 21, 2012",Lionsgate,Drama,"$3,412,413","428,695"
188,Nitro Circus: The Movie 3D,"Aug 8, 2012",ARC Entertainment,Documentary,"$3,377,000","424,246"
189,Atlas Shrugged: Part II,"Oct 12, 2012",Atlas Distribution,Drama,"$3,336,053","419,102"
190,Last Ounce of Courage,"Sep 14, 2012",Rocky Mountain Pi…,Drama,"$3,310,439","415,884"
191,Robot and Frank,"Aug 17, 2012",Samuel Goldwyn Films,Drama,"$3,298,428","414,375"
192,Hyde Park on Hudson,"Dec 7, 2012",Focus Features,Drama,"$3,209,885","403,251"
193,Raiders of the Lost Ark,"Jun 12, 1981",Paramount Pictures,Adventure,"$3,125,613","392,664"
194,Celeste and Jesse Forever,"Aug 3, 2012",Sony Pictures Cla…,Romantic Comedy,"$3,103,407","389,875"
195,Searching for Sugar Man,"Jul 27, 2012",Sony Pictures Cla…,Documentary,"$3,058,667","384,254"
196,Jab Tak Hai Jaan,"Nov 13, 2012",Yash Raj Films,Drama,"$3,047,539","382,856"
197,Happy Feet Two,"Nov 18, 2011",Warner Bros.,Adventure,"$3,040,600","381,984"
198,Albert Nobbs,"Dec 21, 2011",Roadside Attractions,Drama,"$3,014,696","378,730"
199,Barfi,"Sep 14, 2012",UTV Communications,Romantic Comedy,"$2,804,874","352,371"
200,The Met: Live in HD - Aida,"Dec 15, 2012",NCM Fathom,Concert/Perfor…,"$2,800,000","351,758"
201,Talaash,"Nov 30, 2012",Reliance Big Pict…,Drama,"$2,706,375","339,996"
202,Samsara,"Aug 24, 2012",Oscilloscope Pict…,Documentary,"$2,639,616","331,610"
203,Girl in Progress,"May 11, 2012",Lionsgate,Drama,"$2,609,412","327,815"
204,Jiro Dreams of Sushi,"Mar 9, 2012",Magnolia Pictures,Documentary,"$2,552,478","320,663"
205,Ruby Sparks,"Jul 25, 2012",Fox Searchlight,Romantic Comedy,"$2,540,106","319,108"
206,Dabangg 2,"Dec 21, 2012",Eros Entertainment,Comedy,"$2,474,674","310,888"
207,Omerta,"Jul 11, 2012",Alliance Atlantis,Thriller/Suspense,"$2,462,588","309,370"
208,Jack and Jill,"Nov 11, 2011",Sony Pictures,Comedy,"$2,460,509","309,109"
209,The Queen of Versailles,"Jul 20, 2012",Magnolia Pictures,Documentary,"$2,401,999","301,758"
210,Ek Tha Tiger,"Aug 15, 2012",Yash Raj Films,Thriller/Suspense,"$2,347,774","294,946"
211,Sleepwalk With Me,"Aug 24, 2012",IFC Films,Drama,"$2,266,066","284,681"
212,Carnage,"Dec 16, 2011",Sony Pictures Cla…,Drama,"$2,198,142","276,148"
213,Under the Sea 3D,"Feb 13, 2009",Warner Bros.,Documentary,"$2,197,236","276,034"
214,Space Station,"Apr 19, 2002",IMAX Films,Documentary,"$2,084,978","261,931"
215,Shame,"Dec 2, 2011",Fox Searchlight,Drama,"$2,036,419","255,831"
216,Footnote,"Mar 9, 2012",Sony Pictures Cla…,Drama,"$2,007,451","252,192"
217,Agneepath,"Jan 6, 2012",Eros Entertainment,Action,"$1,973,574","247,936"
218,English Vinglish,"Sep 28, 2012",Eros Entertainment,Drama,"$1,862,086","233,930"
219,Crooked Arrows,"May 18, 2012",Branded Entertain…,Drama,"$1,832,541","230,218"
220,Monsieur Lazhar,"Oct 28, 2011",Films Seville,Drama,"$1,810,703","227,475"
221,Hysteria,"May 18, 2012",Sony Pictures Cla…,Romantic Comedy,"$1,804,139","226,650"
222,We Need to Talk About Kevin,"Jan 13, 2012",Oscilloscope Pict…,Drama,"$1,738,692","218,428"
223,2012 Oscar Shorts,"Feb 10, 2012",Shorts International,Multiple Genres,"$1,702,415","213,871"
224,Sea Rex 3D,"May 28, 2010",3D Entertainment,Documentary,"$1,631,522","204,965"
225,Your Sister's Sister,"Jun 15, 2012",IFC Films,Drama,"$1,597,486","200,689"
226,Housefull 2,"Apr 6, 2012",Eros Entertainment,Comedy,"$1,586,745","199,339"
227,Marley,"Apr 20, 2012",Magnolia Pictures,Documentary,"$1,413,480","177,572"
228,Kid With A Bike,"Mar 16, 2012",IFC Films,Drama,"$1,389,524","174,563"
229,A Late Quartet,"Nov 2, 2012",Entertainment One,Drama,"$1,356,841","170,457"
230,"Farewell, My Queen","Jul 13, 2012",Cohen Media Group,Drama,"$1,329,660","167,042"
231,Air Racers 3D,"Apr 5, 2012",3D Entertainment,Documentary,"$1,309,987","164,571"
232,Woman Thou Art Loosed On th…,"Apr 13, 2012",Codeblack Enterta…,Drama,"$1,301,562","163,512"
233,Killer Joe,"Jul 27, 2012",LD Distribution,Black Comedy,"$1,291,645","162,266"
234,Bol Bachchan,"Jul 6, 2012",Fox International,,"$1,257,892","158,026"
235,"For a Good Time, Call","Aug 31, 2012",Focus Features,Comedy,"$1,251,749","157,254"
236,Tower Heist,"Nov 4, 2011",Universal,Comedy,"$1,244,345","156,324"
237,Take This Waltz,"Jun 29, 2012",Magnolia Pictures,Drama,"$1,239,692","155,740"
238,Headhunters,"Apr 27, 2012",Magnolia Pictures,Thriller/Suspense,"$1,200,010","150,755"
239,The Other Son,"Oct 26, 2012",Cohen Media Group,Drama,"$1,199,098","150,640"
240,Ek Main Aur Ekk Tu,"Feb 10, 2012",UTV Communications,Romantic Comedy,"$1,155,545","145,168"
241,The Deep Blue Sea,"Apr 13, 2012",Mongrel Media,Drama,"$1,126,027","141,460"
242,The Oogieloves in the BIG B…,"Aug 29, 2012",Kenn Viselman Pre…,Adventure,"$1,065,907","133,907"
243,Cocktail,"Jul 13, 2012",Eros Entertainment,Romantic Comedy,"$1,027,121","129,035"
244,Damsels in Distress,"Apr 6, 2012",Sony Pictures Cla…,Black Comedy,"$1,007,535","126,574"
245,Real Steel,"Oct 7, 2011",Walt Disney,Action,"$970,068","121,867"
246,Rampart,"Feb 10, 2012",Alchemy,Drama,"$969,239","121,763"
247,Diana Vreeland: The Eye Has…,"Sep 21, 2012",Samuel Goldwyn Films,Documentary,"$963,138","120,997"
248,First Position,"May 4, 2012",IFC Films,Documentary,"$908,235","114,099"
249,Masquerade,"Sep 21, 2012",CJ Entertainment,Drama,"$904,240","113,597"
250,The Imposter,"Jul 13, 2012",Indomina Releasing,Documentary,"$901,954","113,310"
251,Rust & Bone,"Nov 23, 2012",Sony Pictures Cla…,Drama,"$866,016","108,795"
252,Immortals,"Nov 11, 2011",Relativity,Action,"$847,018","106,409"
253,Darling Companion,"Apr 20, 2012",Sony Pictures Cla…,Comedy,"$793,352","99,667"
254,Thin Ice,"Feb 17, 2012",ATO Pictures,Black Comedy,"$789,752","99,215"
255,Rowdy Rathore,"Jun 1, 2012",UTV Communications,Comedy,"$777,373","97,659"
256,Bill W.,"May 18, 2012",Page 124 Productions,Documentary,"$768,518","96,547"
257,Coriolanus,"Jan 20, 2012",Weinstein Co.,Drama,"$749,641","94,176"
258,Cosmopolis,"Aug 17, 2012",Entertainment One,Thriller/Suspense,"$743,636","93,421"
259,Unconditional,"Sep 21, 2012",Veracity Moving P…,Drama,"$741,381","93,138"
260,Deep Sea 3-D,"Mar 3, 2006",Warner Bros.,Documentary,"$722,464","90,761"
261,Son of Sardaar,"Nov 13, 2012",Eros Entertainment,,"$713,754","89,667"
262,Agent Vinod,"Mar 23, 2012",Eros Entertainment,Thriller/Suspense,"$698,210","87,714"
263,Pariah,"Dec 28, 2011",Focus Features,Drama,"$684,566","86,000"
264,The Paperboy,"Oct 5, 2012",Alchemy,Thriller/Suspense,"$677,200","85,075"
265,Teri Meri Kahaani,"Jun 22, 2012",Eros Entertainment,Romantic Comedy,"$671,442","84,352"
266,A Royal Affair,"Nov 9, 2012",Magnolia Pictures,Drama,"$659,348","82,832"
267,J. Edgar,"Nov 9, 2011",Warner Bros.,Drama,"$655,199","82,311"
268,Moneyball,"Sep 23, 2011",Sony Pictures,Drama,"$643,850","80,885"
269,Arthur Christmas,"Nov 23, 2011",Sony Pictures,Adventure,"$642,234","80,682"
270,2 Days in New York,"Aug 10, 2012",Magnolia Pictures,Romantic Comedy,"$633,210","79,548"
271,Chasing Ice,"Nov 16, 2012",National Geograph…,Documentary,"$612,089","76,895"
272,Midnight's Children,"Nov 2, 2012",Mongrel Media,Drama,"$600,595","75,451"
273,Heroine,"Sep 21, 2012",UTV Communications,Drama,"$598,668","75,209"
274,Blue Like Jazz,"Apr 13, 2012",Roadside Attractions,Comedy,"$595,018","74,751"
275,W.E.,"Feb 3, 2012",Weinstein Co.,Drama,"$582,075","73,125"
276,Undefeated,"Feb 17, 2012",Weinstein Co.,Documentary,"$561,054","70,484"
277,Holy Motors,"Oct 17, 2012",Indomina Releasing,Drama,"$560,586","70,425"
278,The Polar Express,"Nov 10, 2004",Warner Bros.,Adventure,"$545,345","68,510"
279,"Peace, Love and Misundersta…","Jun 8, 2012",IFC Films,Comedy,"$542,762","68,186"
280,Being Flynn,"Mar 2, 2012",Focus Features,Drama,"$540,152","67,858"
281,The Thieves,"Oct 12, 2012",Well Go USA,Action,"$532,699","66,921"
282,Where Do We Go Now,"May 11, 2012",Sony Pictures Cla…,Drama,"$531,813","66,810"
283,Melancholia,"Nov 11, 2011",Magnolia Pictures,Thriller/Suspense,"$513,342","64,490"
284,Shut Up and Play the Hits,"Jul 18, 2012",Oscilloscope Pict…,Documentary,"$510,334","64,112"
285,Don 2,"Dec 22, 2011",Reliance Big Pict…,Action,"$500,054","62,820"
286,Ai Weiwei: Never Sorry,"Jul 27, 2012",IFC Films,Documentary,"$489,074","61,441"
