Rank,Movie,Release,Distributor,Genre,2017 Gross,Tickets Sold
1,Star Wars Ep. VIII: The Las…,"Dec 15, 2017",Walt Disney,Adventure,"$517,218,368","57,660,910"
2,Beauty and the Beast,"Mar 17, 2017",Walt Disney,Musical,"$504,014,165","56,188,870"
3,Wonder Woman,"Jun 2, 2017",Warner Bros.,Action,"$412,563,408","45,993,691"
4,Guardians of the Galaxy Vol 2,"May 5, 2017",Walt Disney,Action,"$389,813,101","43,457,424"
5,Spider-Man: Homecoming,"Jul 7, 2017",Sony Pictures,Action,"$334,201,140","37,257,652"
6,It,"Sep 8, 2017",Warner Bros.,Horror,"$327,481,748","36,508,556"
7,Thor: Ragnarok,"Nov 3, 2017",Walt Disney,Action,"$311,225,150","34,696,226"
8,Despicable Me 3,"Jun 30, 2017",Universal,Adventure,"$264,624,300","29,501,036"
9,Logan,"Mar 3, 2017",20th Century Fox,Action,"$226,277,068","25,225,983"
10,The Fate of the Furious,"Apr 14, 2017",Universal,Action,"$225,764,765","25,168,870"
11,Justice League,"Nov 17, 2017",Warner Bros.,Action,"$225,546,295","25,144,514"
12,Dunkirk,"Jul 21, 2017",Warner Bros.,Action,"$188,373,161","21,000,352"
13,Coco,"Nov 22, 2017",Walt Disney,Musical,"$179,834,199","20,048,405"
14,The Lego Batman Movie,"Feb 10, 2017",Warner Bros.,Adventure,"$175,750,384","19,593,131"
15,Get Out,"Feb 24, 2017",Universal,Horror,"$175,484,140","19,563,449"
16,The Boss Baby,"Mar 31, 2017",20th Century Fox,Adventure,"$175,003,033","19,509,814"
17,Pirates of the Caribbean: D…,"May 26, 2017",Walt Disney,Adventure,"$172,558,876","19,237,332"
18,Jumanji: Welcome to the Jungle,"Dec 20, 2017",Sony Pictures,Adventure,"$169,002,557","18,840,865"
19,Kong: Skull Island,"Mar 10, 2017",Warner Bros.,Adventure,"$168,052,812","18,734,985"
20,Hidden Figures,"Dec 25, 2016",20th Century Fox,Drama,"$167,620,331","18,686,770"
21,Cars 3,"Jun 16, 2017",Walt Disney,Adventure,"$152,901,115","17,045,832"
22,War for the Planet of the Apes,"Jul 14, 2017",20th Century Fox,Action,"$146,880,162","16,374,600"
23,Split,"Jan 20, 2017",Universal,Horror,"$138,141,585","15,400,399"
24,Transformers: The Last Knight,"Jun 21, 2017",Paramount Pictures,Action,"$130,168,683","14,511,558"
25,Wonder,"Nov 17, 2017",Lionsgate,Drama,"$121,559,294","13,551,761"
26,La La Land,"Dec 9, 2016",Lionsgate,Musical,"$116,833,190","13,024,881"
27,Girls Trip,"Jul 21, 2017",Universal,Comedy,"$115,108,515","12,832,610"
28,Fifty Shades Darker,"Feb 10, 2017",Universal,Drama,"$114,434,010","12,757,414"
29,Baby Driver,"Jun 28, 2017",Sony Pictures,Thriller/Suspense,"$107,825,862","12,020,720"
30,Rogue One: A Star Wars Story,"Dec 16, 2016",Walt Disney,Adventure,"$107,189,617","11,949,790"
31,Sing,"Dec 21, 2016",Universal,Adventure,"$103,831,225","11,575,387"
32,Annabelle: Creation,"Aug 11, 2017",Warner Bros.,Horror,"$102,092,201","11,381,516"
33,Daddy’s Home 2,"Nov 10, 2017",Paramount Pictures,Comedy,"$101,791,381","11,347,980"
34,Murder on the Orient Express,"Nov 10, 2017",20th Century Fox,Drama,"$100,619,624","11,217,349"
35,Kingsman: The Golden Circle,"Sep 22, 2017",20th Century Fox,Action,"$100,227,039","11,173,583"
36,John Wick: Chapter Two,"Feb 10, 2017",Lionsgate,Action,"$92,029,184","10,259,663"
37,Blade Runner 2049,"Oct 6, 2017",Warner Bros.,Thriller/Suspense,"$91,654,512","10,217,894"
38,The Emoji Movie,"Jul 28, 2017",Sony Pictures,Adventure,"$86,089,513","9,597,493"
39,Power Rangers,"Mar 24, 2017",Lionsgate,Action,"$85,364,450","9,516,661"
40,The Mummy,"Jun 9, 2017",Universal,Adventure,"$80,101,125","8,929,891"
41,The Hitman’s Bodyguard,"Aug 18, 2017",Lionsgate,Action,"$75,468,583","8,413,442"
42,Alien: Covenant,"May 19, 2017",20th Century Fox,Horror,"$74,262,031","8,278,933"
43,Captain Underpants: The Fir…,"Jun 2, 2017",20th Century Fox,Adventure,"$73,921,000","8,240,914"
44,A Bad Moms Christmas,"Nov 1, 2017",STX Entertainment,Comedy,"$71,891,988","8,014,714"
45,A Dog’s Purpose,"Jan 27, 2017",Universal,Drama,"$64,321,890","7,170,779"
46,Pitch Perfect 3,"Dec 22, 2017",Universal,Comedy,"$63,300,605","7,056,923"
47,The Lego Ninjago Movie,"Sep 22, 2017",Warner Bros.,Adventure,"$59,281,555","6,608,869"
48,Baywatch,"May 25, 2017",Paramount Pictures,Comedy,"$58,060,186","6,472,707"
49,The Shack,"Mar 3, 2017",Lionsgate,Drama,"$57,386,418","6,397,593"
50,Happy Death Day,"Oct 13, 2017",Universal,Horror,"$55,683,845","6,207,786"
51,Ferdinand,"Dec 15, 2017",20th Century Fox,Adventure,"$53,546,717","5,969,534"
52,Atomic Blonde,"Jul 28, 2017",Focus Features,Thriller/Suspense,"$51,573,925","5,749,601"
53,American Made,"Sep 29, 2017",Universal,Action,"$51,342,000","5,723,745"
54,The Dark Tower,"Aug 4, 2017",Sony Pictures,Western,"$50,701,325","5,652,322"
