Rank,Movie,Release,Distributor,Genre,2017 Gross,Tickets Sold
55,The Greatest Showman,"Dec 20, 2017",20th Century Fox,Musical,"$49,036,718","5,466,747"
56,Tyler Perry’s Boo 2! A Made…,"Oct 20, 2017",Lionsgate,Comedy,"$47,319,572","5,275,314"
57,Lion,"Nov 25, 2016",Weinstein Co.,Drama,"$46,435,795","5,176,789"
58,Snatched,"May 12, 2017",20th Century Fox,Comedy,"$45,852,178","5,111,726"
59,The Great Wall,"Feb 17, 2017",Universal,Action,"$45,157,105","5,034,236"
60,Smurfs: The Lost Village,"Apr 7, 2017",Sony Pictures,Adventure,"$45,020,282","5,018,984"
61,Going in Style,"Apr 7, 2017",Warner Bros.,Comedy,"$45,018,541","5,018,789"
62,All Eyez on Me,"Jun 16, 2017",Lionsgate,Drama,"$44,922,302","5,008,060"
63,xXx: Return of Xander Cage,"Jan 20, 2017",Paramount Pictures,Action,"$44,898,413","5,005,397"
64,Passengers,"Dec 21, 2016",Sony Pictures,Thriller/Suspense,"$44,634,490","4,975,974"
65,47 Meters Down,"Jun 16, 2017",Entertainment Stu…,Thriller/Suspense,"$44,307,193","4,939,486"
66,The Big Sick,"Jun 23, 2017",Lionsgate,Romantic Comedy,"$42,872,467","4,779,539"
67,Ghost in the Shell,"Mar 31, 2017",Paramount Pictures,Action,"$40,563,557","4,522,135"
68,Valerian and the City of a …,"Jul 21, 2017",STX Entertainment,Adventure,"$40,479,370","4,512,750"
69,The Star,"Nov 17, 2017",Sony Pictures,Adventure,"$39,963,949","4,455,290"
70,King Arthur: Legend of the …,"May 12, 2017",Warner Bros.,Adventure,"$39,175,066","4,367,343"
71,Moana,"Nov 23, 2016",Walt Disney,Musical,"$38,710,930","4,315,599"
72,Jigsaw,"Oct 27, 2017",Lionsgate,Horror,"$38,052,832","4,242,233"
73,American Assassin,"Sep 15, 2017",Lionsgate,Thriller/Suspense,"$36,249,674","4,041,212"
74,The Foreigner,"Oct 13, 2017",STX Entertainment,Action,"$34,393,507","3,834,281"
75,"Everything, Everything","May 19, 2017",Warner Bros.,Drama,"$34,121,140","3,803,918"
76,Wind River,"Aug 4, 2017",Weinstein Co.,Thriller/Suspense,"$33,800,859","3,768,212"
77,Geostorm,"Oct 20, 2017",Warner Bros.,Thriller/Suspense,"$33,578,782","3,743,454"
78,Monster Trucks,"Jan 13, 2017",Paramount Pictures,Adventure,"$33,370,166","3,720,196"
79,Fist Fight,"Feb 17, 2017",Warner Bros.,Comedy,"$32,187,017","3,588,296"
80,How to Be a Latin Lover,"Apr 28, 2017",Lionsgate,Comedy,"$32,149,404","3,584,103"
81,Lady Bird,"Nov 3, 2017",A24,Drama,"$31,432,463","3,504,176"
82,Patriots Day,"Dec 21, 2016",Lionsgate,Thriller/Suspense,"$31,257,572","3,484,679"
83,Kidnap,"Aug 4, 2017",Aviron Pictures,Thriller/Suspense,"$30,718,107","3,424,538"
84,Underworld: Blood Wars,"Jan 6, 2017",Sony Pictures,Action,"$30,353,973","3,383,943"
85,The Mountain Between Us,"Oct 6, 2017",20th Century Fox,Adventure,"$30,348,555","3,383,339"
86,Life,"Mar 24, 2017",Sony Pictures,Thriller/Suspense,"$30,234,022","3,370,571"
87,Why Him?,"Dec 23, 2016",20th Century Fox,Comedy,"$29,689,870","3,309,907"
88,The Nut Job 2: Nutty by Nature,"Aug 11, 2017",Open Road,Adventure,"$28,370,522","3,162,822"
89,Fences,"Dec 16, 2016",Paramount Pictures,Drama,"$27,939,289","3,114,747"
90,Rings,"Feb 3, 2017",Paramount Pictures,Horror,"$27,793,018","3,098,441"
91,Logan Lucky,"Aug 18, 2017",Bleecker Street,Comedy,"$27,778,642","3,096,838"
92,Home Again,"Sep 8, 2017",Open Road,Romantic Comedy,"$27,020,284","3,012,294"
93,Resident Evil: The Final Ch…,"Jan 27, 2017",Sony Pictures,Horror,"$26,844,692","2,992,719"
94,The House,"Jun 30, 2017",Warner Bros.,Comedy,"$25,584,504","2,852,230"
95,Gifted,"Apr 7, 2017",Fox Searchlight,Drama,"$24,801,212","2,764,907"
96,Three Billboards Outside Eb…,"Nov 10, 2017",Fox Searchlight,Black Comedy,"$24,164,629","2,693,939"
97,The Bye Bye Man,"Jan 13, 2017",STX Entertainment,Horror,"$22,395,806","2,496,745"
98,Victoria and Abdul,"Sep 22, 2017",Focus Features,Drama,"$22,233,285","2,478,627"
99,Rough Night,"Jun 16, 2017",Sony Pictures,Black Comedy,"$22,105,643","2,464,397"
100,My Little Pony: The Movie,"Oct 6, 2017",Lionsgate,Adventure,"$21,885,107","2,439,811"
101,Leap!,"Aug 25, 2017",Weinstein Co.,Adventure,"$21,858,070","2,436,797"
102,Sleepless,"Jan 13, 2017",Open Road,Thriller/Suspense,"$20,783,704","2,317,024"
103,Diary of a Wimpy Kid: The L…,"May 19, 2017",20th Century Fox,Adventure,"$20,738,724","2,312,009"
104,The Circle,"Apr 28, 2017",STX Entertainment,Thriller/Suspense,"$20,497,844","2,285,155"
105,Manchester-by-the Sea,"Nov 18, 2016",Roadside Attractions,Drama,"$19,224,674","2,143,218"
106,Baahubali 2: The Conclusion,"Apr 28, 2017",Great India Films,Action,"$18,985,794","2,116,587"
107,CHiPS,"Mar 24, 2017",Warner Bros.,Action,"$18,600,152","2,073,596"
108,Assassin’s Creed,"Dec 21, 2016",20th Century Fox,Action,"$18,232,781","2,032,640"
109,Only the Brave,"Oct 20, 2017",Sony Pictures,Drama,"$18,181,288","2,026,899"
110,Darkest Hour,"Nov 22, 2017",Focus Features,Drama,"$18,132,857","2,021,500"
111,The Disaster Artist,"Dec 1, 2017",A24,Comedy,"$17,861,795","1,991,281"
112,mother!,"Sep 15, 2017",Paramount Pictures,Thriller/Suspense,"$17,800,004","1,984,392"
113,The Zookeeper’s Wife,"Mar 31, 2017",Focus Features,Drama,"$17,445,186","1,944,836"
114,The Glass Castle,"Aug 11, 2017",Lionsgate,Drama,"$17,273,059","1,925,647"
115,Downsizing,"Dec 22, 2017",Paramount Pictures,Comedy,"$17,160,674","1,913,119"
116,Flatliners,"Sep 29, 2017",Sony Pictures,Horror,"$16,883,115","1,882,176"
117,Detroit,"Aug 4, 2017",Annapurna Pictures,Drama,"$16,790,139","1,871,810"
118,The Shape of Water,"Dec 1, 2017",Fox Searchlight,Drama,"$15,670,177","1,746,954"
119,Moonlight,"Oct 21, 2016",A24,Drama,"$15,245,163","1,699,572"
120,The Case for Christ,"Apr 7, 2017",Pure Flix Enterta…,Drama,"$14,678,714","1,636,422"
121,Wish Upon,"Jul 14, 2017",Broad Green Pictures,Horror,"$14,301,505","1,594,370"
122,It Comes at Night,"Jun 9, 2017",A24,Horror,"$13,985,117","1,559,098"
123,Born in China,"Apr 21, 2017",Walt Disney,Documentary,"$13,873,211","1,546,623"
124,Megan Leavey,"Jun 9, 2017",Bleecker Street,Drama,"$13,406,304","1,494,571"
125,Father Figures,"Dec 22, 2017",Warner Bros.,Comedy,"$12,885,287","1,436,487"
126,The Founder,"Dec 31, 2016",Weinstein Co.,Drama,"$12,786,053","1,425,424"
127,All the Money in the World,"Dec 25, 2017",Sony Pictures,Thriller/Suspense,"$12,712,380","1,417,211"
128,Battle of the Sexes,"Sep 22, 2017",Fox Searchlight,Drama,"$12,638,526","1,408,977"
129,Before I Fall,"Mar 3, 2017",Open Road,Drama,"$12,241,072","1,364,668"
130,Night of the Living Dead,"Oct 1, 1968",Walter Reade Orga…,Horror,"$12,087,064","1,347,498"
131,"Roman J. Israel, Esq.","Nov 17, 2017",Sony Pictures,Drama,"$11,851,274","1,321,212"
132,Unforgettable,"Apr 21, 2017",Warner Bros.,Thriller/Suspense,"$11,368,012","1,267,337"
133,Fantastic Beasts and Where …,"Nov 18, 2016",Warner Bros.,Adventure,"$11,362,002","1,266,667"
134,The Beguiled,"Jun 23, 2017",Focus Features,Western,"$10,576,669","1,179,115"
135,Live by Night,"Dec 25, 2016",Warner Bros.,Drama,"$10,283,585","1,146,442"
136,The Belko Experiment,"Mar 17, 2017",BH Tilt,Horror,"$10,166,820","1,133,424"
137,Thank You for Your Service,"Oct 27, 2017",Universal,Drama,"$9,479,390","1,056,788"
138,Marshall,"Oct 13, 2017",Open Road,Drama,"$9,468,318","1,055,554"
139,Rock Dog,"Feb 24, 2017",Lionsgate,Adventure,"$9,420,546","1,050,228"
140,The Lost City of Z,"Apr 14, 2017",Bleecker Street,Drama,"$8,574,339","955,890"
141,Arrival,"Nov 11, 2016",Paramount Pictures,Drama,"$8,354,449","931,376"
142,The Promise,"Apr 21, 2017",Open Road,Drama,"$8,224,288","916,865"
143,A Cure for Wellness,"Feb 17, 2017",20th Century Fox,Thriller/Suspense,"$8,106,986","903,789"
144,The Space Between Us,"Feb 3, 2017",STX Entertainment,Drama,"$7,885,294","879,074"
145,Jackie,"Dec 2, 2016",Fox Searchlight,Drama,"$7,490,669","835,080"
146,Gold,"Jan 27, 2017",Weinstein Co.,Drama,"$7,227,038","805,690"
147,Let There Be Light,"Oct 27, 2017",Atlas Distribution,Drama,"$7,210,068","803,797"
148,I Am Not Your Negro,"Feb 3, 2017",Magnolia Pictures,Documentary,"$7,123,919","794,193"
149,Beatriz at Dinner,"Jun 9, 2017",Roadside Attractions,Drama,"$7,115,854","793,294"
150,Birth of the Dragon,"Aug 25, 2017",BH Tilt,Action,"$6,901,965","769,449"
151,Silence,"Dec 23, 2016",Paramount Pictures,Drama,"$6,789,497","756,911"
152,Collateral Beauty,"Dec 16, 2016",Warner Bros.,Drama,"$6,673,543","743,985"
153,The Snowman,"Oct 20, 2017",Universal,Thriller/Suspense,"$6,670,765","743,675"
154,Same Kind of Different as Me,"Oct 20, 2017",Pure Flix Enterta…,Drama,"$6,394,006","712,821"
155,Loving Vincent,"Sep 22, 2017",Good Deed Enterta…,Drama,"$6,269,689","698,961"
156,Lowriders,"May 12, 2017",BH Tilt,Drama,"$6,179,955","688,958"
157,Maudie,"Jun 16, 2017",Sony Pictures Cla…,Drama,"$6,170,998","687,959"
158,Just Getting Started,"Dec 8, 2017",Broad Green Pictures,Comedy,"$6,036,997","673,020"
159,All Saints,"Aug 25, 2017",Sony Pictures,Drama,"$5,802,208","646,846"
160,Suburbicon,"Oct 27, 2017",Paramount Pictures,Black Comedy,"$5,775,178","643,832"
161,Paris Can Wait,"May 12, 2017",Sony Pictures Cla…,Romantic Comedy,"$5,608,745","625,278"
162,The Man Who Invented Christmas,"Nov 22, 2017",Bleecker Street,Adventure,"$5,575,759","621,600"
163,20th Century Women,"Dec 25, 2016",A24,Drama,"$5,486,187","611,615"
164,Molly’s Game,"Dec 25, 2017",STX Entertainment,Drama,"$5,377,480","599,496"
165,The Florida Project,"Oct 6, 2017",A24,Drama,"$5,297,299","590,557"
166,Your Name,"Apr 7, 2017",FUNimation,Drama,"$5,000,181","557,433"
167,Call Me by Your Name,"Nov 24, 2017",Sony Pictures Cla…,Drama,"$4,906,869","547,031"
168,Tiger Zinda Hai,"Dec 22, 2017",Yash Raj Films,Action,"$4,572,231","509,724"
169,The Book of Henry,"Jun 16, 2017",Focus Features,Drama,"$4,288,104","478,049"
170,Stronger,"Sep 22, 2017",Roadside Attractions,Drama,"$4,211,129","469,468"
171,The Hero,"Jun 9, 2017",The Orchard,Drama,"$4,077,333","454,552"
172,Sleight,"Apr 28, 2017",High Top Releasing,Action,"$3,930,990","438,237"
173,A United Kingdom,"Feb 10, 2017",Fox Searchlight,Drama,"$3,902,185","435,026"
174,Norman: The Moderate Rise a…,"Apr 14, 2017",Sony Pictures Cla…,Drama,"$3,814,868","425,291"
175,Friend Request,"Sep 22, 2017",Entertainment Stu…,Thriller/Suspense,"$3,759,078","419,072"
176,A Monster Calls,"Dec 23, 2016",Focus Features,Drama,"$3,740,823","417,037"
177,Office Christmas Party,"Dec 9, 2016",Paramount Pictures,Comedy,"$3,630,209","404,705"
178,Table 19,"Mar 3, 2017",Fox Searchlight,Comedy,"$3,614,896","402,998"
179,Their Finest,"Apr 7, 2017",STX Entertainment,Romantic Comedy,"$3,603,484","401,726"
180,Phoenix Forgotten,"Apr 21, 2017",Entertainment Stu…,Horror,"$3,600,146","401,354"
181,Trolls,"Nov 4, 2016",20th Century Fox,Adventure,"$3,576,772","398,748"
182,An Inconvenient Sequel,"Jul 28, 2017",Paramount Vantage,Documentary,"$3,496,795","389,832"
183,Til Death Do Us Part,"Sep 29, 2017",Novus Content,Thriller/Suspense,"$3,424,454","381,767"
184,Colossal,"Apr 7, 2017",Neon,Drama,"$3,194,575","356,139"
185,Dangal,"Dec 21, 2016",UTV Communications,Action,"$3,165,967","352,950"
186,Close Encounters of the Thi…,"Nov 16, 1977",Columbia,Adventure,"$3,100,479","345,649"
187,Ingrid Goes West,"Aug 11, 2017",Neon,Black Comedy,"$3,021,133","336,804"
188,2017 Oscar Shorts,"Feb 10, 2017",ShortsHD,Multiple Genres,"$2,835,355","316,093"
189,KEDi,"Feb 10, 2017",Oscilloscope Pict…,Documentary,"$2,834,262","315,971"
190,Wolf Warrior 2,"Jul 28, 2017",The H Collective,Action,"$2,721,100","303,355"
191,My Cousin Rachel,"Jun 9, 2017",Fox Searchlight,Drama,"$2,716,368","302,828"
192,Mayweather vs. McGregor,"Aug 26, 2017",Fathom Events,Concert/Perfor…,"$2,620,183","292,105"
193,Hacksaw Ridge,"Nov 4, 2016",Lionsgate,Drama,"$2,603,050","290,195"
194,A Question of Faith,"Sep 29, 2017",Pure Flix Enterta…,Drama,"$2,587,072","288,413"
195,Is Genesis History?,"Feb 23, 2017",Fathom Events,Documentary,"$2,570,355","286,550"
196,Hazlo Como Hombre,"Sep 1, 2017",Lionsgate,Comedy,"$2,534,252","282,525"
197,Doctor Strange,"Nov 4, 2016",Walt Disney,Action,"$2,534,130","282,511"
198,LBJ,"Nov 3, 2017",Electric Entertai…,Drama,"$2,468,683","275,215"
199,Tulip Fever,"Sep 1, 2017",Weinstein Co.,Drama,"$2,455,635","273,761"
200,The Salesman,"Jan 27, 2017",Cohen Media Group,Drama,"$2,402,067","267,788"
201,T2: Trainspotting,"Mar 17, 2017",Sony Pictures,Drama,"$2,402,004","267,782"
202,Raees,"Jan 25, 2017",Zee Studios,Action,"$2,369,469","264,154"
203,"I, Tonya","Dec 8, 2017",Neon,Black Comedy,"$2,351,336","262,133"
204,The Resurrection of Gavin S…,"Jan 20, 2017",High Top Releasing,Comedy,"$2,303,792","256,832"
205,The Killing of a Sacred Deer,"Oct 20, 2017",A24,Horror,"$2,291,900","255,507"
206,Collide,"Feb 24, 2017",Open Road,Action,"$2,280,004","254,181"
207,Jeepers Creepers 3,"Sep 26, 2017",Fathom Events,Horror,"$2,235,162","249,181"
208,The Lovers,"May 5, 2017",A24,Romantic Comedy,"$2,194,521","244,651"
209,Un Padre No Tan Padre,"Jan 27, 2017",Lionsgate,Comedy,"$2,156,047","240,361"
210,Brad’s Status,"Sep 15, 2017",Annapurna Pictures,Comedy,"$2,133,158","237,810"
211,Paterson,"Dec 28, 2016",Bleecker Street,Comedy,"$2,040,598","227,491"
212,Good Time,"Aug 11, 2017",A24,Drama,"$2,026,498","225,919"
213,Badrinath Ki Dulhania,"Mar 10, 2017",FIP,Comedy,"$1,993,259","222,214"
214,Everybody Loves Somebody,"Feb 17, 2017",Lionsgate,Romantic Comedy,"$1,915,789","213,577"
215,A Quiet Passion,"Apr 14, 2017",Music Box Films,Drama,"$1,865,396","207,959"
216,The Wall,"May 12, 2017",Roadside Attractions,Thriller/Suspense,"$1,803,064","201,010"
217,Free Fire,"Apr 21, 2017",A24,Action,"$1,799,322","200,593"
218,The Last Word,"Mar 3, 2017",Bleecker Street,Drama,"$1,779,620","198,396"
219,The Post,"Dec 22, 2017",20th Century Fox,Drama,"$1,760,121","196,223"
220,Goodbye Christopher Robin,"Oct 13, 2017",Fox Searchlight,Drama,"$1,735,251","193,451"
221,Menashe,"Jul 28, 2017",A24,Drama,"$1,702,996","189,854"
222,Slamma Jamma,"Mar 24, 2017",Riverrain,Drama,"$1,687,000","188,071"
223,The Comedian,"Feb 3, 2017",Sony Pictures Cla…,Comedy,"$1,658,706","184,917"
224,Jolly LLB 2,"Feb 10, 2017",FIP,Black Comedy,"$1,654,254","184,421"
225,The Little Hours,"Jun 30, 2017",Gunpowder & Sky,Black Comedy,"$1,647,175","183,631"
226,Terminator 2: Judgment Day,"Jul 2, 1991",Sony Pictures,Action,"$1,605,359","178,969"
227,A Ghost Story,"Jul 7, 2017",A24,Drama,"$1,594,798","177,792"
228,Professor Marston & The Won…,"Oct 13, 2017",Annapurna Pictures,Drama,"$1,585,362","176,740"
229,Youth,"Dec 15, 2017",China Lion Film D…,Drama,"$1,579,715","176,110"
230,The Stray,"Oct 6, 2017",Purdie Distribution,Multiple Genres,"$1,579,440","176,080"
231,A Taxi Driver,"Aug 11, 2017",Well Go USA,Drama,"$1,527,829","170,326"
232,Inhumans,"Sep 1, 2017",,Action,"$1,521,787","169,652"
233,Jane,"Oct 20, 2017",Abramorama Films,Documentary,"$1,502,589","167,512"
234,Judwaa 2,"Sep 29, 2017",FIP,Action,"$1,431,255","159,560"
235,Elle,"Nov 11, 2016",Sony Pictures Cla…,Drama,"$1,423,285","158,671"
236,The Wedding Plan,"May 12, 2017",Roadside Attractions,Action,"$1,412,404","157,458"
237,Toni Erdmann,"Dec 25, 2016",Sony Pictures Cla…,Comedy,"$1,382,067","154,076"
238,The Dinner,"May 5, 2017",The Orchard,Drama,"$1,323,312","147,526"
239,Wonder Wheel,"Dec 1, 2017",Amazon Studios,Drama,"$1,306,606","145,663"
240,Personal Shopper,"Mar 10, 2017",IFC Films,Thriller/Suspense,"$1,305,195","145,506"
241,My Friend Dahmer,"Nov 3, 2017",FilmRise,Drama,"$1,296,639","144,552"
242,Julieta,"Dec 21, 2016",Sony Pictures Cla…,Drama,"$1,286,485","143,420"
243,Jab Harry Met Sejal,"Aug 4, 2017",Red Chillies Ente…,Romantic Comedy,"$1,284,740","143,226"
244,Churchill,"Jun 2, 2017",Cohen Media Group,Drama,"$1,279,681","142,662"
245,The Sense of an Ending,"Mar 10, 2017",CBS Films,Drama,"$1,274,420","142,075"
246,3 Idiotas,"Jun 2, 2017",Lionsgate,Comedy,"$1,249,233","139,267"
247,The Square,"Oct 27, 2017",Magnolia Pictures,Drama,"$1,223,426","136,390"
248,The Women’s Balcony,"Mar 3, 2017",Dada Films,Comedy,"$1,200,885","133,877"
249,The Trip to Spain,"Aug 11, 2017",IFC Films,Comedy,"$1,157,604","129,052"
250,Step,"Aug 4, 2017",Fox Searchlight,Documentary,"$1,146,292","127,792"
251,Lady Macbeth,"Jul 14, 2017",Roadside Attractions,Drama,"$1,129,408","125,909"
252,Viceroy’s House,"Sep 1, 2017",IFC Films,Drama,"$1,105,717","123,268"
253,The Battleship Island,"Aug 4, 2017",CJ Entertainment,Drama,"$1,104,957","123,183"
254,The Eagle Huntress,"Nov 2, 2016",Sony Pictures Cla…,Documentary,"$1,079,051","120,295"
255,Wonderstruck,"Oct 20, 2017",Roadside Attractions,Drama,"$1,033,632","115,232"
256,Columbus,"Aug 4, 2017",Superlative Films,Drama,"$1,017,107","113,389"
257,Golmaal Again,"Oct 20, 2017",Reliance Entertai…,Musical,"$1,013,893","113,031"
258,Last Flag Flying,"Nov 3, 2017",Amazon Studios,Comedy,"$965,481","107,634"
259,Lucky,"Sep 29, 2017",Magnolia Pictures,Drama,"$955,925","106,569"
260,Landline,"Jul 21, 2017",Amazon Studios,Comedy,"$940,854","104,888"
261,Tubelight,"Jun 23, 2017",Yash Raj Films,Adventure,"$930,058","103,685"
262,The Red Turtle,"Jan 20, 2017",Sony Pictures Cla…,Adventure,"$920,057","102,570"
263,Frantz,"Mar 15, 2017",Music Box Films,Drama,"$880,883","98,203"
264,Journey to the West: The De…,"Feb 3, 2017",Sony Pictures,Action,"$880,346","98,143"
265,The Polar Express,"Nov 10, 2004",Warner Bros.,Adventure,"$876,864","97,755"
266,Jagga Jasoos,"Jul 14, 2017",UTV Communications,Adventure,"$861,740","96,069"
267,Patti Cake$,"Aug 18, 2017",Fox Searchlight,Comedy,"$800,148","89,203"
268,Neruda,"Dec 16, 2016",The Orchard,Drama,"$798,648","89,035"
269,Mark Felt: The Man Who Brou…,"Sep 29, 2017",Sony Pictures Cla…,Thriller/Suspense,"$768,646","85,690"
270,Mubarakan,"Jul 28, 2017",Sony Pictures,Romantic Comedy,"$758,868","84,601"
271,May it Last: A Portrait of …,"Sep 12, 2017",Oscilloscope Pict…,Documentary,"$725,286","80,856"
272,Toilet: Ek Prem Katha,"Aug 11, 2017",Reliance Entertai…,Comedy,"$709,420","79,088"
273,The Exception,"Jun 2, 2017",A24,Drama,"$708,972","79,038"
274,Maurice,"Jan 1, 1987",,Drama,"$702,674","78,336"
275,Titanic,"Dec 19, 1997",Paramount Pictures,Drama,"$691,642","77,106"
276,Lost in Paris,"Jun 16, 2017",Oscilloscope Pict…,Drama,"$691,597","77,101"
277,The Devotion of Suspect X,"Mar 31, 2017",China Lion Film D…,Thriller/Suspense,"$686,435","76,525"
278,Wilson,"Mar 24, 2017",Fox Searchlight,Comedy,"$653,951","72,904"
279,Along With The Gods: The Tw…,"Dec 22, 2017",Well Go USA,Action,"$641,875","71,557"
280,The Only Living Boy in New …,"Aug 11, 2017",Roadside Attractions,Drama,"$624,332","69,602"
281,"Faces, Places","Oct 6, 2017",Cohen Media Group,Documentary,"$604,636","67,406"
282,The Midwife,"Jul 21, 2017",Music Box Films,Thriller/Suspense,"$603,582","67,288"
283,Battle of Memories,"Apr 28, 2017",China Lion Film D…,Thriller/Suspense,"$587,470","65,492"
284,Master,"Jan 6, 2017",CJ Entertainment,Action,"$584,298","65,139"
285,Tommy’s Honour,"Apr 14, 2017",Roadside Attractions,Drama,"$569,306","63,467"
286,Novitiate,"Oct 27, 2017",Sony Pictures Cla…,Drama,"$567,050","63,216"
287,Bitter Harvest,"Feb 24, 2017",Roadside Attractions,Drama,"$557,241","62,122"
288,Dolores,"Sep 1, 2017",PBS Distribution,Documentary,"$549,671","61,278"
289,Human Flow,"Oct 13, 2017",Amazon Studios,Documentary,"$527,845","58,845"
290,Phantom Thread,"Dec 25, 2017",Focus Features,Drama,"$527,840","58,845"
291,Under the Sea 3D,"Feb 13, 2009",Warner Bros.,Documentary,"$525,011","58,529"
292,Fairy Tail: Dragon Cry,"Aug 14, 2017",FUNimation,Action,"$519,461","57,910"
293,Brigsby Bear,"Jul 28, 2017",Sony Pictures Cla…,Comedy,"$515,765","57,498"
