Rank,Movie,Release,Distributor,Genre,2011 Gross,Tickets Sold
53,Black Swan,"Dec 3, 2010",Fox Searchlight,Thriller/Suspense,"$59,146,887","7,458,624"
54,Water for Elephants,"Apr 22, 2011",20th Century Fox,Drama,"$58,709,717","7,403,495"
55,The Lincoln Lawyer,"Mar 18, 2011",Lionsgate,Thriller/Suspense,"$58,009,200","7,315,157"
56,Midnight in Paris,"May 20, 2011",Sony Pictures Cla…,Romantic Comedy,"$56,377,732","7,109,423"
57,Friends with Benefits,"Jul 22, 2011",Sony Pictures,Romantic Comedy,"$55,802,754","7,036,917"
58,The Girl with the Dragon Ta…,"Dec 20, 2011",Sony Pictures,Thriller/Suspense,"$55,584,881","7,009,442"
59,I am Number Four,"Feb 18, 2011",Walt Disney,Adventure,"$55,100,437","6,948,352"
60,Source Code,"Apr 1, 2011",Summit Entertainment,Thriller/Suspense,"$54,712,227","6,899,398"
61,Insidious ,"Apr 1, 2011",FilmDistrict,Horror,"$54,009,150","6,810,737"
62,Madea's Big Happy Family,"Apr 22, 2011",Lionsgate,Comedy,"$53,345,287","6,727,022"
63,Diary of a Wimpy Kid: Rodri…,"Mar 25, 2011",20th Century Fox,Adventure,"$52,698,535","6,645,465"
64,Footloose,"Oct 14, 2011",Paramount Pictures,Musical,"$51,670,512","6,515,827"
65,The Adventures of Tintin,"Dec 21, 2011",Paramount Pictures,Adventure,"$51,400,450","6,481,772"
66,Hugo,"Nov 23, 2011",Paramount Pictures,Adventure,"$50,313,495","6,344,703"
67,The Dilemma,"Jan 14, 2011",Universal,Comedy,"$48,475,290","6,112,899"
68,New Year’s Eve,"Dec 9, 2011",Warner Bros.,Romantic Comedy,"$47,257,823","5,959,372"
69,The Fighter,"Dec 10, 2010",Paramount Pictures,Drama,"$47,228,156","5,955,631"
70,Little Fockers,"Dec 22, 2010",Universal,Comedy,"$45,862,410","5,783,406"
71,Arthur Christmas,"Nov 23, 2011",Sony Pictures,Adventure,"$45,820,235","5,778,087"
72,Hall Pass,"Feb 25, 2011",Warner Bros.,Comedy,"$45,060,734","5,682,312"
73,We Bought a Zoo,"Dec 23, 2011",20th Century Fox,Drama,"$44,490,999","5,610,466"
74,Soul Surfer,"Apr 8, 2011",Sony Pictures,Drama,"$43,853,424","5,530,066"
75,Final Destination 5,"Aug 12, 2011",Warner Bros.,Horror,"$42,587,643","5,370,447"
76,The Ides of March,"Oct 7, 2011",Sony Pictures,Drama,"$40,825,612","5,148,248"
77,Tron: Legacy,"Dec 17, 2010",Walt Disney,Adventure,"$40,757,919","5,139,712"
78,War Horse,"Dec 25, 2011",Walt Disney,Drama,"$40,451,772","5,101,106"
79,The Descendants,"Nov 16, 2011",Fox Searchlight,Drama,"$40,315,665","5,083,943"
80,Hanna,"Apr 8, 2011",Focus Features,Thriller/Suspense,"$40,259,119","5,076,811"
81,Something Borrowed,"May 6, 2011",Warner Bros.,Romantic Comedy,"$39,046,489","4,923,895"
82,Spy Kids: All the Time in t…,"Aug 19, 2011",Weinstein/Dimension,Adventure,"$38,536,376","4,859,568"
83,Scream 4,"Apr 15, 2011",Weinstein/Dimension,Horror,"$38,180,928","4,814,745"
84,"Big Mommas: Like Father, Li…","Feb 18, 2011",20th Century Fox,Comedy,"$37,915,414","4,781,263"
85,Red Riding Hood,"Mar 11, 2011",Warner Bros.,Thriller/Suspense,"$37,662,162","4,749,327"
86,Paul,"Mar 18, 2011",Universal,Comedy,"$37,412,945","4,717,900"
87,The Roommate,"Feb 4, 2011",Sony Pictures,Thriller/Suspense,"$37,300,107","4,703,670"
88,Jumping the Broom,"May 6, 2011",Sony Pictures,Romantic Comedy,"$37,295,394","4,703,076"
89,The Change-Up,"Aug 5, 2011",Universal,Comedy,"$37,243,418","4,696,522"
90,In Time,"Oct 28, 2011",20th Century Fox,Thriller/Suspense,"$37,076,415","4,675,462"
91,30 Minutes or Less,"Aug 12, 2011",Sony Pictures,Black Comedy,"$37,053,924","4,672,625"
92,Colombiana,"Aug 26, 2011",Sony Pictures,Thriller/Suspense,"$36,665,854","4,623,689"
93,J. Edgar,"Nov 9, 2011",Warner Bros.,Drama,"$36,650,831","4,621,795"
94,Sucker Punch,"Mar 25, 2011",Warner Bros.,Action,"$36,392,502","4,589,218"
95,Larry Crowne,"Jul 1, 2011",Universal,Romantic Comedy,"$35,608,245","4,490,321"
96,50/50,"Sep 30, 2011",Summit Entertainment,Black Comedy,"$35,016,118","4,415,651"
97,A Very Harold & Kumar 3D Ch…,"Nov 4, 2011",Warner Bros.,Comedy,"$34,928,545","4,404,608"
98,Drive,"Sep 16, 2011",FilmDistrict,Action,"$34,833,047","4,392,565"
99,Yogi Bear,"Dec 17, 2010",Warner Bros.,Adventure,"$34,490,675","4,349,392"
100,Courageous,"Sep 30, 2011",Sony Pictures,Drama,"$34,035,920","4,292,045"
101,The Rite,"Jan 28, 2011",Warner Bros.,Horror,"$33,047,633","4,167,419"
102,Arthur,"Apr 8, 2011",Warner Bros.,Romantic Comedy,"$33,035,397","4,165,876"
103,Tangled,"Nov 24, 2010",Walt Disney,Musical,"$32,999,950","4,161,406"
104,The Debt,"Aug 31, 2011",Focus Features,Thriller/Suspense,"$31,177,548","3,931,594"
105,Priest,"May 13, 2011",Sony Pictures,Horror,"$29,136,626","3,674,227"
106,The Mechanic,"Jan 28, 2011",CBS Films,Action,"$29,121,498","3,672,320"
107,Abduction,"Sep 23, 2011",Lionsgate,Thriller/Suspense,"$28,087,155","3,541,885"
108,Beastly,"Mar 4, 2011",CBS Films,Drama,"$27,865,571","3,513,943"
109,The Sitter,"Dec 9, 2011",20th Century Fox,Black Comedy,"$26,816,340","3,381,632"
110,Winnie the Pooh,"Jul 15, 2011",Walt Disney,Adventure,"$26,692,846","3,366,058"
111,Killer Elite,"Sep 23, 2011",Open Road,Action,"$25,124,986","3,168,346"
112,Season of the Witch,"Jan 7, 2011",Relativity,Action,"$24,827,228","3,130,797"
113,Our Idiot Brother,"Aug 26, 2011",Weinstein Co.,Comedy,"$24,814,830","3,129,234"
114,Don't Be Afraid of the Dark ,"Aug 26, 2011",FilmDistrict,Horror,"$24,046,682","3,032,368"
115,Sanctum,"Feb 4, 2011",Universal,Action,"$23,209,310","2,926,773"
116,Monte Carlo,"Jul 1, 2011",20th Century Fox,Romantic Comedy,"$23,186,769","2,923,931"
117,Your Highness,"Apr 8, 2011",Universal,Comedy,"$21,596,445","2,723,385"
118,Mars Needs Moms,"Mar 11, 2011",Walt Disney,Adventure,"$21,392,758","2,697,699"
119,Dream House,"Sep 30, 2011",Universal,Horror,"$21,302,340","2,686,298"
120,Conan the Barbarian,"Aug 19, 2011",Lionsgate,Action,"$21,295,021","2,685,374"
121,The Three Musketeers,"Oct 21, 2011",Summit Entertainment,Adventure,"$20,377,913","2,569,724"
122,Country Strong,"Dec 22, 2010",Sony Pictures,Drama,"$20,099,179","2,534,574"
123,The Eagle,"Feb 11, 2011",Focus Features,Action,"$19,490,041","2,457,760"
124,Shark Night 3D,"Sep 2, 2011",Relativity,Horror,"$18,877,153","2,380,473"
125,Fright Night ,"Aug 19, 2011",Walt Disney,Horror,"$18,298,649","2,307,521"
126,Apollo 18,"Sep 2, 2011",Weinstein Co.,Thriller/Suspense,"$17,686,929","2,230,381"
127,The Chronicles of Narnia: T…,"Dec 10, 2010",20th Century Fox,Adventure,"$17,460,553","2,201,835"
128,The Thing,"Oct 14, 2011",Universal,Horror,"$16,999,934","2,143,750"
129,African Cats,"Apr 22, 2011",Walt Disney,Documentary,"$15,428,747","1,945,617"
130,Gulliver's Travels,"Dec 25, 2010",20th Century Fox,Adventure,"$15,324,755","1,932,504"
131,Born to be Wild 3D,"Apr 8, 2011",Warner Bros.,Documentary,"$15,183,665","1,914,712"
132,Judy Moody and the Not Bumm…,"Jun 10, 2011",Relativity,Adventure,"$15,013,650","1,893,272"
133,What's Your Number?,"Sep 30, 2011",20th Century Fox,Romantic Comedy,"$14,011,084","1,766,845"
134,One Day,"Aug 19, 2011",Focus Features,Drama,"$13,843,771","1,745,746"
135,Warrior,"Sep 9, 2011",Lionsgate,Drama,"$13,657,115","1,722,208"
136,The Tree of Life,"May 27, 2011",Fox Searchlight,Drama,"$13,305,665","1,677,890"
137,The Darkest Hour,"Dec 25, 2011",Summit Entertainment,Action,"$13,137,963","1,656,741"
138,The Rum Diary,"Oct 28, 2011",FilmDistrict,Drama,"$13,109,815","1,653,192"
139,The Tourist,"Dec 10, 2010",Sony Pictures,Thriller/Suspense,"$12,997,966","1,639,087"
140,Young Adult,"Dec 9, 2011",Paramount Pictures,Comedy,"$12,669,252","1,597,636"
141,Harry Potter and the Deathl…,"Nov 19, 2010",Warner Bros.,Adventure,"$12,450,090","1,569,999"
142,Glee: The 3D Concert Movie,"Aug 10, 2011",20th Century Fox,Concert/Perfor…,"$11,862,398","1,495,889"
143,The Conspirator,"Apr 15, 2011",Roadside Attractions,Drama,"$11,538,204","1,455,006"
144,Jane Eyre,"Mar 11, 2011",Focus Features,Drama,"$11,242,660","1,417,737"
145,Drive Angry,"Feb 25, 2011",Summit Entertainment,Action,"$10,721,033","1,351,958"
146,Straw Dogs,"Sep 16, 2011",Sony Pictures,Thriller/Suspense,"$10,324,441","1,301,947"
147,Win Win,"Mar 18, 2011",Fox Searchlight,Drama,"$10,179,275","1,283,641"
148,Hoodwinked Too: Hood vs. Evil,"Apr 29, 2011",Weinstein Co.,Adventure,"$10,143,779","1,279,165"
149,Prom,"Apr 29, 2011",Walt Disney,Comedy,"$10,130,219","1,277,455"
150,Hubble 3D,"Mar 19, 2010",Warner Bros.,Documentary,"$9,936,258","1,252,996"
151,I Don't Know How She Does It,"Sep 16, 2011",Weinstein Co.,Comedy,"$9,659,074","1,218,042"
152,Blue Valentine,"Dec 29, 2010",Weinstein Co.,Drama,"$9,446,285","1,191,208"
153,My Week with Marilyn,"Nov 23, 2011",Weinstein Co.,Drama,"$8,935,721","1,126,824"
154,Johnny English Reborn,"Oct 21, 2011",Universal,Adventure,"$8,406,711","1,060,115"
155,127 Hours,"Nov 5, 2010",Fox Searchlight,Drama,"$7,900,795","996,317"
156,Kevin Hart: Laugh at My Pain,"Sep 9, 2011",Codeblack Enterta…,Concert/Perfor…,"$7,706,436","971,807"
157,Sarah's Key,"Jul 22, 2011",Weinstein Co.,Drama,"$7,691,700","969,949"
158,Barney's Version,"Dec 17, 2010",Sony Pictures Cla…,Drama,"$7,502,560","946,098"
159,The Big Year,"Oct 14, 2011",20th Century Fox,Comedy,"$7,204,138","908,466"
160,Take Me Home Tonight,"Mar 4, 2011",Relativity,Comedy,"$6,928,068","873,652"
161,Cedar Rapids,"Feb 11, 2011",Fox Searchlight,Comedy,"$6,861,102","865,208"
162,Incendies,"Sep 17, 2010",,Drama,"$6,857,096","864,703"
163,Beginners,"Jun 3, 2011",Focus Features,Drama,"$5,790,894","730,251"
164,The Guard,"Jul 29, 2011",Sony Pictures Cla…,Comedy,"$5,336,144","672,905"
165,Cave of Forgotten Dreams,"Apr 29, 2011",IFC Films,Documentary,"$5,304,920","668,968"
166,Margin Call,"Oct 21, 2011",Roadside Attractions,Drama,"$5,246,366","661,584"
167,How Do You Know?,"Dec 17, 2010",Sony Pictures,Romantic Comedy,"$5,171,726","652,172"
168,Biutiful,"Jan 28, 2011",Roadside Attractions,Drama,"$5,101,237","643,283"
169,The Artist,"Nov 25, 2011",Weinstein Co.,Drama,"$5,044,344","636,108"
170,Under the Sea 3D,"Feb 13, 2009",Warner Bros.,Documentary,"$5,030,172","634,321"
171,Atlas Shrugged: Part 1,"Apr 15, 2011",Rocky Mountain Pi…,Drama,"$4,752,353","599,287"
172,Sea Rex 3D,"May 28, 2010",3D Entertainment,Documentary,"$4,465,060","563,059"
173,Anonymous,"Oct 28, 2011",Sony Pictures,Drama,"$4,463,292","562,836"
174,The Company Men,"Jan 21, 2011",Weinstein Co.,Drama,"$4,444,612","560,480"
175,Seven Days in Utopia,"Sep 2, 2011",Visio Entertainment,Drama,"$4,367,448","550,750"
176,MegaMind,"Nov 5, 2010",Paramount Pictures,Adventure,"$4,223,825","532,639"
177,The Way,"Oct 7, 2011",Producers Distrib…,Drama,"$4,170,058","525,858"
178,Buck,"Jun 17, 2011",IFC Films,Documentary,"$4,036,175","508,975"
179,Tinker Tailor Soldier Spy,"Dec 9, 2011",Focus Features,Thriller/Suspense,"$3,955,762","498,835"
180,Of Gods and Men,"Feb 25, 2011",Sony Pictures Cla…,Drama,"$3,954,651","498,694"
181,The Social Network,"Oct 1, 2010",Sony Pictures,Drama,"$3,740,668","471,710"
182,Starbuck,"Jul 29, 2011",Entertainment One,Comedy,"$3,450,087","435,067"
183,Like Crazy,"Oct 28, 2011",Paramount Pictures,Drama,"$3,372,100","425,233"
184,Le sens de l’humour,"Jul 6, 2011",Alliance Atlantis,Comedy,"$3,179,193","400,907"
185,Don 2,"Dec 22, 2011",Reliance Big Pict…,Action,"$3,174,426","400,305"
186,Zindagi Na Milegi Dobara,"Jul 15, 2011",Eros Entertainment,Drama,"$3,103,656","391,381"
187,The Skin I Live In,"Oct 14, 2011",Sony Pictures Cla…,Thriller/Suspense,"$3,042,108","383,620"
188,Another Year,"Dec 29, 2010",Sony Pictures Cla…,Drama,"$3,041,052","383,487"
189,From Prada to Nada,"Jan 28, 2011",Lionsgate,Romantic Comedy,"$3,033,623","382,550"
190,Martha Marcy May Marlene,"Oct 21, 2011",Fox Searchlight,Thriller/Suspense,"$2,913,443","367,395"
191,The Way Back,"Dec 29, 2010",Newmarket Films,Adventure,"$2,719,296","342,912"
192,Everything Must Go,"May 13, 2011",Roadside Attractions,Drama,"$2,712,131","342,008"
193,Bucky Larson: Born to Be a …,"Sep 9, 2011",Sony Pictures,Comedy,"$2,529,395","318,965"
194,Melancholia,"Nov 11, 2011",Magnolia Pictures,Thriller/Suspense,"$2,517,506","317,466"
195,Ra. One,"Oct 26, 2011",Eros Entertainment,Action,"$2,509,150","316,412"
196,The Grace Card,"Feb 25, 2011",Samuel Goldwyn Films,Drama,"$2,430,735","306,523"
197,Space Station,"Apr 19, 2002",IMAX Films,Documentary,"$2,167,258","273,298"
198,George Balanchine's The Nut…,"Dec 13, 2011",NCM Fathom,Concert/Perfor…,"$2,119,994","267,338"
199,The Illusionist,"Dec 25, 2010",Sony Pictures Cla…,Adventure,"$2,107,998","265,825"
200,Unstoppable,"Nov 12, 2010",20th Century Fox,Action,"$2,094,456","264,118"
201,The Lord of the Rings: The …,"Dec 12, 2003",New Line,Adventure,"$2,033,839","256,474"
202,The Trip,"Jun 10, 2011",IFC Films,Comedy,"$2,030,962","256,111"
203,Shame,"Dec 2, 2011",Fox Searchlight,Drama,"$1,965,874","247,903"
204,The Mighty Macs,"Oct 21, 2011",Quaker Media,Drama,"$1,891,936","238,579"
205,Gerry ,"Jun 15, 2011",Films Seville,Drama,"$1,844,754","232,629"
206,Bodyguard,"Aug 31, 2011",Reliance Big Pict…,Action,"$1,834,384","231,322"
207,Rabbit Hole,"Dec 17, 2010",Lionsgate,Drama,"$1,793,829","226,207"
208,A Better Life,"Jun 24, 2011",Summit Entertainment,Drama,"$1,759,252","221,847"
209,The Lord of the Rings: The …,"Dec 5, 2003",New Line,Adventure,"$1,707,173","215,280"
210,Burlesque,"Nov 24, 2010",Sony Pictures,Musical,"$1,707,094","215,270"
211,Take Shelter,"Sep 30, 2011",Sony Pictures Cla…,Drama,"$1,671,202","210,744"
212,Potiche,"Mar 25, 2011",Music Box Films,Comedy,"$1,618,844","204,141"
213,Senna,"Aug 12, 2011",Universal,Documentary,"$1,612,430","203,332"
214,I Am,"Feb 18, 2011",Paladin,Documentary,"$1,591,034","200,634"
215,A Dangerous Method,"Nov 23, 2011",Sony Pictures Cla…,Drama,"$1,576,757","198,834"
216,Cafe de flore,"Sep 2, 2011",Alliance Atlantis,Drama,"$1,574,881","198,597"
217,Monsieur Lazhar,"Oct 28, 2011",Films Seville,Drama,"$1,561,107","196,860"
218,Delhi Belly,"Jul 1, 2011",UTV Communications,Comedy,"$1,532,594","193,265"
219,The Double Hour,"Apr 15, 2011",Samuel Goldwyn Films,Thriller/Suspense,"$1,514,942","191,039"
220,Bill Cunningham New York,"Mar 16, 2011",Zeitgeist,Documentary,"$1,510,026","190,419"
221,Breakaway,"Sep 30, 2011",Alliance Atlantis,Comedy,"$1,481,735","186,851"
222,The Art of Getting By,"Jun 17, 2011",Fox Searchlight,Romantic Comedy,"$1,430,241","180,358"
223,Saving Private Perez,"Sep 2, 2011",Lionsgate,Action,"$1,400,726","176,636"
224,Certified Copy,"Mar 11, 2011",IFC Films,Drama,"$1,373,975","173,263"
225,The Devil's Double,"Jul 29, 2011",Lionsgate,Drama,"$1,361,512","171,691"
226,Somewhere,"Dec 22, 2010",Focus Features,Drama,"$1,352,809","170,593"
227,2011 Oscar Shorts,"Feb 11, 2011",Shorts International,Multiple Genres,"$1,352,152","170,510"
228,Snow Flower and the Secret Fan,"Jul 15, 2011",Fox Searchlight,Drama,"$1,348,205","170,013"
229,"No Eres Tu, Soy Yo","Apr 8, 2011",Lionsgate,Romantic Comedy,"$1,339,911","168,967"
230,Another Earth,"Jul 22, 2011",Fox Searchlight,Drama,"$1,321,194","166,607"
231,Due Date,"Nov 5, 2010",Warner Bros.,Comedy,"$1,307,121","164,832"
232,"Beats, Rhymes & Life: The T…","Jul 8, 2011",Sony Pictures Cla…,Documentary,"$1,200,046","151,329"
233,Kill The Irishman,"Mar 11, 2011",Anchor Bay Entert…,Drama,"$1,188,194","149,835"
234,Dylan Dog: Dead of Night,"Apr 29, 2011",Omin/Freestyle,Horror,"$1,186,538","149,626"
235,Sholem Aleichem: Laughing i…,"Jul 8, 2011",International Fil…,Documentary,"$1,131,261","142,655"
236,The Whistleblower,"Aug 5, 2011",Samuel Goldwyn Films,Drama,"$1,120,914","141,351"
237,The Heart Specialist,"Jan 14, 2011",Freestyle Releasing,Romantic Comedy,"$1,103,037","139,096"
238,Love and Other Drugs,"Nov 24, 2010",20th Century Fox,Drama,"$1,099,917","138,703"
239,There Be Dragons,"May 6, 2011",Samuel Goldwyn Films,Drama,"$1,069,334","134,846"
240,Page One: Inside the New Yo…,"Jun 17, 2011",Magnolia Pictures,Documentary,"$1,067,028","134,555"
241,Desi Boyz,"Nov 25, 2011",Eros Entertainment,Comedy,"$1,066,167","134,447"
242,Red State,"Sep 23, 2011",Smodshow Productions,Horror,"$1,065,429","134,354"
243,Attack the Block,"Jul 29, 2011",Sony Pictures,Action,"$1,024,175","129,151"
244,In a Better World,"Apr 1, 2011",Sony Pictures Cla…,Drama,"$1,008,098","127,124"
245,Rockstar,"Nov 11, 2011",Eros Entertainment,Drama,"$985,912","124,326"
246,Meek's Cutoff,"Apr 8, 2011",Oscilloscope Pict…,Drama,"$977,772","123,300"
247,Yamla Pagla Deewana,"Jan 14, 2011",Eros Entertainment,Comedy,"$971,240","122,476"
248,The Beaver,"May 6, 2011",Summit Entertainment,Comedy,"$970,816","122,423"
249,Ready,"Jun 3, 2011",Eros Entertainment,Comedy,"$934,951","117,900"
250,I Love You Phillip Morris,"Dec 3, 2010",Roadside Attractions,Comedy,"$911,157","114,900"
251,Red,"Oct 15, 2010",Summit Entertainment,Action,"$874,975","110,337"
252,Inside Job,"Oct 8, 2010",Sony Pictures Cla…,Documentary,"$859,817","108,425"
253,Higher Ground,"Aug 23, 2011",Mongrel Media,Drama,"$841,056","106,060"
254,Sur le rythme,"Aug 12, 2011",Films Seville,,"$833,180","105,066"
255,The Lord of the Rings: The …,"Dec 17, 2003",New Line,Adventure,"$832,832","105,022"
256,Casino Jack,"Dec 17, 2010",Samuel Goldwyn Films,Thriller/Suspense,"$808,865","102,000"
257,13 Assassins,"Apr 29, 2011",Magnolia Pictures,Action,"$802,778","101,233"
258,Le hérisson,"Mar 12, 2010",,Drama,"$755,668","95,292"
259,Service Entrance,"Jun 3, 2011",Films Seville,Comedy,"$733,294","92,470"
260,Mausam,"Sep 23, 2011",Eros Entertainment,,"$725,966","91,546"
261,The Polar Express,"Nov 10, 2004",Warner Bros.,Adventure,"$711,168","89,681"
262,Point Blank,"Jul 29, 2011",Magnolia Pictures,Thriller/Suspense,"$708,215","89,308"
263,Hobo with a Shotgun,"May 6, 2011",Magnolia Pictures,Action,"$703,372","88,697"
264,Tabloid!,"Jul 15, 2011",IFC Films,Documentary,"$696,921","87,884"
265,Mozart’s Sister,"Aug 19, 2011",Music Box Films,Drama,"$684,496","86,317"
266,Terri,"Jul 1, 2011",ATO Pictures,Comedy,"$655,802","82,698"
267,Aarakshan,"Aug 12, 2011",Reliance Big Pict…,Drama,"$651,096","82,105"
268,Secretariat,"Oct 8, 2010",Walt Disney,Drama,"$645,831","81,441"
269,Patiala House,"Feb 11, 2011",Tachyon,Drama,"$644,010","81,211"
270,POM Wonderful Presents: The…,"Apr 22, 2011",Sony Pictures Cla…,Documentary,"$638,476","80,513"
271,The Last Lions,"Feb 18, 2011",National Geograph…,Documentary,"$635,325","80,116"
272,U2 3D,"Feb 15, 2008",National Geograph…,Concert/Perfor…,"$625,031","78,818"
273,Made in Dagenham,"Nov 19, 2010",Sony Pictures Cla…,Drama,"$602,990","76,039"
274,Mumbai Diaries,"Jan 21, 2011",UTV Communications,Drama,"$577,485","72,822"
275,The Future,"Jul 29, 2011",Roadside Attractions,Drama,"$568,662","71,710"
276,Dum Maaro Dum,"Apr 22, 2011",Fox Searchlight,Drama,"$564,489","71,183"
277,Even the Rain,"Feb 18, 2011",Vitagraph Films,Drama,"$558,132","70,382"
278,Metropolis,"Mar 13, 1927",Paramount Pictures,Action,"$556,412","70,165"
279,Double Dhamaal,"Jun 24, 2011",Reliance Big Pict…,Comedy,"$543,646","68,555"
280,Winter in Wartime,"Mar 18, 2011",Sony Pictures Cla…,Drama,"$542,860","68,456"
281,Love Crime,"Sep 2, 2011",IFC Films,Thriller/Suspense,"$539,792","68,070"
282,Machine Gun Preacher,"Sep 23, 2011",Relativity,Drama,"$538,690","67,930"
283,Deep Sea 3-D,"Mar 3, 2006",Warner Bros.,Documentary,"$524,144","66,096"
284,The Names of Love,"Jun 24, 2011",Music Box Films,Comedy,"$514,237","64,847"
285,Creature,"Sep 9, 2011",The Bubble Factory,Horror,"$508,714","64,150"
286,Bride Flight,"Jun 10, 2011",Music Box Films,Drama,"$501,360","63,223"
287,My Brother Ki Dulhan,"Sep 9, 2011",Yash Raj Films,Romantic Comedy,"$496,172","62,568"
288,Life as We Know It,"Oct 8, 2010",Warner Bros.,Romantic Comedy,"$488,173","61,560"
