Rank,Movie,Release,Distributor,Genre,2011 Gross,Tickets Sold
1,Harry Potter and the Deathl…,"Jul 15, 2011",Warner Bros.,Adventure,"$381,011,219","48,046,812"
2,Transformers: Dark of the Moon,"Jun 29, 2011",Paramount Pictures,Action,"$352,390,543","44,437,647"
3,The Twilight Saga: Breaking…,"Nov 18, 2011",Summit Entertainment,Drama,"$275,530,738","34,745,364"
4,The Hangover Part II,"May 26, 2011",Warner Bros.,Comedy,"$254,464,305","32,088,815"
5,Pirates of the Caribbean: O…,"May 20, 2011",Walt Disney,Adventure,"$241,071,802","30,399,975"
6,Fast Five,"Apr 29, 2011",Universal,Action,"$210,031,325","26,485,665"
7,Cars 2,"Jun 24, 2011",Walt Disney,Adventure,"$191,450,875","24,142,607"
8,Thor,"May 6, 2011",Paramount Pictures,Action,"$181,030,624","22,828,578"
9,Rise of the Planet of the Apes,"Aug 5, 2011",20th Century Fox,Adventure,"$176,760,185","22,290,061"
10,Captain America: The First …,"Jul 22, 2011",Paramount Pictures,Action,"$176,654,505","22,276,735"
11,The Help,"Aug 10, 2011",Walt Disney,Drama,"$169,499,546","21,374,469"
12,Bridesmaids,"May 13, 2011",Universal,Comedy,"$169,211,718","21,338,174"
13,Kung Fu Panda 2,"May 26, 2011",Paramount Pictures,Adventure,"$165,249,063","20,838,469"
14,X-Men: First Class,"Jun 3, 2011",20th Century Fox,Action,"$146,408,305","18,462,586"
15,Puss in Boots,"Oct 28, 2011",Paramount Pictures,Adventure,"$145,738,327","18,378,099"
16,Rio,"Apr 15, 2011",20th Century Fox,Adventure,"$143,619,809","18,110,947"
17,The Smurfs,"Jul 29, 2011",Sony Pictures,Adventure,"$142,614,158","17,984,130"
18,Mission: Impossible—Ghost P…,"Dec 21, 2011",Paramount Pictures,Action,"$141,186,646","17,804,117"
19,Sherlock Holmes: A Game of …,"Dec 16, 2011",Warner Bros.,Action,"$136,910,219","17,264,845"
20,Super 8,"Jun 10, 2011",Paramount Pictures,Thriller/Suspense,"$127,004,179","16,015,659"
21,Rango,"Mar 4, 2011",Paramount Pictures,Adventure,"$123,477,607","15,570,947"
22,Horrible Bosses,"Jul 8, 2011",Warner Bros.,Comedy,"$117,538,559","14,822,012"
23,Green Lantern,"Jun 17, 2011",Warner Bros.,Action,"$116,601,172","14,703,805"
24,The King’s Speech,"Nov 26, 2010",Weinstein Co.,Drama,"$115,865,048","14,610,977"
25,Hop,"Apr 1, 2011",Universal,Adventure,"$108,085,305","13,629,925"
26,Paranormal Activity 3,"Oct 21, 2011",Paramount Pictures,Horror,"$104,007,828","13,115,741"
27,Just Go With It,"Feb 11, 2011",Sony Pictures,Romantic Comedy,"$103,028,109","12,992,195"
28,Cowboys and Aliens,"Jul 29, 2011",Universal,Action,"$100,368,560","12,656,817"
29,Bad Teacher,"Jun 24, 2011",Sony Pictures,Comedy,"$100,292,856","12,647,270"
30,Gnomeo and Juliet,"Feb 11, 2011",Walt Disney,Comedy,"$99,967,670","12,606,263"
31,The Green Hornet,"Jan 14, 2011",Sony Pictures,Action,"$98,780,042","12,456,499"
32,Alvin and the Chipmunks: Ch…,"Dec 16, 2011",20th Century Fox,Adventure,"$97,848,114","12,338,980"
33,The Lion King,"Jun 15, 1994",Walt Disney,Adventure,"$94,233,351","11,883,146"
34,True Grit,"Dec 22, 2010",Paramount Pictures,Western,"$84,572,623","10,664,896"
35,Real Steel,"Oct 7, 2011",Walt Disney,Action,"$84,493,241","10,654,885"
36,"Crazy, Stupid, Love","Jul 29, 2011",Warner Bros.,Comedy,"$84,351,197","10,636,973"
37,Battle: Los Angeles,"Mar 11, 2011",Sony Pictures,Action,"$83,552,429","10,536,245"
38,Immortals,"Nov 11, 2011",Relativity,Action,"$82,656,999","10,423,329"
39,The Muppets ,"Nov 23, 2011",Walt Disney,Adventure,"$82,529,452","10,407,244"
40,Zookeeper,"Jul 8, 2011",Sony Pictures,Romantic Comedy,"$80,360,866","10,133,778"
41,Limitless,"Mar 18, 2011",Relativity,Thriller/Suspense,"$79,249,455","9,993,626"
42,Tower Heist,"Nov 4, 2011",Universal,Comedy,"$76,802,225","9,685,022"
43,Contagion,"Sep 9, 2011",Warner Bros.,Thriller/Suspense,"$75,658,097","9,540,744"
44,Moneyball,"Sep 23, 2011",Sony Pictures,Drama,"$74,961,642","9,452,918"
45,Justin Bieber: Never Say N…,"Feb 11, 2011",Paramount Pictures,Concert/Perfor…,"$73,013,910","9,207,303"
46,Dolphin Tale,"Sep 23, 2011",Warner Bros.,Drama,"$72,015,969","9,081,459"
47,Jack and Jill,"Nov 11, 2011",Sony Pictures,Comedy,"$71,697,648","9,041,317"
48,No Strings Attached,"Jan 21, 2011",Paramount Pictures,Romantic Comedy,"$70,662,220","8,910,747"
49,Mr. Popper's Penguins,"Jun 17, 2011",20th Century Fox,Adventure,"$68,224,452","8,603,336"
50,Unknown,"Feb 18, 2011",Warner Bros.,Thriller/Suspense,"$63,686,397","8,031,072"
51,The Adjustment Bureau,"Mar 4, 2011",Universal,Thriller/Suspense,"$62,495,645","7,880,914"
52,Happy Feet Two,"Nov 18, 2011",Warner Bros.,Adventure,"$60,965,866","7,688,003"
