Movie,Release,id_genre,id_distributor,Gross
Transformers: Dark of the Moon,2011-06-29,gen2,dist6,352390543.0
"The Twilight Saga: Breaking Dawn, Part 1",2011-11-18,gen3,dist20,281287133.0
The Hangover Part II,2011-05-26,gen4,dist2,254464305.0
Pirates of the Caribbean: On Stranger Tides,2011-05-20,gen1,dist1,241069159.66666666
Fast Five,2011-04-29,gen2,dist3,209902225.0
Mission: Impossible—Ghost Protocol,2011-12-21,gen2,dist6,209397903.0
Cars 2,2011-06-24,gen1,dist1,191451635.5
Sherlock Holmes: A Game of Shadows,2011-12-16,gen2,dist2,186848418.0
Thor,2011-05-06,gen2,dist6,181030624.0
Rise of the Planet of the Apes,2011-08-05,gen1,dist5,176760185.0
Captain America: The First Avenger,2011-07-22,gen2,dist6,176654505.0
The Help,2011-08-10,gen3,dist1,169706849.5
Bridesmaids,2011-05-13,gen4,dist3,169159221.5
Kung Fu Panda 2,2011-05-26,gen1,dist6,165249063.0
Puss in Boots,2011-10-28,gen1,dist6,149260504.0
X-Men: First Class,2011-06-03,gen2,dist5,146408305.0
Rio,2011-04-15,gen1,dist5,143619809.0
The Smurfs,2011-07-29,gen1,dist4,142614158.0
Alvin and the Chipmunks: Chipwrecked,2011-12-16,gen1,dist5,133109065.5
Super 8,2011-04-01,gen9,dist31,127004179.0
Rango,2011-03-04,gen1,dist6,123477607.0
Horrible Bosses,2011-07-08,gen4,dist2,117538559.0
Green Lantern,2011-06-17,gen2,dist2,116601172.0
Hop,2011-04-01,gen1,dist3,108085305.0
Paranormal Activity 3,2010-10-22,gen6,dist6,104028807.0
Just Go With It,2011-02-11,gen7,dist4,103028109.0
The Girl with the Dragon Tattoo,2011-12-20,gen5,dist4,102515793.0
Cowboys and Aliens,2011-07-29,gen2,dist3,100304555.5
Bad Teacher,2011-06-24,gen4,dist4,100292856.0
Gnomeo and Juliet,2011-02-11,gen4,dist1,99967670.0
The Green Hornet,2011-01-14,gen2,dist4,98780042.0
The Muppets,2011-11-23,gen1,dist1,88628579.5
Real Steel,2011-10-07,gen2,dist1,85466775.0
"Crazy, Stupid, Love",2011-07-29,gen4,dist2,84351197.0
Battle: Los Angeles,2011-03-11,gen2,dist4,83552429.0
Immortals,2011-11-11,gen2,dist25,83504017.0
The Descendants,2011-11-16,gen3,dist15,82604560.5
Zookeeper,2011-07-08,gen7,dist4,80360854.5
War Horse,2011-12-25,gen3,dist1,79884372.33333333
Limitless,2011-03-18,gen5,dist25,79249455.0
Tower Heist,2011-11-04,gen4,dist3,78046570.0
The Adventures of Tintin,2011-12-21,gen1,dist6,77591831.0
Contagion,2011-09-09,gen5,dist2,75658097.0
We Bought a Zoo,2011-12-23,gen3,dist5,75624550.0
Moneyball,2011-09-23,gen3,dist4,75605492.0
Jack and Jill,2011-11-11,gen4,dist4,74158157.0
Hugo,2011-11-23,gen1,dist6,73864507.0
Justin Bieber: Never Say Never,2011-02-11,,dist6,73013910.0
Dolphin Tale,2011-09-23,gen3,dist2,72286779.0
No Strings Attached,2011-01-21,gen7,dist6,70662220.0
Mr. Poppers's Penguins,2011-06-17,gen1,dist5,68224452.0
Happy Feet Two,2011-11-18,gen1,dist2,64006466.0
Unknown,2011-02-18,gen5,dist2,63686397.0
The Adjustment Bureau,2011-03-04,gen5,dist3,62495645.0
Water for Elephants,2011-04-22,gen3,dist5,58709717.0
The Lincoln Lawyer,2011-03-18,gen5,dist7,58009200.0
Midnight in Paris,2011-05-20,gen7,,56816853.5
Friends with Benefits,2011-07-22,gen7,dist4,55802754.0
