Movie,Release,id_genre,id_distributor,Gross
The Dark Knight,2008-07-18,gen2,dist2,534396959.3333333
Iron Man,2008-05-02,gen1,dist6,318540117.6666667
Hancock,2008-07-01,gen2,dist4,227946274.0
WALL-E,2008-06-27,gen1,dist1,223808164.0
Kung Fu Panda,2008-06-06,gen1,dist6,215434591.0
Twilight,2008-11-21,gen3,dist20,192769854.0
Madagascar: Escape 2 Africa,2008-11-07,gen1,dist6,180092915.0
Quantum of Solace,2008-11-14,gen2,dist4,168701760.33333334
Horton Hears a Who,2008-03-14,gen1,dist5,154529439.0
Sex and the City,2008-05-30,gen4,dist2,152647258.0
Gran Torino,2008-12-12,gen3,dist2,148095302.0
Mamma Mia!,2008-07-18,gen8,dist3,144130063.0
Marley & Me,2008-12-25,gen4,dist5,143153751.0
The Chronicles of Narnia: Prince Caspian,2008-05-16,gen1,dist1,141621490.0
Slumdog Millionaire,2008-11-12,gen3,dist15,141325315.5
The Incredible Hulk,2008-06-13,gen1,dist3,134710738.66666666
Wanted,2008-06-27,gen2,dist3,134508551.0
Get Smart,2008-06-20,gen4,dist2,130319208.0
The Curious Case of Benjamin Button,2008-12-25,gen3,dist6,127509326.0
Four Christmases,2008-11-26,gen4,dist2,120146040.0
Bolt,2008-11-21,gen1,dist1,114053579.0
Tropic Thunder,2008-08-13,gen4,dist6,110515313.0
Bedtime Stories,2008-12-25,gen1,dist1,110101975.0
The Mummy: Tomb of the Dragon Emperor,2008-08-01,gen1,dist3,102491776.0
Journey to the Center of the Earth,2008-07-11,gen1,dist2,101704370.0
Eagle Eye,2008-09-26,gen5,dist6,101331107.66666667
Step Brothers,2008-07-25,gen4,dist4,100468793.0
You Don't Mess With the Zohan,2008-06-06,gen4,dist4,100018837.0
Yes Man,2008-12-19,gen4,dist2,97690976.0
"10,000 B.C.",2008-03-07,gen1,dist2,94784201.0
Beverly Hills Chihuahua,2008-10-03,gen1,dist1,94514402.0
High School Musical 3: Senior Year,2008-10-24,gen8,dist1,90559416.0
Pineapple Express,2008-08-06,gen4,dist4,87341380.0
Valkyrie,2008-12-25,gen5,dist18,83092831.0
21,2008-03-28,gen5,dist4,81159365.0
What Happens in Vegas...,2008-05-09,gen7,dist5,80277646.0
Jumper,2008-02-14,gen1,dist5,80172128.0
Cloverfield,2008-01-18,gen2,dist6,80048433.0
The Day the Earth Stood Still,2008-12-12,gen1,dist5,79366978.0
27 Dresses,2008-01-18,gen7,dist5,76808654.0
Hellboy II: The Golden Army,2008-07-11,gen2,dist3,75909225.33333333
Vantage Point,2008-02-22,gen5,dist4,72266306.0
The Spiderwick Chronicles,2008-02-14,gen1,dist6,71195053.0
Fool’s Gold,2008-02-08,gen1,dist2,70231041.0
Seven Pounds,2008-12-19,gen3,dist4,69951824.0
Role Models,2008-11-07,gen4,dist3,67297612.5
The Happening,2008-06-13,gen5,dist5,64506874.0
Forgetting Sarah Marshall,2008-04-18,gen7,dist3,63172463.0
Baby Mama,2008-04-25,gen4,dist3,60494212.0
Burn After Reading,2008-09-12,gen9,dist13,60355347.0
Step Up 2 the Streets,2008-02-14,gen3,dist1,58017783.0
Saw V,2008-10-24,gen6,dist7,56746769.0
The Strangers,2007-11-28,gen3,dist15,52597610.0
The Forbidden Kingdom,2008-04-18,gen2,dist7,52075270.0
The Tale of Despereaux,2008-12-19,gen1,dist3,50877145.0
Australia,2008-11-26,gen3,dist5,49554002.0
The House Bunny,2008-08-22,gen4,dist4,48237389.0
Nim's Island,2008-04-04,gen1,dist5,48006762.0
Made of Honor,2008-05-02,gen7,dist4,46012734.0
College Road Trip,2008-03-07,gen1,dist1,45610425.0
The Sisterhood of the Traveling Pants 2,2008-08-06,gen1,dist2,44089964.0
Speed Racer,2008-05-09,gen2,dist2,43945766.0
Prom Night,2008-04-11,gen6,dist4,43869350.0
Rambo,2008-01-25,gen2,dist7,42754105.0
Welcome Home Roscoe Jenkins,2008-02-08,gen4,dist3,42436517.0
Meet the Browns,2008-01-25,gen4,dist5,38233676.0
Nights in Rodanthe,2008-09-26,gen3,dist2,41850659.0
Max Payne,2008-10-17,gen2,dist5,40689393.0
Righteous Kill,2008-09-12,gen5,dist50,40081410.0
Body of Lies,2008-10-10,gen5,dist2,39394666.0
Lakeview Terrace,2008-09-19,gen5,dist4,39263506.0
Meet the Spartans,2008-01-25,gen4,dist5,38233676.0
Harold & Kumar Escape from Guantanamo Bay,2008-04-25,gen4,dist2,38108728.0
First Sunday,2008-01-11,gen4,dist4,37931869.0
The Secret Life of Bees,2008-10-17,gen3,dist15,37775324.0
The Family That Preys,2008-09-12,gen4,dist7,37105289.0
Death Race,2008-08-22,gen2,dist3,36316032.0
Changeling,2008-10-24,gen5,dist3,35739802.0
Star Wars: The Clone Wars,2008-08-15,gen1,dist2,35161554.0
The Reader,2008-12-10,gen3,dist14,34194407.0
Semi-Pro,2008-02-29,gen4,dist8,33479698.0
Fireproof,2008-09-26,gen3,dist381,33456317.0
Doubt,2008-12-12,gen3,dist12,33446470.0
Drillbit Taylor,2008-03-21,gen4,dist6,32859282.666666668
"Definitely, Maybe",2008-02-14,gen7,dist3,32241649.0
The Love Guru,2008-06-20,gen4,dist6,32235793.0
Milk,2008-11-26,gen3,dist13,31841299.0
Transporter 3,2008-11-26,gen2,dist7,31715062.0
Quarantine,2008-10-10,gen6,dist4,31691811.0
Nick and Norah's Infinite Playlist,2008-10-03,gen3,dist4,31487293.0
Zack and Miri Make a Porno,2008-10-31,gen4,dist14,31457946.0
The Eye,2008-02-01,gen6,dist7,31418697.0
Leatherheads,2008-04-04,gen7,dist3,31373938.0
Mirrors,2008-08-15,gen6,dist5,30691439.0
Space Chimps,2008-07-18,gen1,dist5,30105968.0
The Bank Job,2008-03-07,gen5,dist7,30060660.0
Untraceable,2008-01-25,gen5,dist4,28687835.0
The Women,2008-09-12,gen4,dist54,26902075.0
One Missed Call,2008-01-04,gen6,dist2,26890041.0
The Other Boleyn Girl,2008-02-29,gen3,dist4,26814957.0
Superhero Movie,2008-03-28,gen4,dist9,26386036.0
Street Kings,2008-04-11,gen5,dist15,26418667.0
The Wrestler,2008-11-21,gen3,dist641,26238243.0
Shutter,2008-03-21,gen6,dist5,25928550.0
W.,2008-10-17,gen3,dist7,25534493.0
Never Back Down,2008-03-14,gen2,dist20,24850922.0
Traitor,2008-08-27,gen5,dist50,23530831.0
Vicky Cristina Barcelona,2008-08-15,gen4,dist9,23216709.0
Revolutionary Road,2008-12-26,gen3,dist40,22931410.0
Babylon A.D.,2008-08-29,gen2,dist5,22532572.0
