Movie,Release,id_genre,id_distributor,Gross
God’s Not Dead 2,2016-04-01,gen3,,20773069.0
Keanu,2016-04-29,gen4,dist2,20579090.0
Middle School: The Worst Years of My Life,2016-10-07,gen1,dist7,20007149.0
Nine Lives,2016-08-05,gen1,dist105,19700032.0
Race,2016-02-19,gen3,dist13,19160699.0
The Choice,2016-02-05,gen3,dist7,18730891.0
Eye in the Sky,2016-03-11,gen5,dist61,18704595.5
Bad Santa 2,2016-11-23,gen4,dist106,17782177.0
Masterminds,2016-09-30,gen4,dist25,17362458.0
Norm of the North,2016-01-15,gen1,dist7,17062499.0
The Birth of a Nation,2016-10-07,gen3,dist15,15861566.0
Eddie the Eagle,2016-02-26,gen3,dist5,15789389.0
A Beautiful Planet,2016-04-29,gen10,dist1,15650615.0
The Infiltrator,2016-04-08,gen5,dist166,15436808.0
Keeping Up with the Joneses,2016-10-21,gen4,dist5,14904426.0
Criminal,2016-04-15,gen2,dist7,14488614.5
"Hello, My Name is Doris",2016-03-11,gen3,dist38,14444999.0
The Edge of Seventeen,2016-11-18,gen3,dist552,14431633.0
Love & Friendship,2016-05-13,gen3,dist38,14016568.0
Jackie,2016-12-02,gen3,dist15,13960394.0
Triple 9,2016-02-26,gen5,dist29,12635166.333333334
The Light Between Oceans,2016-09-02,gen3,dist1,12545979.0
Dangal,2016-12-21,gen2,dist35,12391761.0
Fifty Shades of Black,2016-01-29,gen4,dist29,11686940.0
No Manches Frida,2016-09-02,gen4,dist7,11528613.0
Café Society,2016-07-15,gen3,dist7,11103205.0
Pride and Prejudice and Zombies,2016-02-05,gen4,dist4,10907291.0
The Darkness,2016-05-13,gen6,dist173,10753574.0
Nocturnal Animals,2016-11-18,gen5,dist13,10663357.0
Live by Night,2016-12-25,gen3,dist2,10378555.0
The Lady in the Van,2016-01-15,gen3,,10021175.0
The Perfect Match,2016-03-11,gen7,dist7,9669521.0
Popstar: Never Stop Never Stopping,2016-06-03,gen4,dist3,9496130.0
Hardcore Henry,2016-04-08,gen2,dist552,9252038.0
The Lobster,2016-11-11,gen6,dist34,9196278.0
Meet the Blacks,2016-04-01,gen4,dist67,9097072.0
Queen of Katwe,2016-09-23,gen3,dist1,8874389.0
Ratchet and Clank,2016-04-29,gen1,dist13,8681575.0
Loving,2016-11-04,gen3,dist13,7710234.0
Silence,2016-12-23,gen3,dist6,7100177.0
Shut In,2016-11-11,gen5,dist105,6900335.0
The Brothers Grimsby,2016-03-11,gen4,dist4,6867623.0
The Young Messiah,2016-03-11,gen3,dist13,6469813.0
Southside with You,2016-08-26,gen3,dist38,6304223.0
Captain Fantastic,2016-07-08,gen3,dist61,5879835.0
20th Century Women,2016-12-25,gen3,dist34,5664763.0
Sultan,2016-07-06,gen3,dist44,5999927.0
Hunt for the Wilderpeople,2016-06-24,gen4,dist143,5205471.0
Bleed for This,2016-11-18,gen3,dist29,5083906.0
Incarnate,2016-12-02,gen6,dist173,4799774.0
Absolutely Fabulous: The Movie,2016-07-22,gen4,dist15,4772155.0
Hands of Stone,2016-08-26,gen3,dist14,4712792.0
Don’t Think Twice,2016-07-22,gen4,dist260,4417983.0
The Meddler,2016-04-22,gen4,,4267219.0
Ae Dil Hai Mushkil,2016-10-28,gen3,dist63,4264983.0
A Hologram for the King,2016-04-22,gen3,dist38,4212494.0
