Movie,Release,id_genre,id_distributor,Gross
Black Panther,2018-02-16,gen2,dist1,700059566.0
Avengers: Infinity War,2018-04-27,gen2,dist1,678815482.0
Incredibles 2,2018-06-15,gen1,dist1,608581744.0
Jurassic World: Fallen Kingdom,2018-06-22,gen2,dist3,417719760.0
Aquaman,2018-12-21,gen2,dist2,335061807.0
Deadpool 2,2018-05-18,gen2,dist5,322558298.6666667
Dr. Seuss’ The Grinch,2018-11-09,gen1,dist3,270834950.0
Mission: Impossible—Fallout,2018-07-27,gen2,dist6,220159104.0
Ant-Man and the Wasp,2018-07-06,gen2,dist1,216648740.0
Bohemian Rhapsody,2018-11-02,gen3,dist5,216365690.5
A Star is Born,2018-10-05,gen3,dist2,215288866.0
Solo: A Star Wars Story,2018-05-25,gen1,dist1,213767512.0
Venom,2018-10-05,gen2,dist4,213514140.0
Ralph Breaks The Internet,2018-11-21,gen1,dist1,201091711.0
Spider-Man: Into The Spider-Verse 3D,2018-12-14,gen1,dist4,190207252.5
A Quiet Place,2018-04-06,gen6,dist6,188024361.0
Crazy Rich Asians,2018-08-15,gen7,dist2,174532921.0
Mary Poppins Returns,2018-12-19,gen8,dist1,171958438.0
Hotel Transylvania 3: Summer Vacation,2018-07-13,gen1,dist4,167505054.0
Fantastic Beasts: The Crimes of Grindelwald,2018-11-16,gen1,dist2,159555901.0
Halloween,2018-10-19,gen6,dist3,159354015.0
The Meg,2018-12-14,gen3,dist2,103804407.0
Ocean’s 8,2018-06-08,gen2,dist2,
Ready Player One,2018-03-29,gen1,dist2,137690172.0
Bumblebee,2018-12-21,gen1,dist6,127195589.0
Mamma Mia: Here We Go Again!,2018-07-20,gen8,dist3,120634935.0
The Nun,2018-09-07,gen6,dist2,117450119.0
Creed II,2018-11-21,gen3,dist9,115715889.0
Peter Rabbit,2018-02-09,gen1,dist4,115243758.5
The Mule,2018-12-14,gen3,dist2,103804407.0
The Equalizer 2,2018-07-20,gen2,dist4,102084362.0
Rampage,2018-04-13,gen2,dist2,101028233.0
A Wrinkle in Time,2018-03-09,gen1,dist1,100478608.0
Fifty Shades Freed,2018-02-09,gen3,dist3,100407760.0
Christopher Robin,2018-08-03,gen1,dist1,99215042.0
Green Book,2018-11-21,gen4,dist3,85080171.0
I Can Only Imagine,2018-03-16,gen3,dist38,83482352.0
Smallfoot,2018-09-28,gen1,dist2,83240103.0
Night School,2018-09-28,gen4,dist3,77339130.0
The First Purge,2018-07-04,gen6,dist3,69488745.0
Game Night,2018-02-23,gen4,dist2,69179066.0
Book Club,2018-05-18,gen7,dist6,68566296.0
The House with a Clock in its Walls,2018-09-21,gen4,dist3,68549695.0
Skyscraper,2018-07-13,gen2,dist3,68420120.0
Insidious: The Last Key,2018-01-05,gen6,dist3,67745330.0
Instant Family,2018-11-16,gen4,dist6,67363237.0
Blockers,2018-04-06,gen4,dist3,60311495.0
Pacific Rim: Uprising,2018-03-23,gen2,dist3,59874525.0
Tomb Raider,2018-03-16,gen2,dist2,58250803.0
Maze Runner: The Death Cure,2018-01-26,gen2,dist5,58032443.0
The Nutcracker and the Four Realms,2018-11-02,gen1,dist1,54858851.0
Tag,2018-06-15,gen4,dist2,54669573.333333336
A Simple Favor,2018-09-14,gen5,dist7,53548586.0
Life of the Party,2018-05-11,gen4,dist2,53059911.0
The Predator,2018-09-14,gen2,dist5,51024708.0
Overboard,2018-11-09,gen2,dist6,36010483.5
Sicario: Day of the Soldado,2018-06-29,gen2,dist4,50070106.666666664
BlacKkKlansman,2018-08-10,gen9,dist13,49275340.0
I Feel Pretty,2018-04-20,gen4,dist552,48795601.0
Vice,2018-12-25,gen9,dist99,47836282.0
Red Sparrow,2018-03-02,gen5,dist5,46874505.0
Breaking In,2018-05-11,gen5,dist3,46688100.0
Goosebumps 2: Haunted Halloween,2018-10-12,gen6,dist4,46697321.0
12 Strong,2018-01-19,gen3,dist2,45819713.0
Den of Thieves,2018-01-19,gen2,dist552,44947622.0
First Man,2018-10-12,gen3,dist3,44936545.0
Hereditary,2018-06-08,gen6,dist34,44069456.0
Acrimony,2018-03-30,gen5,dist7,43549096.0
Sherlock Gnomes,2018-03-23,gen1,dist6,43242871.0
Uncle Drew,2018-06-29,gen4,dist7,42469946.0
Widows,2018-11-16,gen5,dist5,42402632.0
Truth or Dare,2018-04-13,gen5,dist3,41411015.0
Paddington 2,2018-01-12,gen1,dist2,40891591.0
"Love, Simon",2018-03-16,gen3,dist5,40826341.0
Second Act,2018-12-21,gen4,dist552,39282227.0
The Commuter,2018-01-12,gen2,dist7,36343858.0
The 15:17 to Paris,2018-02-09,gen3,dist2,36276286.0
Mile 22,2018-08-17,gen2,dist552,36108758.0
Alpha,2018-08-17,gen1,dist4,35853313.0
Peppermint,2018-09-07,gen2,dist552,35418723.0
The Favourite,2018-11-23,gen9,dist15,34366783.0
Death Wish,2018-03-02,gen2,dist9,34017028.0
The Spy Who Dumped Me,2018-08-03,gen4,dist7,33562069.0
Annihilation,2018-02-23,gen5,dist6,32732301.0
Isle of Dogs,2018-03-23,gen1,dist15,32015231.0
Nobody’s Fool,2018-11-02,gen3,dist6,31713110.0
Adrift,2018-06-01,gen3,dist552,31445011.666666668
Robin Hood,2018-11-21,gen2,dist7,30824628.0
Super Troopers 2,2018-04-20,gen4,dist5,30617396.0
Holmes & Watson,2018-12-25,gen4,dist4,30571184.5
