Movie,Release,id_genre,id_distributor,Gross
Top Gun: Maverick,2022-05-27,gen2,dist6,718732821.0
Avatar: The Way of Water,2022-12-16,gen2,dist21,684075767.0
Black Panther: Wakanda Forever,2022-11-11,gen2,dist1,453829060.0
Doctor Strange in the Multiverse of Madness,2022-05-06,gen2,dist1,411331607.0
Jurassic World: Dominion,2022-06-10,gen2,dist3,376851080.0
Minions: The Rise of Gru,2022-07-01,gen4,dist3,369695210.0
The Batman,2022-03-04,gen2,dist2,369345583.0
Thor: Love and Thunder,2022-07-08,gen2,dist1,343256830.0
Sonic the Hedgehog 2,2022-04-08,gen1,dist6,190872904.0
Puss in Boots: The Last Wish,2022-12-21,gen1,dist3,185535345.0
Black Adam,2022-10-21,gen2,dist2,168152111.0
Elvis,2022-06-24,gen3,dist2,151040048.0
Uncharted,2022-02-18,gen1,dist4,148648820.0
Nope,2022-07-22,gen6,dist3,123277080.0
Lightyear,2022-06-17,gen1,dist1,118307188.0
Smile,2022-09-30,gen6,dist6,105935048.0
The Lost City,2022-03-25,gen1,dist6,105344029.0
Bullet Train,2022-08-05,gen5,dist4,103368602.0
The Bad Guys,2022-04-22,gen4,dist3,97233630.0
Fantastic Beasts: The Secrets of Dumbledore,2022-04-15,gen1,dist2,95850844.0
DC League of Super Pets,2022-07-29,gen1,dist2,93657117.0
Where the Crawdads Sing,2022-07-15,gen3,dist4,90230760.0
The Black Phone,2022-06-24,gen6,dist3,90123230.0
Scream,2022-01-14,gen6,dist6,81641405.0
Everything Everywhere All At Once,2022-03-25,gen2,dist34,77180629.5
Morbius,2022-04-01,gen2,dist4,73865530.0
Ticket to Paradise,2022-10-21,gen7,dist3,68275985.0
The Woman King,2022-09-16,gen2,dist4,67328130.0
Halloween Ends,2022-10-14,gen6,dist3,64079860.0
Dog,2022-02-18,gen4,dist18,61778069.0
jackass forever,2022-02-04,gen14,dist6,57743451.0
Violent Night,2022-12-02,gen4,dist3,50057405.0
"Lyle, Lyle, Crocodile",2022-10-07,gen8,dist4,46888441.0
Death on the Nile,2022-02-11,gen3,dist21,45630104.0
"Don’t Worry, Darling",2022-09-23,gen5,dist2,45309403.0
Downton Abbey: A New Era,2022-05-20,gen3,dist13,44141550.0
Barbarian,2022-04-01,gen5,dist184,40842944.0
The Menu,2022-11-18,gen9,dist60,38501125.0
Strange World,2022-11-23,gen1,dist1,37968963.0
The Northman,2022-04-22,gen2,dist13,34233110.0
The Bob’s Burgers Movie,2022-05-27,gen4,dist21,31933830.0
Beast,2022-04-15,gen2,dist18,21374353.333333332
The Invitation,2022-08-26,gen6,dist4,25100080.0
Whitney Houston: I Wanna Dance With Somebody,2022-12-23,gen3,dist4,23708080.0
Ambulance,2022-04-08,gen5,dist3,22781115.0
Marry Me,2022-02-11,gen7,dist3,22438180.0
Father Stu,2022-04-13,gen3,dist4,20990737.0
Devotion,2022-11-23,gen2,dist4,20511938.0
The Unbearable Weight of Massive Talent,2022-04-22,gen2,dist7,20300157.0
Prey for the Devil,2022-10-28,gen6,dist7,19802293.0
Moonfall,2022-02-04,gen2,dist7,19060660.0
Paws of Fury: The Legend of Hank,2022-07-15,gen1,dist6,17811382.0
The Whale,2022-12-09,gen3,dist34,17458535.0
The Fabelmans,2022-11-23,gen3,dist3,17348945.0
Babylon,2022-12-23,gen3,dist6,15351455.0
Glass Onion: A Knives Out Mystery,2022-11-23,gen3,dist96,15000000.0
Amsterdam,2022-10-07,gen4,dist21,14947969.0
The Chosen Season 3: Episodes 1 & 2,2022-11-18,gen3,dist85,14612089.0
The 355,2022-01-07,gen5,dist3,14570455.0
Easter Sunday,2022-08-05,gen4,dist3,13013690.0
One Piece Film: Red,2022-11-04,gen2,dist75,12771698.5
X,2022-03-18,gen6,dist34,11767389.0
Bros,2022-09-30,gen7,dist3,11628165.0
Bodies Bodies Bodies,2022-08-05,gen6,dist34,11446602.0
Terrifier 2,2022-10-06,gen6,dist253,10640105.0
The Banshees of Inisherin,2022-10-21,gen3,dist60,10582266.0
Mrs. Harris Goes to Paris,2022-07-15,gen3,dist13,10433915.0
Firestarter,2022-05-13,gen6,dist3,9739250.0
Blacklight,2022-02-11,gen2,,9591094.0
See How They Run,2022-09-16,gen4,dist60,9586237.0
Pearl,2022-09-16,gen6,dist34,9423445.0
Redeeming Love,2022-01-21,gen3,dist3,9214020.0
Till,2022-10-14,gen3,dist18,9000202.0
Three Thousand Years of Longing,2022-08-26,gen3,dist18,8286741.0
Brahmastra Part 1: Shiva,2022-09-09,gen1,dist179,7839108.0
Bones and All,2022-11-23,gen5,dist18,7834907.0
Men,2022-05-20,gen6,dist34,7587853.0
Memory,2022-04-01,gen3,dist51,7329043.0
Fall,2022-08-12,gen5,dist7,7240521.0
TÁR,2022-10-07,gen3,dist13,6773650.0
K.G.F: Chapter 2,2022-04-14,gen2,dist53,4739281.0
Marcel the Shell with Shoes On,2022-06-24,gen4,dist34,6333703.0
She Said,2022-11-18,gen3,dist3,5825995.0
I Heard the Bells,2022-12-01,gen3,dist85,5644104.0
Women Talking,2022-12-23,gen3,dist18,5456531.0
Orphan: First Kill,2022-08-19,gen6,dist6,5413227.0
Lifemark,2022-09-09,gen3,dist85,5007861.0
Ponniyin Selvan: Part One,2022-09-30,gen2,dist102,4600000.0
Clerks III,2022-09-13,gen4,dist85,4663106.0
Triangle of Sadness,2022-10-07,gen9,dist51,4608096.0
The Cursed,2022-02-18,gen6,dist1361,4588389.0
Vengeance,2022-07-29,gen9,dist13,4330720.0
Moonage Daydream,2022-09-16,gen10,dist51,4242821.0
Family Camp,2022-05-13,gen4,dist38,3973263.0
Cyrano,2021-12-17,gen8,dist18,3873124.0
Laal Singh Chaddha,2022-08-11,gen3,dist6,3401324.0
The Outfit,2022-03-18,gen3,dist13,3344040.0
Living,2022-12-23,gen3,,3037985.5
Drishyam 2,2022-11-18,gen3,dist44,3004180.0
Breaking,2022-08-26,gen5,dist61,2806359.0
Honk for Jesus. Save Your Soul.,2022-09-02,gen4,dist13,2561270.0
Mack & Rita,2022-08-12,gen4,dist144,2535459.0
Studio 666,2022-02-25,gen6,dist29,2513963.0
Crimes of the Future,2022-06-03,gen6,dist51,2452882.0
Gigi & Nate,2022-09-02,gen3,dist38,2280814.0
The Good House,2022-09-30,gen4,dist38,2219760.0
Emily the Criminal,2022-08-12,gen5,dist38,2156296.0
Umma,2022-03-18,gen6,dist4,2121025.0
Jeepers Creepers: Reborn,2022-09-19,gen6,dist85,2033057.0
Watcher,2022-06-03,gen5,dist184,1961207.0
Mr. Malcolm’s List,2022-07-01,gen7,dist61,1885720.0
Armageddon Time,2022-10-28,gen3,dist13,1860050.0
2022 Oscar Shorts,2022-02-25,gen13,dist223,1801646.0
Radhe Shyam,2022-03-11,gen3,dist69,1830000.0
The King’s Daughter,2022-01-21,gen1,dist144,1747263.0
Aftersun,2022-10-21,gen3,dist34,1658790.5
Infinite Storm,2022-03-25,gen3,dist61,1600542.0
Jugjugg Jeeyo,2022-06-24,gen4,,1286500.0
The Duke,2022-04-22,gen4,,1526970.0
Running The Bases,2022-09-16,gen3,dist479,1511980.0
The Kashmir Files,2022-03-18,gen5,dist94,1485000.0
2000 Mules,2022-05-20,gen10,dist482,1465512.0
Acharya,2022-04-28,gen2,dist70,1122000.0
Spoiler Alert,2022-12-02,gen3,dist13,1384003.0
Medieval,2022-09-09,gen2,,1374325.0
Empire of Light,2022-12-09,gen3,dist60,1177577.0
Fire of Love,2022-07-06,gen10,dist51,1120412.0
EO,2022-11-18,gen3,dist151,1069133.0
"Hallelujah: Leonard Cohen, A Journey, A Song",2022-07-01,gen10,,1062603.0
The Contractor,2022-04-01,gen5,dist6,1035265.0
After Ever Happy,2022-09-07,gen3,dist96,1030919.0
The Beatles Get Back: The Rooftop Concert,2022-01-30,,dist1,976712.0
Man of God,2022-03-21,gen3,dist85,920561.0
Twenty One Pilots: Cinema Experience,2022-05-19,,dist107,875000.0
The Tiger Rising,2022-01-21,gen3,,835162.0
Petite maman,2022-04-22,gen3,dist51,829065.0
Met Opera: The Hours,2022-12-10,gen3,dist85,791374.0
The Phantom of the Open,2022-06-03,gen4,,748805.0
Corsage,2022-12-23,gen3,dist31,705767.0
Ante Sundaraniki,2022-06-09,gen4,dist364,621000.0
The Mean One,2022-12-08,gen6,dist187,612260.0
Cuando Sea Joven,2022-09-23,gen4,dist311,588028.0
Runway 34,2022-04-29,gen5,dist44,549624.0
"Confess, Fletch",2022-09-16,gen4,dist6,538842.0
Call Jane,2022-10-28,gen3,dist38,512770.0
All The Beauty And The Bloodshed,2022-11-23,gen10,dist51,500082.0
God’s Country,2022-09-16,gen3,dist31,493679.0
Deep in the Heart: A Texas Wildlife Story,2022-06-03,gen10,dist594,480240.0
The Railway Children Return,2022-09-23,gen1,,457433.0
Brian and Charles,2022-06-17,gen4,dist13,430635.0
Beast,2022-04-15,gen2,dist18,21374353.333333332
Facing Nolan,2022-05-24,gen10,dist362,405797.0
Superspreader,2022-09-29,gen10,dist253,399370.0
Yashoda,2022-11-11,gen5,dist340,395000.0
Tyson’s Run,2022-03-11,gen3,dist610,391167.0
The Inspection,2022-11-18,gen3,dist34,385627.0
Alice,2022-03-18,gen5,dist38,373037.0
Inu-Oh,2022-08-12,gen8,dist36,351558.0
The Forgiven,2022-07-01,gen3,dist38,340222.0
Mad God,2022-06-10,gen6,dist220,325042.0
Meet Me in the Bathroom,2022-11-04,gen10,dist362,319880.0
Clean,2022-01-28,gen5,dist31,318877.0
Waterman,2022-04-01,gen10,dist259,316848.0
Holy Spider (عنكبوت مقدس),2022-10-28,gen3,dist362,307608.0
Montana Story,2022-05-13,gen3,dist61,292916.0
A Love Song,2022-07-29,gen3,dist61,278889.0
Mothering Sunday,2022-03-25,gen3,,275352.0
Kaathu Vaakula Rendu Kadhal,2022-04-29,gen7,dist532,270000.0
Gone in the Night,2022-07-15,gen5,,266466.0
You Won’t Be Alone,2022-04-01,gen6,dist13,264055.0
Paul’s Promise,2022-10-21,gen3,dist646,258545.0
The Automat,2022-02-18,gen10,,257371.0
Christmas Bloody Christmas,2022-12-09,gen6,dist1214,251586.0
On the Come Up,2022-09-23,gen3,dist6,236153.0
Who We Are: A Chronicle of Racism in America,2022-01-14,gen10,,234298.0
Sundown,2022-01-28,gen5,dist61,229921.0
CatVideoFest 2022,2022-06-24,gen10,,217330.0
Love in Kilnerry,2022-04-08,gen7,dist677,213101.0
