Movie,Release,id_genre,id_distributor,Gross
Avengers: Endgame,2019-04-26,gen2,dist1,858373000.0
The Lion King,2019-07-19,gen1,dist1,543638043.0
Star Wars: The Rise of Skywalker,2019-12-20,gen1,dist1,515202542.0
Frozen II,2019-11-22,gen1,dist1,477373578.0
Toy Story 4,2019-06-21,gen1,dist1,434038008.0
Captain Marvel,2019-03-08,gen2,dist1,426829839.0
Spider-Man: Far From Home,2019-07-02,gen2,dist4,390532085.0
Aladdin,2019-05-24,gen1,dist1,355559216.0
Joker,2019-10-04,gen5,dist2,335451311.0
Jumanji: The Next Level,2019-12-13,gen1,dist4,317992484.0
It: Chapter Two,2019-09-06,gen6,dist2,211593228.0
Us,2019-03-22,gen5,dist3,175084580.0
Fast & Furious Presents: Hobbs & Shaw,2019-08-02,gen2,dist3,173956935.0
John Wick: Chapter 3 — Parabellum,2019-05-17,gen2,dist7,171016207.0
Knives Out,2019-11-27,gen3,dist7,165363647.0
How to Train Your Dragon: The Hidden World,2019-02-22,gen1,dist3,160799505.0
1917,2019-12-25,gen5,dist3,159227644.0
The Secret Life of Pets 2,2019-06-07,gen1,dist3,158874395.0
Pokémon: Detective Pikachu,2019-05-10,gen1,dist2,144105346.0
Once Upon a Time…in Hollywood,2019-07-26,gen5,dist4,142502728.0
Shazam!,2019-04-05,gen2,dist2,140371656.0
Ford v. Ferrari,2019-11-15,gen3,dist5,117624274.75
Dumbo,2019-03-29,gen1,dist1,114766307.0
Maleficent: Mistress of Evil,2019-10-18,gen1,dist1,113929605.0
Glass,2019-04-19,gen3,dist226,111048468.0
Godzilla: King of the Monsters,2019-05-31,gen2,dist2,110500138.0
The Upside,2019-01-11,gen4,dist552,108244007.0
Little Women,2019-12-06,gen3,dist33,108098584.5
The LEGO Movie 2: The Second Part,2019-02-08,gen1,dist2,105806508.0
Hustlers,2019-09-13,gen3,dist552,104963598.0
The Addams Family,2019-10-11,gen1,dist18,98954819.0
Downton Abbey,2019-09-20,gen3,dist13,96853865.0
Rocketman,2019-05-31,gen3,dist6,96368160.0
Alita: Battle Angel,2019-02-14,gen2,dist5,85795543.33333333
Good Boys,2019-08-16,gen4,dist3,83140306.0
Men in Black: International,2019-06-14,gen1,dist4,80001807.0
Annabelle Comes Home,2019-06-26,gen6,dist2,74152591.0
Yesterday,2019-06-28,gen7,dist3,73286650.0
Tyler Perry’s A Madea Family Funeral,2019-03-01,gen4,dist7,73257045.0
Zombieland: Double Tap,2019-10-18,gen4,dist4,73121431.33333333
Angel Has Fallen,2019-08-23,gen5,dist7,69030436.0
Scary Stories to Tell in the Dark,2019-08-09,gen6,dist7,68947075.0
Spies in Disguise,2019-12-25,gen1,dist5,66757013.0
Dark Phoenix,2019-06-07,gen2,dist5,65845974.0
Terminator: Dark Fate,2019-11-01,gen2,dist6,62253077.0
A Beautiful Day in the Neighborhood,2019-11-22,gen3,dist4,61700245.5
Abominable,2019-09-27,gen1,dist3,60738890.0
Dora and the Lost City of Gold,2019-08-09,gen1,dist6,60477943.0
Escape Room,2019-01-04,gen6,dist4,57003986.0
Midway,2019-11-08,gen2,dist7,56846802.0
The Curse of La Llorona,2019-04-19,gen6,dist2,54733739.0
Pet Sematary,2019-04-05,gen6,dist6,54724696.0
What Men Want,2019-02-08,gen7,dist6,54611903.0
Ad Astra,2019-09-20,gen5,dist5,50188370.0
Uncut Gems,2019-12-25,gen5,dist34,50023780.0
Isn’t it Romantic,2019-02-13,gen7,dist2,48791187.0
Gemini Man,2019-10-11,gen2,dist6,48546770.0
MA,2019-05-31,gen6,dist3,45896028.0
Five Feet Apart,2019-03-15,gen3,dist7,45729221.0
Wonder Park,2019-03-15,gen1,dist6,45216793.0
Rambo: Last Blood,2019-09-20,gen2,dist7,36170541.0
Playing with Fire,2019-11-08,gen4,dist6,44451847.0
Queen & Slim,2019-11-27,gen3,dist3,43808310.0
Harriet,2019-11-01,gen3,dist13,43082155.0
A Dog’s Way Home,2019-01-11,gen3,dist4,41952715.0
The Angry Birds Movie 2,2019-08-13,gen1,dist4,41660422.666666664
Little,2019-12-06,gen3,dist10,40860481.0
Breakthrough,2019-04-17,gen3,dist5,40713082.0
Crawl,2019-07-12,gen6,dist6,39014193.0
Just Mercy,2019-12-25,gen3,dist2,36001502.0
The Hustle,2019-05-10,gen4,dist18,35417038.0
The Intruder,2019-05-03,gen5,dist4,35404049.0
Last Christmas,2019-12-13,gen6,dist3,35150750.0
Overcomer,2019-08-23,gen3,dist4,34723543.5
Jojo Rabbit,2019-10-18,gen9,dist15,33370906.0
Cold Pursuit,2019-02-08,gen5,dist7,32138862.0
Bombshell,2019-12-13,gen3,dist7,31762808.0
Doctor Sleep,2019-11-08,gen6,dist2,31581712.0
Dragon Ball Super: Broly,2019-01-16,gen2,dist26,30376755.0
Long Shot,2019-05-03,gen7,dist7,30316271.0
Child’s Play,2019-06-21,gen6,dist18,29208403.0
Ready or Not,2019-08-21,gen9,dist15,28714231.0
21 Bridges,2019-11-22,gen5,dist552,28539757.0
Happy Death Day 2U,2019-02-13,gen5,dist3,28148130.0
Midsommar,2019-07-03,gen6,dist34,27426362.0
Cats,2019-12-20,gen8,dist3,27166770.0
The Art of Racing in the Rain,2019-08-09,gen3,dist5,26399230.0
Countdown,2019-10-25,gen6,dist552,25621766.0
Judy,2019-09-27,gen3,dist38,24316924.5
Fighting With My Family,2019-02-14,gen4,dist9,22958734.5
A Dog’s Journey,2019-05-17,gen3,dist3,22782371.0
Booksmart,2019-05-24,gen4,dist18,22680962.0
Stuber,2019-07-12,gen4,dist5,22370452.0
Richard Jewell,2019-12-13,gen3,dist2,22345542.0
47 Meters Down: Uncaged,2019-08-16,gen5,,22260900.0
Black and Blue,2019-10-25,gen2,dist4,22041118.333333332
