Movie,Release,id_genre,id_distributor,Gross
Star Wars Ep. VIII: The Last Jedi,2017-12-15,gen1,dist1,620181382.0
Beauty and the Beast,2017-03-17,gen8,dist1,504014165.0
Wonder Woman,2017-06-02,gen2,dist2,412563408.0
Jumanji: Welcome to the Jungle,2017-12-20,gen1,dist4,404513292.0
Guardians of the Galaxy Vol 2,2017-05-05,gen2,dist1,389813101.0
Spider-Man: Homecoming,2017-07-07,gen2,dist4,334201140.0
It,2017-09-08,gen6,dist2,328155311.0
Thor: Ragnarok,2017-11-03,gen2,dist1,315058289.0
Despicable Me 3,2017-06-30,gen1,dist3,264624300.0
Justice League,2017-11-17,gen2,dist2,229024295.0
Logan,2017-03-03,gen2,dist5,226277068.0
The Fate of the Furious,2017-04-14,gen2,dist3,225927178.33333334
Coco,2017-11-22,gen8,dist1,210460015.0
Dunkirk,2017-07-21,gen2,dist2,188828995.66666666
Get Out,2017-02-24,gen6,dist3,175939300.0
The Lego Batman Movie,2017-02-10,gen1,dist2,175750384.0
The Boss Baby,2017-03-31,gen1,dist5,175003033.0
The Greatest Showman,2017-12-20,gen8,dist5,174340174.0
Kong: Skull Island,2017-03-10,gen1,dist2,168052812.0
Cars 3,2017-06-16,gen1,dist1,152901115.0
War for the Planet of the Apes,2017-07-14,gen2,dist5,146880162.0
Split,2017-01-20,gen6,dist3,138216475.0
Wonder,2017-11-17,gen3,dist7,132422809.0
Transformers: The Last Knight,2017-06-21,gen2,dist6,130168683.0
Girls Trip,2017-07-21,gen4,dist3,115140050.0
Fifty Shades Darker,2017-02-10,gen3,dist3,114507630.0
Baby Driver,2017-06-28,gen5,dist4,107825862.0
Pitch Perfect 3,2017-12-22,gen4,dist3,104897530.0
Daddy’s Home 2,2017-11-10,gen4,dist6,104029443.0
Murder on the Orient Express,2017-11-10,gen3,dist5,102826543.0
Annabelle: Creation,2017-08-11,gen6,dist2,102092201.0
Kingsman: The Golden Circle,2017-09-22,gen2,dist5,100234838.0
Blade Runner 2049,2017-10-06,gen5,dist2,92054159.0
John Wick: Chapter Two,2017-02-10,gen2,dist7,92029184.0
The Emoji Movie,2017-07-28,gen1,dist4,86089513.0
Power Rangers,2017-03-24,gen2,dist7,85364450.0
Ferdinand,2017-12-15,gen1,dist5,84410380.0
The Post,2017-12-22,gen3,dist5,81903458.0
The Mummy,2017-06-09,gen1,dist3,80143381.66666667
The Hitman’s Bodyguard,2017-08-18,gen2,dist7,75468583.0
Alien: Covenant,2017-05-19,gen6,dist5,74262031.0
Captain Underpants: The First Epic Movie,2017-06-02,gen1,dist5,73921000.0
A Bad Moms Christmas,2017-11-01,gen4,dist552,72110659.0
A Dog’s Purpose,2017-01-27,gen3,dist3,64415255.0
The Shape of Water,2017-12-01,gen3,dist15,63859435.0
The Lego Ninjago Movie,2017-09-22,gen1,dist2,59281555.0
Baywatch,2017-05-25,gen4,dist6,58060186.0
The Shack,2017-03-03,gen3,dist7,57386418.0
Darkest Hour,2017-11-22,gen3,dist13,56455765.0
Happy Death Day,2017-10-13,gen6,dist3,55683845.0
"Three Billboards Outside Ebbing, Missouri",2017-11-10,gen9,dist15,54513740.0
Atomic Blonde,2017-07-28,gen5,dist13,51649888.333333336
American Made,2017-09-29,gen2,dist3,51342000.0
The Dark Tower,2017-08-04,gen11,dist4,50701325.0
Lady Bird,2017-11-03,gen3,dist34,48958273.0
Tyler Perry’s Boo 2! A Madea Halloween,2017-10-20,gen4,dist7,47319572.0
Snatched,2017-05-12,gen4,dist5,45843223.333333336
The Great Wall,2017-02-17,gen2,dist3,45157105.0
Smurfs: The Lost Village,2017-04-07,gen1,dist4,45020282.0
Going in Style,2017-04-07,gen4,dist2,45018541.0
All Eyez on Me,2017-06-16,gen3,dist7,44922302.0
xXx: Return of Xander Cage,2017-01-20,gen2,dist6,44898413.0
47 Meters Down,2017-06-16,gen5,,44307192.0
The Big Sick,2017-06-23,gen7,dist7,42872797.0
The Star,2017-10-27,gen3,dist33,40850409.5
Ghost in the Shell,2017-03-31,gen2,dist6,40563557.0
Valerian and the City of a Thousand Planets,2017-07-21,gen1,dist552,40952782.0
King Arthur: Legend of the Sword,2017-05-12,gen1,dist2,39175066.0
Jigsaw,2017-10-27,gen6,dist7,38052832.0
American Assassin,2017-09-15,gen5,dist7,36249674.0
The Foreigner,2017-07-21,gen3,dist538,12786053.0
"Everything, Everything",2017-05-19,gen3,dist2,34121140.0
Wind River,2017-08-04,gen5,dist14,33800859.0
Geostorm,2017-10-20,gen5,dist2,33700160.0
