Rank,Movie,Distributor,Domestic,Opening,Max
1,Shrek 2,Dreamwork…,"$441,226,247","$108,037,878","4,223"
2,Spider-Man 2,Sony Pict…,"$373,524,485","$88,156,227","4,166"
3,The Passion of the Christ,Newmarket…,"$370,782,930","$83,848,082","3,408"
4,Meet the Fockers,Universal,"$279,167,575","$46,120,980","3,554"
5,The Incredibles,Walt Disney,"$261,441,092","$70,467,623","3,933"
6,Harry Potter and the Prisoner of Azkaban,Warner Bros.,"$249,757,726","$93,687,367","3,855"
7,The Polar Express,Warner Bros.,"$188,042,855","$23,325,035","3,650"
8,The Day After Tomorrow,20th Cent…,"$186,740,799","$68,743,584","3,444"
9,The Bourne Supremacy,Universal,"$176,087,450","$52,521,865","3,304"
10,National Treasure,Walt Disney,"$173,005,002","$35,142,554","3,243"
11,Shark Tale,Dreamwork…,"$161,412,000","$47,604,606","4,070"
12,"I, Robot",20th Cent…,"$144,801,023","$52,179,887","3,494"
13,Troy,Warner Bros.,"$133,298,577","$46,865,412","3,411"
14,Ocean's Twelve,Warner Bros.,"$125,531,634","$39,153,380","3,290"
15,50 First Dates,Sony Pict…,"$120,776,832","$39,852,237","3,612"
16,Van Helsing,Universal,"$120,150,546","$51,748,040","3,580"
17,Fahrenheit 9/11,Lionsgate,"$119,114,517","$23,920,637","2,011"
18,Lemony Snicket's A Series of Unfortunate Events,Paramount…,"$118,627,117","$30,061,756","3,623"
19,Dodgeball: A True Underdog Story,20th Cent…,"$114,326,736","$30,070,196","3,020"
20,The Village,Walt Disney,"$114,197,520","$50,746,142","3,733"
21,The Grudge,Sony Pict…,"$110,359,362","$39,128,715","3,348"
22,The Aviator,Miramax,"$102,608,827","$858,021","2,530"
23,Million Dollar Baby,Warner Bros.,"$100,492,203","$179,953","2,375"
24,Collateral,Dreamwork…,"$100,170,152","$24,701,458","3,205"
25,The Princess Diaries 2: Royal Engagement,Walt Disney,"$95,149,435","$22,956,453","3,490"
26,Starsky & Hutch,Warner Bros.,"$88,200,225","$28,103,367","3,185"
27,Along Came Polly,Universal,"$88,073,507","$27,721,185","3,052"
28,Mean Girls,Paramount…,"$86,047,227","$24,432,195","3,054"
29,SpongeBob SquarePants: The Movie,Paramount…,"$85,416,609","$32,018,216","3,307"
30,Scooby-Doo 2: Monsters Unleashed,Warner Bros.,"$84,185,387","$29,438,331","3,312"
31,Anchorman: The Legend of Ron Burgundy,Dreamwork…,"$84,136,909","$28,416,365","3,104"
32,The Notebook,New Line,"$81,001,787","$13,464,745","2,323"
33,AVP: Alien Vs. Predator,20th Cent…,"$80,281,096","$38,291,056","3,401"
34,Man on Fire,20th Cent…,"$77,906,816","$22,751,490","2,986"
35,The Terminal,Dreamwork…,"$77,073,959","$19,053,199","2,914"
36,Garfield: The Movie,20th Cent…,"$75,367,693","$21,727,611","3,150"
37,Ray,Universal,"$75,305,995","$20,039,730","2,474"
38,Ladder 49,Walt Disney,"$74,541,707","$22,088,204","3,261"
39,Christmas with the Kranks,Sony Pict…,"$73,701,902","$21,570,867","3,416"
40,Sideways,Fox Searc…,"$71,502,303","$207,042","1,787"
41,White Chicks,Sony Pict…,"$69,148,997","$19,676,748","2,800"
42,Hidalgo,Walt Disney,"$67,286,731","$18,829,435","3,065"
43,The Forgotten,Sony Pict…,"$66,711,892","$21,022,111","3,144"
44,Kill Bill: Volume 2,Miramax,"$66,207,920","$25,104,949","3,073"
45,The Manchurian Candidate,Paramount…,"$65,948,711","$20,018,620","2,867"
46,Barbershop 2: Back in Business,MGM,"$65,070,412","$24,241,612","2,711"
47,Miracle,Walt Disney,"$64,378,093","$19,377,577","2,755"
48,Friday Night Lights,Universal,"$61,255,921","$20,269,025","3,004"
49,Hellboy,Sony Pict…,"$59,623,958","$23,172,440","3,043"
50,The Stepford Wives,Paramount…,"$59,475,623","$21,406,781","3,057"
51,Dawn of the Dead,Universal,"$58,990,765","$26,722,575","2,748"
52,Without a Paddle,Paramount…,"$58,156,435","$13,528,946","2,756"
53,The Butterfly Effect,New Line,"$57,924,679","$17,065,227","2,605"
54,Shall We Dance?,Miramax,"$57,887,882","$11,783,467","2,542"
55,The Chronicles of Riddick,Universal,"$57,712,751","$24,289,165","2,759"
56,13 Going On 30,Sony Pict…,"$57,139,723","$21,054,238","3,453"
57,Saw,Lionsgate,"$55,968,727","$18,276,468","2,467"
58,Jet Li's Hero,Miramax,"$53,652,140","$18,004,319","2,175"
59,Blade: Trinity,New Line,"$52,397,389","$16,061,271","2,912"
60,King Arthur,Walt Disney,"$51,877,963","$15,193,907","3,086"
61,Finding Neverland,Miramax,"$51,676,606","$220,524","1,411"
62,A Cinderella Story,Warner Bros.,"$51,438,175","$13,623,350","2,625"
63,The Phantom of the Opera,Warner Bros.,"$51,225,796","$4,001,890","1,515"
64,Resident Evil: Apocalypse,Sony Pict…,"$50,740,078","$23,036,273","3,284"
65,Home on the Range,Walt Disney,"$50,026,353","$13,880,771","3,058"
66,Fat Albert,20th Cent…,"$48,114,556","$10,021,510","3,622"
67,Secret Window,Sony Pict…,"$47,958,031","$18,237,568","3,018"
68,Walking Tall,MGM,"$46,213,824","$15,501,114","2,836"
69,In Good Company,Universal,"$45,489,752","$151,750","1,963"
70,Napoleon Dynamite,Fox Searc…,"$44,540,956","$116,666","1,236"
71,Spanglish,Sony Pict…,"$42,044,321","$8,817,853","2,587"
72,Exorcist: The Beginning,Warner Bros.,"$41,814,863","$18,054,001","2,813"
73,Bridget Jones: The Edge Of Reason,Universal,"$40,203,020","$8,684,055","2,473"
74,Catwoman,Warner Bros.,"$40,202,379","$16,728,411","3,117"
75,You Got Served,Sony Pict…,"$40,066,497","$16,123,105","1,943"
76,The Ladykillers,Walt Disney,"$39,692,139","$12,634,563","1,589"
77,Sky Captain and the World of Tomorrow,Paramount…,"$37,760,080","$15,580,278","3,170"
78,Raising Helen,Walt Disney,"$37,485,528","$10,985,597","2,721"
79,Taxi,20th Cent…,"$36,609,966","$12,029,832","3,001"
80,Eternal Sunshine of the Spotless Mind,Focus Fea…,"$34,366,518","$8,175,198","1,357"
81,Alexander,Warner Bros.,"$34,297,191","$13,687,087","2,445"
82,Closer,Sony Pict…,"$33,987,757","$7,707,972","1,098"
83,The Punisher,Lionsgate,"$33,664,370","$13,834,527","2,649"
84,Team America: World Police,Paramount…,"$32,774,834","$12,120,358","2,620"
85,Taking Lives,Warner Bros.,"$32,682,342","$11,458,465","2,705"
86,Cellular,New Line,"$32,003,620","$10,100,571","2,763"
87,Anacondas: The Hunt for the Blood Orchid,Sony Pict…,"$31,526,393","$12,812,287","2,905"
88,Johnson Family Vacation,Fox Searc…,"$31,203,964","$9,375,307","1,326"
89,Open Water,Lionsgate,"$30,500,882","$1,100,943","2,709"
90,Confessions of a Teenage Drama Queen,Walt Disney,"$29,331,068","$9,350,572","2,503"
91,After the Sunset,New Line,"$28,328,132","$11,100,392","2,819"
92,The Prince & Me,Paramount…,"$28,165,882","$9,406,378","2,711"
93,Garden State,Fox Searc…,"$26,782,316","$201,115",813
94,Jersey Girl,Miramax,"$25,266,129","$8,319,171","1,821"
95,Twisted,Paramount…,"$25,195,050","$8,904,299","2,704"
96,The Life Aquatic with Steve Zissou,Walt Disney,"$24,006,726","$113,085","1,105"
97,Around the World in 80 Days,Walt Disney,"$24,004,159","$7,576,132","2,801"
98,Hotel Rwanda,MGM,"$23,519,128","$100,091",824
99,Agent Cody Banks 2: Destination London,MGM,"$23,514,247","$8,014,005","2,973"
100,Ella Enchanted,Miramax,"$22,913,677","$6,169,030","2,149"
101,The Alamo,Walt Disney,"$22,406,362","$9,124,701","2,609"
102,Darkness,Miramax/D…,"$22,163,442","$6,163,306","1,720"
103,Mr. 3000,Walt Disney,"$21,800,302","$8,679,028","2,736"
104,NASCAR: The IMAX Experience,Warner Bros.,"$21,550,235","$1,467,406",73
105,Torque,Warner Bros.,"$21,176,322","$9,970,557","2,463"
106,Flight of the Phoenix,20th Cent…,"$21,009,180","$5,019,430","2,604"
107,Little Black Book,Sony Pict…,"$20,422,207","$7,075,217","2,445"
108,Yu-Gi-Oh,Warner Bros.,"$19,762,690","$9,485,494","2,411"
109,Two Brothers,Universal,"$19,176,754","$6,144,160","2,181"
110,Harold & Kumar Go to White Castle,New Line,"$18,225,165","$5,480,378","2,163"
111,Laws of Attraction,New Line,"$17,848,322","$6,728,905","2,449"
112,Eurotrip,Dreamwork…,"$17,718,223","$6,711,384","2,544"
113,My Baby's Daddy,Miramax,"$17,321,573","$7,548,819","1,448"
114,Seed of Chucky,Focus/Rog…,"$17,016,190","$8,774,520","2,062"
115,Win a Date with Tad Hamilton!,Dreamwork…,"$16,980,098","$7,320,066","2,808"
116,Wimbledon,Universal,"$16,862,585","$7,118,985","2,039"
