Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.10%,"$1,369,544,272",66.90%
2,Black Panther,"$1,346,913,161","$700,059,566",52%,"$646,853,595",48%
3,Jurassic World: Fallen Kingdom,"$1,308,467,944","$417,719,760",31.90%,"$890,748,184",68.10%
4,Incredibles 2,"$1,242,805,359","$608,581,744",49%,"$634,223,615",51%
5,Aquaman,"$1,148,461,807","$335,061,807",29.20%,"$813,400,000",70.80%
6,Bohemian Rhapsody,"$903,655,259","$216,428,042",24%,"$687,227,217",76%
7,Venom,"$856,085,151","$213,515,506",24.90%,"$642,569,645",75.10%
8,Mission: Impossible - Fallout,"$791,115,104","$220,159,104",27.80%,"$570,956,000",72.20%
9,Deadpool 2,"$734,546,611","$318,491,426",43.40%,"$416,055,185",56.60%
10,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901","$159,555,901",24.40%,"$495,300,000",75.60%
11,Ant-Man and the Wasp,"$622,674,139","$216,648,740",34.80%,"$406,025,399",65.20%
12,Ready Player One,"$582,890,172","$137,690,172",23.60%,"$445,200,000",76.40%
13,Operation Red Sea,"$579,330,426","$1,543,547",0.30%,"$577,786,879",99.70%
14,Detective Chinatown 2,"$544,185,156","$1,983,984",0.40%,"$542,201,172",99.60%
15,The Meg,"$530,243,742","$145,443,742",27.40%,"$384,800,000",72.60%
16,Ralph Breaks the Internet,"$529,323,962","$201,091,711",38%,"$328,232,251",62%
17,Hotel Transylvania 3: Summer Vacation,"$528,583,774","$167,510,016",31.70%,"$361,073,758",68.30%
18,The Grinch,"$511,595,957","$270,620,950",52.90%,"$240,975,007",47.10%
19,Bumblebee,"$467,989,645","$127,195,589",27.20%,"$340,794,056",72.80%
20,Dying to Survive,"$451,176,639",-,-,"$451,176,639",100%
21,A Star Is Born,"$436,188,866","$215,288,866",49.40%,"$220,900,000",50.60%
22,Rampage,"$428,028,233","$101,028,233",23.60%,"$327,000,000",76.40%
23,Mamma Mia! Here We Go Again,"$395,044,706","$120,634,935",30.50%,"$274,409,771",69.50%
24,Solo: A Star Wars Story,"$392,924,807","$213,767,512",54.40%,"$179,157,295",45.60%
25,Spider-Man: Into the Spider-Verse,"$375,540,831","$190,241,310",50.70%,"$185,299,521",49.30%
26,Fifty Shades Freed,"$371,985,018","$100,407,760",27%,"$271,577,258",73%
27,Hello Mr. Billionaire,"$366,961,907",-,-,"$366,961,907",100%
28,The Nun,"$365,550,119","$117,450,119",32.10%,"$248,100,000",67.90%
29,Monster Hunt 2,"$361,682,618","$706,153",0.20%,"$360,976,465",99.80%
30,Peter Rabbit,"$351,266,433","$115,253,424",32.80%,"$236,013,009",67.20%
31,Mary Poppins Returns,"$349,537,494","$171,958,438",49.20%,"$177,579,056",50.80%
32,A Quiet Place,"$340,939,361","$188,024,361",55.10%,"$152,915,000",44.90%
33,Green Book,"$321,752,656","$85,080,171",26.40%,"$236,672,485",73.60%
34,Skyscraper,"$304,868,961","$68,420,120",22.40%,"$236,448,841",77.60%
35,Ocean's Eight,"$297,718,711","$140,218,711",47.10%,"$157,500,000",52.90%
36,Pacific Rim: Uprising,"$290,930,148","$59,874,525",20.60%,"$231,055,623",79.40%
