Rank,Movie,Distributor,Domestic,Opening,Max
1,Toy Story 3,Walt Disney,"$415,004,880","$110,307,189","4,028"
2,Alice in Wonderland,Walt Disney,"$334,191,110","$116,101,023","3,739"
3,Iron Man 2,Paramount…,"$312,433,331","$128,122,480","4,390"
4,The Twilight Saga: Eclipse,Summit En…,"$300,531,751","$64,832,191","4,468"
5,Harry Potter and the Deathly Hallows: Part I,Warner Bros.,"$296,131,568","$125,017,372","4,125"
6,Inception,Warner Bros.,"$292,576,195","$62,785,337","3,792"
7,Despicable Me,Universal,"$251,513,985","$56,397,125","3,602"
8,Shrek Forever After,Paramount…,"$238,736,787","$70,838,207","4,386"
9,How to Train Your Dragon,Paramount…,"$217,581,232","$43,732,319","4,060"
10,Tangled,Walt Disney,"$200,821,936","$48,767,052","3,603"
11,The Karate Kid,Sony Pict…,"$176,591,618","$55,665,805","3,740"
12,Tron: Legacy,Walt Disney,"$172,062,763","$44,026,211","3,451"
13,True Grit,Paramount…,"$171,243,005","$24,830,443","3,464"
14,Clash of the Titans,Warner Bros.,"$163,214,888","$61,235,105","3,802"
15,Grown Ups,Sony Pict…,"$162,001,186","$40,506,564","3,534"
16,Little Fockers,Universal,"$148,438,600","$30,833,665","3,675"
17,Megamind,Paramount…,"$148,415,853","$46,016,833","3,949"
18,The King’s Speech,Weinstein…,"$138,797,449","$355,450","2,584"
19,The Last Airbender,Paramount…,"$131,772,187","$40,325,019","3,203"
20,Shutter Island,Paramount…,"$128,012,934","$41,062,440","3,356"
21,The Other Guys,Sony Pict…,"$119,219,978","$35,543,162","3,651"
22,Salt,Sony Pict…,"$118,311,368","$36,011,243","3,612"
23,Jackass 3D,Paramount…,"$117,229,692","$50,353,641","3,139"
24,Valentine's Day,Warner Bros.,"$110,485,654","$56,260,707","3,665"
25,Black Swan,Fox Searc…,"$106,954,678","$1,443,809","2,407"
26,Robin Hood,Universal,"$105,487,148","$36,063,385","3,505"
27,The Chronicles of Narnia: The Voyage of the Daw…,20th Cent…,"$104,386,950","$24,005,069","3,555"
28,The Expendables,Lionsgate,"$103,068,524","$34,825,135","3,398"
29,Due Date,Warner Bros.,"$100,539,043","$32,689,406","3,365"
30,Yogi Bear,Warner Bros.,"$100,246,011","$16,411,322","3,515"
31,Date Night,20th Cent…,"$98,711,404","$25,207,599","3,380"
32,The Social Network,Sony Pict…,"$96,962,694","$22,445,653","2,921"
33,Sex and the City 2,Warner Bros.,"$95,347,692","$31,001,870","3,445"
34,The Book of Eli,Warner Bros.,"$94,835,059","$32,789,494","3,111"
35,The Fighter,Paramount…,"$93,617,009","$300,010","2,534"
36,The Town,Warner Bros.,"$92,186,262","$23,808,032","2,935"
37,Prince of Persia: Sands of Time,Walt Disney,"$90,759,676","$30,095,259","3,646"
38,Red,Summit En…,"$90,380,162","$21,761,408","3,349"
39,Percy Jackson & the Olympians: The Lightning Thief,20th Cent…,"$88,768,303","$31,236,067","3,396"
40,Paranormal Activity 2,Paramount…,"$84,752,907","$40,678,424","3,239"
41,Unstoppable,20th Cent…,"$81,562,942","$22,688,457","3,261"
42,Eat Pray Love,Sony Pict…,"$80,574,010","$23,104,523","3,108"
43,Dear John,Sony Pict…,"$80,014,842","$30,468,614","3,062"
44,The A-Team,20th Cent…,"$77,222,099","$25,669,455","3,544"
45,Knight and Day,20th Cent…,"$76,423,035","$20,139,985","3,104"
46,Dinner for Schmucks,Paramount…,"$73,026,337","$23,527,839","3,046"
47,The Tourist,Sony Pict…,"$67,631,157","$16,472,458","2,756"
48,The Bounty Hunter,Sony Pict…,"$67,061,228","$20,686,423","3,118"
49,Diary of a Wimpy Kid,20th Cent…,"$64,003,625","$22,126,166","3,083"
50,The Sorcerer's Apprentice,Walt Disney,"$63,150,991","$17,619,622","3,504"
51,A Nightmare on Elm Street,Warner Bros.,"$63,075,011","$32,902,299","3,332"
52,The Last Song,Walt Disney,"$62,950,384","$16,007,426","2,794"
53,The Wolfman,Universal,"$62,189,884","$31,479,235","3,223"
54,Get Him to the Greek,Universal,"$61,153,526","$17,570,955","2,702"
55,Resident Evil: Afterlife,Sony Pict…,"$60,128,566","$26,650,264","3,209"
56,Why Did I Get Married Too?,Lionsgate,"$60,095,852","$29,289,537","2,155"
57,Tooth Fairy,20th Cent…,"$60,022,256","$14,010,409","3,345"
58,Secretariat,Walt Disney,"$59,699,513","$12,694,770","3,108"
59,Easy A,Sony Pict…,"$58,401,464","$17,734,040","2,974"
60,Takers,Sony Pict…,"$57,744,720","$20,512,304","2,206"
61,Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros.,"$55,675,313","$16,112,211","3,575"
62,Life as We Know It,Warner Bros.,"$53,374,681","$14,506,464","3,150"
63,Letters to Juliet,Summit En…,"$53,032,453","$13,540,486","2,975"
64,Hubble 3D,Warner Bros.,"$52,600,190","$413,477",151
65,Wall Street 2: Money Never Sleeps,20th Cent…,"$52,474,616","$19,011,188","3,597"
66,Predators,20th Cent…,"$52,000,688","$24,760,882","2,669"
67,Hot Tub Time Machine,MGM,"$50,269,859","$14,020,502","2,771"
68,Kick-Ass,Lionsgate,"$48,071,303","$19,828,687","3,065"
69,Killers,Lionsgate,"$47,059,963","$15,837,266","2,859"
70,Saw 3D,Lionsgate,"$45,710,178","$24,230,123","2,808"
71,Cop Out,Warner Bros.,"$44,875,481","$18,211,126","3,150"
72,Cats & Dogs: The Revenge of Kitty Galore,Warner Bros.,"$43,585,753","$12,279,363","3,705"
73,Edge of Darkness,Warner Bros.,"$43,313,890","$17,214,384","3,066"
74,Gulliver's Travels,20th Cent…,"$42,779,261","$6,307,691","3,089"
75,Death at a Funeral,Sony Pict…,"$42,739,347","$16,217,540","2,459"
76,Step Up 3D,Walt Disney,"$42,400,223","$15,812,311","2,439"
77,The Last Exorcism,Lionsgate,"$41,034,350","$20,366,613","2,874"
78,Legion,Sony Pict…,"$40,168,080","$17,501,625","2,476"
79,Burlesque,Sony Pict…,"$39,440,655","$11,947,744","3,037"
80,The Crazies,Overture …,"$39,123,589","$16,067,552","2,479"
81,For Colored Girls,Lionsgate,"$37,729,698","$19,497,324","2,127"
82,The Back-up Plan,CBS Films,"$37,490,007","$12,201,710","3,280"
83,Vampires Suck,20th Cent…,"$36,661,504","$12,202,831","3,233"
84,The American,Focus Fea…,"$35,606,376","$13,177,790","2,833"
85,Green Zone,Universal,"$35,497,337","$14,309,295","3,004"
86,Devil,Universal,"$33,679,655","$12,289,375","2,811"
87,Marmaduke,20th Cent…,"$33,644,788","$11,599,661","3,213"
88,Scott Pilgrim vs. The World,Universal,"$32,841,100","$10,609,795","2,820"
89,Hereafter,Warner Bros.,"$32,746,941","$220,322","2,424"
90,When in Rome,Walt Disney,"$32,680,633","$12,350,041","2,456"
91,Love and Other Drugs,20th Cent…,"$32,367,005","$9,739,161","2,458"
92,She's Out of My League,Paramount…,"$32,010,860","$9,775,278","2,958"
93,Charlie St. Cloud,Universal,"$31,206,263","$12,381,585","2,725"
94,Morning Glory,Paramount…,"$31,011,732","$9,203,266","2,544"
95,How Do You Know?,Sony Pict…,"$30,212,620","$7,484,696","2,483"
96,Daybreakers,Lionsgate,"$30,101,577","$15,146,692","2,523"
97,Nanny McPhee and the Big Bang,Universal,"$29,197,642","$8,407,685","2,798"
98,The Switch,Miramax,"$27,758,465","$8,436,713","2,017"
99,Brooklyn's Finest,Overture …,"$27,163,593","$13,350,299","1,939"
100,Machete,20th Cent…,"$26,593,646","$11,416,164","2,678"
101,Ramona and Beezus,20th Cent…,"$26,167,002","$7,810,481","2,719"
102,Leap Year,Universal,"$25,918,920","$9,202,815","2,512"
103,You Again,Walt Disney,"$25,702,053","$8,407,513","2,548"
104,Alpha and Omega,Lionsgate,"$25,107,267","$9,106,906","2,625"
105,Piranha 3D,Weinstein…,"$25,003,155","$10,106,872","2,491"
106,Lottery Ticket,Warner Bros.,"$24,719,879","$10,652,297","1,973"
107,The Spy Next Door,Lionsgate,"$24,307,106","$9,726,056","2,924"
108,From Paris With Love,Lionsgate,"$24,077,427","$8,158,860","2,722"
109,The Losers,Warner Bros.,"$23,591,432","$9,406,348","2,936"
