Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Toy Story 3,"$1,066,969,703","$415,004,880",38.90%,"$651,964,823",61.10%
2,Alice in Wonderland,"$1,025,467,110","$334,191,110",32.60%,"$691,276,000",67.40%
3,Harry Potter and the Deathly Hallows: Part 1,"$976,536,918","$295,983,305",30.30%,"$680,553,613",69.70%
4,Inception,"$825,793,570","$292,576,195",35.40%,"$533,217,375",64.60%
5,Shrek Forever After,"$752,600,867","$238,736,787",31.70%,"$513,864,080",68.30%
6,The Twilight Saga: Eclipse,"$698,491,347","$300,531,751",43%,"$397,959,596",57%
7,Iron Man 2,"$623,933,331","$312,433,331",50.10%,"$311,500,000",49.90%
8,Tangled,"$592,461,732","$200,821,936",33.90%,"$391,639,796",66.10%
9,Despicable Me,"$543,113,985","$251,513,985",46.30%,"$291,600,000",53.70%
10,How to Train Your Dragon,"$494,878,759","$217,581,231",44%,"$277,297,528",56%
11,Clash of the Titans,"$493,214,993","$163,214,888",33.10%,"$330,000,105",66.90%
12,The King's Speech,"$423,999,102","$135,453,143",31.90%,"$288,545,959",68.10%
13,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$415,686,217","$104,386,950",25.10%,"$311,299,267",74.90%
14,TRON: Legacy,"$400,062,763","$172,062,763",43%,"$228,000,000",57%
15,The Karate Kid,"$359,126,022","$176,591,618",49.20%,"$182,534,404",50.80%
16,Black Swan,"$329,398,046","$106,954,678",32.50%,"$222,443,368",67.50%
17,Megamind,"$321,885,765","$148,415,853",46.10%,"$173,469,912",53.90%
18,Robin Hood,"$321,669,741","$105,269,730",32.70%,"$216,400,011",67.30%
19,The Last Airbender,"$319,713,881","$131,772,187",41.20%,"$187,941,694",58.80%
20,Little Fockers,"$310,650,585","$148,438,600",47.80%,"$162,211,985",52.20%
21,Resident Evil: Afterlife,"$300,228,084","$60,128,566",20%,"$240,099,518",80%
22,Shutter Island,"$294,804,195","$128,012,934",43.40%,"$166,791,261",56.60%
23,Salt,"$293,503,354","$118,311,368",40.30%,"$175,191,986",59.70%
24,Sex and the City 2,"$290,745,055","$95,347,692",32.80%,"$195,397,363",67.20%
25,The Tourist,"$278,780,441","$67,631,157",24.30%,"$211,149,284",75.70%
26,The Expendables,"$274,470,394","$103,068,524",37.60%,"$171,401,870",62.40%
27,Grown Ups,"$271,430,189","$162,001,186",59.70%,"$109,429,003",40.30%
28,Knight and Day 2010 Re-release,"$261,930,436","$76,423,035",29.20%,"$185,507,401",70.80%
29,True Grit,"$252,276,927","$171,243,005",67.90%,"$81,033,922",32.10%
30,Gulliver's Travels,"$237,382,724","$42,779,261",18%,"$194,603,463",82%
31,Percy Jackson & the Olympians: The Lightning Thief,"$226,497,209","$88,768,303",39.20%,"$137,728,906",60.80%
32,The Social Network,"$224,920,315","$96,962,694",43.10%,"$127,957,621",56.90%
33,Valentine's Day,"$216,485,654","$110,485,654",51%,"$106,000,000",49%
34,The Sorcerer's Apprentice,"$215,283,742","$63,150,991",29.30%,"$152,132,751",70.70%
35,Due Date,"$211,780,824","$100,539,043",47.50%,"$111,241,781",52.50%
36,Eat Pray Love,"$204,594,016","$80,574,010",39.40%,"$124,020,006",60.60%
37,Yogi Bear,"$203,509,374","$100,246,011",49.30%,"$103,263,363",50.70%
38,RED,"$199,006,387","$90,380,162",45.40%,"$108,626,225",54.60%
39,Paranormal Activity 2,"$177,512,032","$84,752,907",47.70%,"$92,759,125",52.30%
40,The A-Team,"$177,238,796","$77,222,099",43.60%,"$100,016,697",56.40%
41,Jackass 3D,"$171,685,792","$117,229,692",68.30%,"$54,456,100",31.70%
42,The Other Guys,"$170,458,922","$119,219,978",69.90%,"$51,238,944",30.10%
43,Unstoppable,"$167,805,466","$81,562,942",48.60%,"$86,242,524",51.40%
44,Step Up 3D,"$159,291,809","$42,400,223",26.60%,"$116,891,586",73.40%
45,The Book of Eli,"$157,107,755","$94,835,059",60.40%,"$62,272,696",39.60%
46,The Town,"$154,026,136","$92,186,262",59.90%,"$61,839,874",40.10%
47,Date Night,"$152,263,880","$98,711,404",64.80%,"$53,552,476",35.20%
48,The Secret World of Arrietty,"$148,800,274","$19,202,743",12.90%,"$129,597,531",87.10%
49,Legend of the Guardians: The Owls of Ga'Hoole,"$140,073,390","$55,675,313",39.70%,"$84,398,077",60.30%
50,The Wolfman,"$139,789,765","$61,979,680",44.30%,"$77,810,085",55.70%
51,The Bounty Hunter,"$136,333,522","$67,061,228",49.20%,"$69,272,294",50.80%
52,Saw 3D,"$136,150,434","$45,710,178",33.60%,"$90,440,256",66.40%
53,Wall Street: Money Never Sleeps,"$134,748,021","$52,474,616",38.90%,"$82,273,405",61.10%
54,The Adjustment Bureau,"$127,869,379","$62,495,645",48.90%,"$65,373,734",51.10%
55,Predators,"$127,233,108","$52,000,688",40.90%,"$75,232,420",59.10%
56,A Nightmare on Elm Street,"$115,694,863","$63,075,011",54.50%,"$52,619,852",45.50%
57,Dear John,"$114,984,666","$80,014,842",69.60%,"$34,969,824",30.40%
58,Cats & Dogs: The Revenge of Kitty Galore,"$112,483,764","$43,585,753",38.70%,"$68,898,011",61.30%
59,Tooth Fairy,"$112,462,508","$60,022,256",53.40%,"$52,440,252",46.60%
60,Sanctum,"$108,609,310","$23,209,310",21.40%,"$85,400,000",78.60%
61,Harmony,"$107,056,263",-,-,"$107,056,263",100%
62,Hereafter,"$106,956,330","$32,746,941",30.60%,"$74,209,389",69.40%
63,Life as We Know It,"$105,734,416","$53,374,681",50.50%,"$52,359,735",49.50%
64,Let the Bullets Fly,"$104,723,314","$63,012",<0.1%,"$104,660,302",99.90%
65,Love & Other Drugs,"$102,820,008","$32,367,005",31.50%,"$70,453,003",68.50%
66,Aftershock,"$100,293,273","$62,962",<0.1%,"$100,230,311",99.90%
67,Umizaru 3: The Last Message,"$98,663,381",-,-,"$98,663,381",100%
68,Killers,"$98,159,963","$47,059,963",47.90%,"$51,100,000",52.10%
69,Kick-Ass,"$96,188,903","$48,071,303",50%,"$48,117,600",50%
70,Nanny McPhee Returns,"$93,251,121","$29,011,215",31.10%,"$64,239,906",68.90%
71,Get Him to the Greek,"$91,720,255","$60,974,475",66.50%,"$30,745,780",33.50%
72,Burlesque,"$89,519,773","$39,440,655",44.10%,"$50,079,118",55.90%
73,The Last Song,"$89,137,047","$62,950,384",70.60%,"$26,186,663",29.40%
74,Dinner for Schmucks,"$86,855,739","$73,026,337",84.10%,"$13,829,402",15.90%
75,Bayside Shakedown 3: Set the Guys Loose,"$85,347,374",-,-,"$85,347,374",100%
76,Marmaduke,"$83,761,844","$33,644,788",40.20%,"$50,117,056",59.80%
77,Piranha 3D,"$83,188,165","$25,003,155",30.10%,"$58,185,010",69.90%
78,Oceans,"$83,090,556","$19,422,319",23.40%,"$63,668,237",76.60%
79,Blades of Blood 2010 Re-release,"$82,177,196",-,-,"$82,177,196",100%
80,Edge of Darkness,"$81,126,522","$43,313,890",53.40%,"$37,812,632",46.60%
81,Vampires Suck,"$80,547,866","$36,661,504",45.50%,"$43,886,362",54.50%
82,Letters to Juliet,"$79,293,444","$53,032,453",66.90%,"$26,260,991",33.10%
83,The Back-up Plan,"$77,477,008","$37,490,007",48.40%,"$39,987,001",51.60%
84,Diary of a Wimpy Kid,"$76,196,538","$64,003,625",84%,"$12,192,913",16%
85,If You Are the One 2,"$76,085,443","$426,894",0.60%,"$75,658,549",99.40%
86,Easy A,"$75,026,216","$58,401,464",77.80%,"$16,624,752",22.20%
87,Hubble,"$74,249,729","$52,522,904",70.70%,"$21,726,825",29.30%
88,Pokémon: Zoroark: Master of Illusions,"$71,143,529",-,-,"$71,143,529",100%
89,A Turtle's Tale: Sammy's Adventures,"$70,627,617",-,-,"$70,627,617",100%
90,The Last Exorcism,"$69,432,527","$41,034,350",59.10%,"$28,398,177",40.90%
91,Takers,"$69,055,695","$57,744,720",83.60%,"$11,310,975",16.40%
92,Bestseller,"$68,813,389",-,-,"$68,813,389",100%
93,Legion,"$67,918,658","$40,168,080",59.10%,"$27,750,578",40.90%
94,The American,"$67,876,281","$35,606,376",52.50%,"$32,269,905",47.50%
95,The Next Three Days,"$67,448,651","$21,148,651",31.40%,"$46,300,000",68.60%
96,Skyline,"$66,984,887","$21,393,620",31.90%,"$45,591,267",68.10%
97,Hot Tub Time Machine,"$64,735,752","$50,287,556",77.70%,"$14,448,196",22.30%
98,Elite Squad 2: The Enemy Within,"$63,618,850","$100,119",0.20%,"$63,518,731",99.80%
99,Devil,"$62,695,489","$33,601,190",53.60%,"$29,094,299",46.40%
100,127 Hours,"$60,738,797","$18,335,230",30.20%,"$42,403,567",69.80%
101,Why Did I Get Married Too?,"$60,673,972","$60,095,852",99%,"$578,120",1%
102,The Ghost Writer,"$60,331,447","$15,541,549",25.80%,"$44,789,898",74.20%
103,Secretariat,"$60,321,861","$59,713,955",99%,"$607,906",1%
104,Morning Glory,"$60,040,976","$31,011,732",51.70%,"$29,029,244",48.30%
105,Remember Me,"$56,032,889","$19,068,240",34%,"$36,964,649",66%
106,Cop Out,"$55,611,001","$44,875,481",80.70%,"$10,735,520",19.30%
107,Veda - Atatürk,"$55,024,621",-,-,"$55,024,621",100%
108,The Crazies,"$54,806,823","$39,123,589",71.40%,"$15,683,234",28.60%
109,Little White Lies,"$53,319,615","$206,088",0.40%,"$53,113,527",99.60%
110,From Paris with Love,"$52,830,951","$24,077,427",45.60%,"$28,753,524",54.40%
