Rank,Movie,Distributor,Domestic,Opening,Max
1,The Hunger Games: Catching Fire,Lionsgate,"$424,668,047","$158,074,286","4,163"
2,Iron Man 3,Walt Disney,"$408,992,272","$174,144,585","4,253"
3,Frozen,Walt Disney,"$400,953,009","$243,390","3,742"
4,Despicable Me 2,Universal,"$368,065,385","$84,227,980","4,003"
5,Man of Steel,Warner Bros.,"$291,045,518","$116,619,362","4,207"
6,Gravity,Warner Bros.,"$274,092,705","$55,785,112","3,820"
7,Monsters University,Walt Disney,"$268,488,329","$82,429,469","4,004"
8,The Hobbit: The Desolation of Smaug,Warner Bros.,"$258,241,522","$73,645,197","3,928"
9,Fast and Furious 6,Universal,"$238,679,850","$97,375,245","3,771"
10,Oz the Great and Powerful,Walt Disney,"$234,770,996","$79,110,453","3,912"
11,Star Trek Into Darkness,Paramount…,"$228,778,661","$70,165,559","3,907"
12,Thor: The Dark World,Walt Disney,"$206,362,140","$85,737,841","3,841"
13,World War Z,Paramount…,"$202,706,711","$66,411,834","3,607"
14,The Croods,20th Cent…,"$187,168,425","$43,639,736","4,065"
15,The Heat,20th Cent…,"$159,581,587","$39,115,043","3,184"
16,We’re the Millers,Warner Bros.,"$150,394,119","$26,419,396","3,445"
17,American Hustle,Sony Pict…,"$150,098,456","$740,455","2,629"
18,The Great Gatsby,Warner Bros.,"$144,840,419","$50,085,184","3,550"
19,The Conjuring,Warner Bros.,"$137,400,141","$41,855,326","3,115"
20,Identity Thief,Universal,"$134,506,920","$34,551,025","3,230"
21,Grown Ups 2,Sony Pict…,"$133,668,525","$41,508,572","3,491"
22,The Wolverine,20th Cent…,"$132,556,852","$53,113,752","3,924"
23,Anchorman 2: The Legend Continues,Paramount…,"$127,413,176","$26,232,425","3,507"
24,Lone Survivor,Universal,"$125,095,601","$90,872","3,285"
25,G.I. Joe: Retaliation,Paramount…,"$122,523,060","$40,501,814","3,734"
26,Cloudy with a Chance of Meatballs 2,Sony Pict…,"$119,793,567","$34,017,930","4,001"
27,Now You See Me,Lionsgate,"$117,723,989","$29,350,389","3,082"
