Rank,Movie,Distributor,Domestic,Opening,Max
1,The Dark Knight,Warner Bros.,"$534,987,076","$158,411,483","4,366"
2,Iron Man,Paramount…,"$318,604,126","$102,118,668","4,154"
3,Indiana Jones and the Kingdom of the Crystal Skull,Paramount…,"$317,101,119","$100,137,835","4,264"
4,Hancock,Sony Pict…,"$227,946,274","$62,603,879","3,965"
5,WALL-E,Walt Disney,"$223,808,164","$63,087,526","3,992"
6,Kung Fu Panda,Paramount…,"$215,434,591","$60,239,130","4,136"
7,Twilight,Summit En…,"$192,769,854","$69,637,740","3,649"
8,Madagascar: Escape 2 Africa,Paramount…,"$180,174,880","$63,106,589","4,065"
9,Quantum of Solace,Sony Pict…,"$169,368,427","$67,528,882","3,501"
10,Horton Hears a Who,20th Cent…,"$154,529,439","$45,012,998","3,961"
11,Sex and the City,Warner Bros.,"$152,647,258","$56,848,056","3,325"
12,Gran Torino,Warner Bros.,"$148,095,302","$271,720","3,045"
13,Mamma Mia!,Universal,"$144,130,063","$27,751,240","3,194"
14,Marley & Me,20th Cent…,"$143,153,751","$36,357,586","3,505"
15,The Chronicles of Narnia: Prince Caspian,Walt Disney,"$141,621,490","$55,034,805","3,929"
16,Slumdog Millionaire,Fox Searc…,"$141,330,703","$360,018","2,943"
17,The Incredible Hulk,Universal,"$134,806,913","$55,414,050","3,508"
18,Wanted,Universal,"$134,508,551","$50,927,085","3,185"
19,Get Smart,Warner Bros.,"$130,319,208","$38,683,480","3,915"
20,The Curious Case of Benjamin Button,Paramount…,"$127,509,326","$26,853,816","2,988"
21,Four Christmases,Warner Bros.,"$120,146,040","$31,069,826","3,540"
22,Bolt,Walt Disney,"$114,053,579","$26,223,128","3,654"
23,Tropic Thunder,Paramount…,"$110,515,313","$25,812,796","3,473"
24,Bedtime Stories,Walt Disney,"$110,101,975","$27,450,296","3,684"
25,The Mummy: Tomb of the Dragon Emperor,Universal,"$102,491,776","$40,457,770","3,778"
26,Journey to the Center of the Earth,Warner Bros.,"$101,704,370","$21,018,141","2,830"
27,Eagle Eye,Paramount…,"$101,440,743","$29,150,721","3,614"
28,Step Brothers,Sony Pict…,"$100,468,793","$30,940,732","3,182"
29,You Don't Mess With the Zohan,Sony Pict…,"$100,018,837","$38,531,374","3,466"
30,Yes Man,Warner Bros.,"$97,690,976","$18,262,471","3,434"
31,"10,000 B.C.",Warner Bros.,"$94,784,201","$35,867,488","3,454"
32,Beverly Hills Chihuahua,Walt Disney,"$94,514,402","$29,300,465","3,239"
33,High School Musical 3: Senior Year,Walt Disney,"$90,559,416","$42,030,184","3,626"
34,Pineapple Express,Sony Pict…,"$87,341,380","$23,245,025","3,072"
35,Valkyrie,United Ar…,"$83,107,829","$21,027,007","2,838"
36,21,Sony Pict…,"$81,159,365","$24,105,943","2,952"
37,What Happens in Vegas...,20th Cent…,"$80,277,646","$20,172,474","3,255"
38,Jumper,20th Cent…,"$80,172,128","$27,354,808","3,430"
39,Cloverfield,Paramount…,"$80,048,433","$40,058,229","3,411"
40,The Day the Earth Stood Still,20th Cent…,"$79,366,978","$30,480,153","3,560"
41,27 Dresses,20th Cent…,"$76,808,654","$23,007,725","3,074"
42,Hellboy II: The Golden Army,Universal,"$75,986,503","$34,539,115","3,212"
43,Vantage Point,Sony Pict…,"$72,266,306","$22,874,936","3,163"
44,The Spiderwick Chronicles,Paramount…,"$71,195,053","$19,004,058","3,847"
45,Fool’s Gold,Warner Bros.,"$70,231,041","$21,589,295","3,125"
46,Seven Pounds,Sony Pict…,"$69,951,824","$14,851,136","2,758"
47,Role Models,Universal,"$67,300,955","$19,167,085","2,798"
48,Hannah Montana and Miley Cyrus: Best of Both Wo…,Walt Disney,"$65,281,781","$31,117,834",687
49,The Happening,20th Cent…,"$64,506,874","$30,517,109","2,986"
50,Forgetting Sarah Marshall,Universal,"$63,172,463","$17,725,330","2,872"
51,Baby Mama,Universal,"$60,494,212","$17,407,110","2,627"
52,Burn After Reading,Focus Fea…,"$60,355,347","$19,128,001","2,657"
53,Step Up 2 the Streets,Walt Disney,"$58,017,783","$18,908,826","2,528"
54,Saw V,Lionsgate,"$56,746,769","$30,053,954","3,084"
55,The Strangers,Focus Fea…,"$52,597,610","$20,997,985","2,477"
56,The Forbidden Kingdom,Lionsgate,"$52,075,270","$21,401,121","3,151"
57,The Tale of Despereaux,Universal,"$50,877,145","$10,103,675","3,107"
58,Australia,20th Cent…,"$49,554,002","$14,800,723","2,721"
59,The House Bunny,Sony Pict…,"$48,237,389","$14,533,702","2,763"
60,Nim's Island,20th Cent…,"$48,006,762","$13,210,579","3,518"
61,Made of Honor,Sony Pict…,"$46,012,734","$14,756,850","2,816"
62,College Road Trip,Walt Disney,"$45,610,425","$13,601,419","2,706"
63,The Sisterhood of the Traveling Pants 2,Warner Bros.,"$44,089,964","$10,678,430","2,714"
64,Speed Racer,Warner Bros.,"$43,945,766","$18,561,337","3,606"
65,Prom Night,Sony Pict…,"$43,869,350","$20,804,941","2,821"
66,Rambo,Lionsgate,"$42,754,105","$18,203,876","2,764"
67,Welcome Home Roscoe Jenkins,Universal,"$42,436,517","$16,207,730","2,387"
68,Meet the Browns,Lionsgate,"$41,975,388","$20,082,809","2,016"
69,Nights in Rodanthe,Warner Bros.,"$41,850,659","$13,418,454","2,704"
70,Max Payne,20th Cent…,"$40,689,393","$17,639,849","3,381"
71,Righteous Kill,Overture …,"$40,081,410","$16,288,361","3,152"
72,Body of Lies,Warner Bros.,"$39,394,666","$12,884,416","2,714"
73,Lakeview Terrace,Sony Pict…,"$39,263,506","$15,004,672","2,574"
74,Meet the Spartans,20th Cent…,"$38,233,676","$18,505,530","2,643"
75,Harold & Kumar Escape from Guantanamo Bay,Warner Bros.,"$38,108,728","$14,908,404","2,545"
76,First Sunday,Sony Pict…,"$37,931,869","$17,714,821","2,213"
77,The Secret Life of Bees,Fox Searc…,"$37,780,486","$10,527,799","1,630"
78,The Family That Preys,Lionsgate,"$37,105,289","$17,381,218","2,070"
79,Death Race,Universal,"$36,316,032","$12,621,090","2,586"
80,Changeling,Universal,"$35,739,802","$489,015","1,896"
81,Star Wars: The Clone Wars,Warner Bros.,"$35,161,554","$14,611,273","3,452"
82,The Reader,Weinstein…,"$34,194,407","$168,051","1,203"
83,Semi-Pro,New Line,"$33,479,698","$15,075,114","3,121"
84,Fireproof,Samuel Go…,"$33,456,317","$6,804,764",905
85,Doubt,Miramax,"$33,446,470","$507,226","1,287"
86,Drillbit Taylor,Paramount…,"$32,862,104","$10,309,986","3,061"
87,"Definitely, Maybe",Universal,"$32,241,649","$9,764,270","2,220"
88,The Love Guru,Paramount…,"$32,235,793","$13,907,130","3,012"
89,Milk,Focus Fea…,"$31,841,299","$1,453,844",882
90,Transporter 3,Lionsgate,"$31,715,062","$12,063,452","2,626"
91,Quarantine,Sony Pict…,"$31,691,811","$14,211,321","2,463"
92,Nick and Norah's Infinite Playlist,Sony Pict…,"$31,487,293","$11,311,751","2,421"
93,Zack and Miri Make a Porno,Weinstein…,"$31,457,946","$10,065,630","2,735"
94,The Eye,Lionsgate,"$31,418,697","$12,425,776","2,470"
95,Leatherheads,Universal,"$31,373,938","$12,682,595","2,798"
96,Mirrors,20th Cent…,"$30,691,439","$11,161,074","2,664"
97,Space Chimps,20th Cent…,"$30,105,968","$7,181,374","2,538"
98,The Bank Job,Lionsgate,"$30,060,660","$5,935,256","1,613"
99,Untraceable,Sony Pict…,"$28,687,835","$11,354,069","2,368"
100,The Women,Picturehouse,"$26,902,075","$10,155,121","2,995"
