Rank,Movie,Distributor,Domestic,Opening,Max
1,Pirates of the Caribbean: Dead Man’s Chest,Walt Disney,"$423,315,812","$135,634,554","4,133"
2,Night at the Museum,20th Cent…,"$250,863,268","$30,433,781","3,768"
3,Cars,Walt Disney,"$244,082,982","$60,119,509","3,988"
4,X-Men: The Last Stand,20th Cent…,"$234,362,462","$102,750,665","3,714"
5,The Da Vinci Code,Sony Pict…,"$217,536,138","$77,073,388","3,757"
6,Superman Returns,Warner Bros.,"$200,120,000","$52,535,096","4,065"
7,Happy Feet,Warner Bros.,"$198,000,317","$41,533,432","3,804"
8,Ice Age: The Meltdown,20th Cent…,"$195,330,621","$68,033,544","3,969"
9,Casino Royale,Sony Pict…,"$167,365,000","$40,833,156","3,443"
10,The Pursuit of Happyness,Sony Pict…,"$162,586,036","$26,541,709","3,169"
11,Over the Hedge,Paramount…,"$155,019,340","$38,457,003","4,093"
12,Talladega Nights: The Ballad of Ricky Bobby,Sony Pict…,"$148,213,377","$47,042,215","3,807"
13,Click,Sony Pict…,"$137,355,633","$40,011,365","3,764"
14,Mission: Impossible III,Paramount…,"$133,501,348","$47,743,273","4,059"
15,The Departed,Warner Bros.,"$132,384,315","$26,887,467","3,017"
16,Borat,20th Cent…,"$128,505,958","$26,455,463","2,611"
17,The Devil Wears Prada,20th Cent…,"$124,740,460","$27,537,244","2,882"
18,The Break-Up,Universal,"$118,703,275","$39,172,785","3,146"
19,Dreamgirls,Paramount…,"$103,365,956","$378,950","2,797"
20,Scary Movie 4,Weinstein…,"$90,710,620","$40,222,875","3,673"
21,Failure to Launch,Paramount…,"$88,715,192","$24,411,322","3,202"
22,Inside Man,Universal,"$88,634,237","$28,954,945","2,867"
23,Open Season,Sony Pict…,"$85,105,259","$23,624,548","3,833"
24,The Santa Clause 3: The Escape Clause,Walt Disney,"$84,500,122","$19,504,038","3,458"
25,Charlotte's Web,Paramount…,"$82,985,708","$11,457,353","3,745"
26,The Pink Panther,Sony Pict…,"$82,226,474","$20,220,412","3,477"
27,Eight Below,Walt Disney,"$81,612,565","$20,188,176","3,122"
28,Saw III,Lionsgate,"$80,238,724","$33,610,391","3,167"
29,Nacho Libre,Paramount…,"$80,197,993","$28,309,599","3,083"
30,"You, Me and Dupree",Universal,"$75,802,010","$21,525,560","3,137"
31,Eragon,20th Cent…,"$75,030,163","$23,239,907","3,030"
32,Monster House,Sony Pict…,"$73,661,010","$22,217,226","3,553"
33,Barnyard: The Original Party Animals,Paramount…,"$72,779,000","$15,820,864","3,311"
34,Jackass: Number Two,Paramount…,"$72,778,712","$29,002,002","3,063"
35,R.V.,Sony Pict…,"$71,724,497","$16,414,767","3,651"
36,V for Vendetta,Warner Bros.,"$70,511,035","$25,642,640","3,365"
37,World Trade Center,Paramount…,"$70,278,893","$18,730,762","3,021"
38,Rocky Balboa,MGM,"$70,269,899","$12,158,168","3,019"
39,Big Momma's House 2,20th Cent…,"$70,165,972","$27,736,056","3,261"
40,Step Up,Walt Disney,"$65,328,121","$20,659,573","2,647"
41,Flushed Away,Paramount…,"$64,665,672","$18,814,323","3,707"
42,Déjà Vu,Walt Disney,"$64,038,616","$20,574,802","3,108"
43,Deep Sea 3D,Warner Bros.,"$63,857,503","$700,213",47
44,Miami Vice,Universal,"$63,478,838","$25,723,815","3,026"
45,The Holiday,Sony Pict…,"$63,280,000","$12,778,913","2,698"
46,Madea's Family Reunion,Lionsgate,"$63,257,940","$30,030,661","2,194"
47,The Fast and the Furious: Tokyo Drift,Universal,"$62,615,510","$23,973,840","3,030"
48,Underworld: Evolution,Sony Pict…,"$62,318,875","$26,857,181","3,207"
49,The Shaggy Dog,Walt Disney,"$61,123,569","$16,310,058","3,501"
50,Poseidon,Warner Bros.,"$60,674,817","$22,155,410","3,555"
51,The Good Shepherd,Universal,"$59,908,565","$10,033,960","2,250"
52,Little Miss Sunshine,Fox Searc…,"$59,891,098","$370,998","1,602"
53,The Benchwarmers,Sony Pict…,"$59,843,754","$19,656,429","3,282"
54,Curious George,Universal,"$58,640,119","$14,703,405","2,609"
55,Little Man,Sony Pict…,"$58,636,047","$21,613,176","2,537"
56,Invincible,Walt Disney,"$57,806,952","$17,031,122","2,987"
57,Blood Diamond,Warner Bros.,"$57,377,916","$8,648,324","1,920"
58,The Queen,Miramax,"$56,441,711","$122,014","1,850"
59,The Guardian,Walt Disney,"$55,011,732","$18,006,064","3,241"
60,The Omen,20th Cent…,"$54,607,383","$16,026,496","2,723"
61,Final Destination 3,New Line,"$54,098,051","$19,173,094","2,880"
62,The Prestige,Walt Disney,"$53,089,891","$14,801,808","2,305"
63,The Lake House,Warner Bros.,"$52,330,111","$13,616,196","2,645"
64,Hoodwinked,Weinstein…,"$51,386,611","$12,401,900","3,020"
65,Apocalypto,Walt Disney,"$50,866,635","$15,005,604","2,465"
66,Firewall,Warner Bros.,"$48,751,189","$13,635,463","2,840"
67,Date Movie,20th Cent…,"$48,548,426","$19,076,261","2,898"
68,When a Stranger Calls,Sony Pict…,"$47,860,214","$21,607,203","3,004"
69,Hostel,Lionsgate,"$47,326,473","$19,556,099","2,337"
