Rank,Movie,Distributor,Domestic,Opening,Max
1,Spider-Man,Sony Pict…,"$403,706,375","$114,844,116","3,876"
2,The Lord of the Rings: The Two Towers,New Line,"$342,548,984","$62,007,528","3,622"
3,Star Wars Ep. II: Attack of the Clones,20th Cent…,"$310,676,740","$80,027,814","3,161"
4,Harry Potter and the Chamber of Secrets,Warner Bros.,"$262,233,381","$88,357,488","3,682"
5,My Big Fat Greek Wedding,IFC Films,"$241,438,208","$597,362","2,016"
6,Signs,Walt Disney,"$227,969,295","$60,116,619","3,453"
7,Austin Powers in Goldmember,New Line,"$213,117,789","$73,071,188","3,613"
8,Men in Black 2,Sony Pict…,"$190,418,803","$52,148,751","3,641"
9,Ice Age,20th Cent…,"$176,387,405","$46,312,454","3,345"
10,Chicago,Miramax,"$170,687,518","$2,074,929","2,701"
11,Catch Me if You Can,Dreamwork…,"$164,606,800","$30,082,000","3,225"
12,Die Another Day,MGM,"$160,942,139","$47,072,040","3,377"
13,Scooby-Doo,Warner Bros.,"$153,294,164","$54,155,312","3,447"
14,Lilo & Stitch,Walt Disney,"$145,771,527","$35,260,212","3,222"
15,xXx,Sony Pict…,"$141,930,000","$44,506,103","3,536"
16,The Santa Clause 2,Walt Disney,"$139,225,854","$29,008,696","3,352"
17,Minority Report,20th Cent…,"$132,024,714","$35,677,125","3,001"
18,The Ring,Dreamwork…,"$129,094,024","$15,015,393","2,927"
19,Sweet Home Alabama,Walt Disney,"$127,214,072","$35,648,740","3,313"
20,Mr. Deeds,Sony Pict…,"$126,293,452","$37,162,787","3,239"
21,The Bourne Identity,Universal,"$121,468,960","$27,118,640","2,663"
22,The Sum of All Fears,Paramount…,"$118,471,320","$31,178,526","3,230"
23,8 Mile,Universal,"$116,724,075","$51,240,555","2,587"
24,Road to Perdition,Dreamwork…,"$104,054,514","$22,079,481","2,332"
25,Panic Room,Sony Pict…,"$95,308,367","$30,056,751","3,119"
26,Maid in Manhattan,Sony Pict…,"$93,932,896","$18,711,407","3,050"
27,Two Weeks Notice,Warner Bros.,"$93,354,918","$14,328,494","2,755"
28,Space Station,IMAX Films,"$93,231,060","$439,488",64
29,Red Dragon,Universal,"$92,955,420","$36,540,945","3,363"
30,The Scorpion King,Universal,"$90,580,000","$36,075,875","3,466"
31,Spy Kids 2: The Island of Lost Dreams,Miramax/D…,"$85,846,296","$16,711,716","3,307"
32,Blade 2,New Line,"$81,676,888","$32,528,016","2,707"
33,Snow Dogs,Walt Disney,"$81,150,692","$17,814,259","2,454"
34,We Were Soldiers,Paramount…,"$78,120,196","$20,212,543","3,143"
35,Gangs of New York,Miramax,"$77,730,500","$9,496,870","2,340"
36,Barbershop,MGM,"$75,781,642","$20,627,433","2,176"
37,The Rookie,Walt Disney,"$75,600,072","$16,021,684","2,543"
38,Spirit: Stallion of the Cimarron,Dreamwork…,"$73,215,310","$17,770,036","3,362"
39,John Q.,New Line,"$71,026,631","$20,275,194","2,505"
40,The Divine Secrets of the Ya-Ya Sisterhood,Warner Bros.,"$69,586,544","$16,167,412","2,507"
41,Insomnia,Warner Bros.,"$67,263,182","$20,930,169","2,610"
42,Changing Lanes,Paramount…,"$66,790,248","$17,128,062","2,642"
43,About Schmidt,New Line,"$65,005,217","$282,367","1,240"
44,Stuart Little 2,Sony Pict…,"$64,956,806","$15,115,152","3,282"
45,Jackass: The Movie,Paramount…,"$64,282,312","$22,763,437","2,532"
46,The Time Machine,Dreamwork…,"$56,684,819","$22,610,437","2,958"
47,Drumline,20th Cent…,"$56,398,162","$12,604,705","1,837"
48,The Count of Monte Cristo,Walt Disney,"$54,228,104","$11,376,150","2,211"
49,Unfaithful,20th Cent…,"$52,752,475","$14,065,277","2,625"
50,Like Mike,20th Cent…,"$51,432,423","$12,179,420","2,436"
51,The Tuxedo,Dreamwork…,"$50,586,000","$15,051,028","3,022"
52,Peter Pan: Return to Neverland,Walt Disney,"$48,430,258","$11,889,631","2,626"
53,Big Fat Liar,Universal,"$47,811,275","$11,554,015","2,534"
54,Star Trek: Nemesis,Paramount…,"$43,254,409","$18,513,305","2,711"
55,Reign of Fire,Walt Disney,"$43,061,982","$15,632,281","2,629"
56,The Hours,Paramount…,"$41,675,994","$338,622","1,010"
57,High Crimes,20th Cent…,"$41,543,207","$14,005,550","2,747"
58,A Walk to Remember,Warner Bros.,"$41,227,069","$12,177,488","2,420"
59,Orange County,Paramount…,"$41,059,716","$15,053,226","2,317"
60,Windtalkers,MGM,"$40,914,068","$14,520,412","2,898"
61,About a Boy,Universal,"$40,803,000","$8,557,630","1,756"
62,The Master of Disguise,Sony Pict…,"$40,363,530","$12,554,650","2,568"
63,Resident Evil,Sony Pict…,"$40,119,709","$17,707,106","2,528"
64,Blue Crush,Universal,"$40,118,420","$14,169,455","3,015"
65,The Wild Thornberrys Movie,Paramount…,"$40,108,697","$6,013,847","3,012"
66,Collateral Damage,Warner Bros.,"$40,048,332","$15,058,432","2,824"
67,Enough,Sony Pict…,"$39,177,215","$14,009,653","2,623"
68,Undercover Brother,Universal,"$38,230,435","$12,037,685","2,169"
69,Treasure Planet,Walt Disney,"$38,120,554","$12,083,248","3,227"
70,Showtime,Warner Bros.,"$37,948,765","$15,011,430","2,917"
71,40 Days and 40 Nights,Miramax,"$37,939,782","$12,229,529","2,399"
72,Crossroads,Paramount…,"$37,188,667","$14,527,187","2,381"
73,Clockstoppers,Paramount…,"$36,985,501","$10,108,333","2,563"
74,The Mothman Prophecies,Sony Pict…,"$35,228,696","$11,208,851","2,331"
75,K-19: The Widowmaker,Paramount…,"$35,168,966","$12,778,459","2,830"
76,The Hot Chick,Walt Disney,"$35,081,550","$7,401,146","2,246"
77,I Spy,Sony Pict…,"$33,561,137","$12,752,803","3,182"
78,Friday After Next,New Line,"$33,253,609","$13,010,767","1,621"
79,The Pianist,Focus Fea…,"$32,519,322","$111,261",842
80,Analyze That,Warner Bros.,"$32,122,249","$11,034,422","2,635"
81,Murder by Numbers,Warner Bros.,"$31,874,869","$9,307,394","2,663"
82,One Hour Photo,Fox Searc…,"$31,597,131","$321,515","1,332"
83,Queen of the Damned,Warner Bros.,"$30,307,804","$14,757,535","2,511"
84,The Banger Sisters,20th Cent…,"$30,306,281","$10,037,846","2,738"
85,Halloween: Resurrection,Miramax/D…,"$30,259,652","$12,292,121","2,094"
86,Bad Company,Walt Disney,"$30,157,016","$11,007,367","2,944"
87,Ghost Ship,Warner Bros.,"$30,113,491","$11,503,423","2,787"
88,Dragonfly,Universal,"$30,063,805","$10,216,025","2,507"
89,The New Guy,Sony Pict…,"$28,972,187","$9,007,833","2,687"
90,Swimfan,20th Cent…,"$28,564,995","$11,326,601","2,860"
91,The Crocodile Hunter: Collision Course,MGM,"$28,436,931","$9,537,123","2,525"
92,Brown Sugar,20th Cent…,"$27,362,712","$10,738,882","1,378"
93,Blood Work,Warner Bros.,"$26,199,517","$7,312,413","2,525"
94,Frida,Miramax,"$25,885,000","$205,996",794
95,Jonah: A VeggieTales Movie,Artisan,"$25,571,351","$6,201,345","1,625"
96,All About the Benjamins,New Line,"$25,482,931","$10,007,291","1,519"
97,The Transporter,20th Cent…,"$25,296,447","$9,107,816","2,610"
98,The Sweetest Thing,Sony Pict…,"$24,430,272","$9,430,667","2,670"
99,Eight Crazy Nights,Sony Pict…,"$23,607,202","$9,434,175","2,503"
100,Adaptation,Sony Pict…,"$22,498,520","$384,478",672
101,City by the Sea,Warner Bros.,"$22,433,915","$8,935,426","2,575"
102,Bowling for Columbine,MGM,"$21,576,018","$209,148",248
103,National Lampoon’s Van Wilder,Artisan,"$21,305,259","$7,302,913","2,104"
104,Antwone Fisher,Fox Searc…,"$21,078,145","$210,013","1,021"
105,Martin Lawrence Live: RunTelDat,Paramount…,"$19,184,820","$7,374,049",774
106,Tuck Everlasting,Walt Disney,"$19,161,999","$5,268,764","1,460"
107,Hart's War,MGM,"$19,076,815","$7,771,753","2,459"
108,Rollerball,MGM,"$18,990,542","$9,013,548","2,762"
