Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,725","$423,315,812",39.70%,"$642,863,913",60.30%
2,The Da Vinci Code,"$760,006,945","$217,536,138",28.60%,"$542,470,807",71.40%
3,Ice Age: The Meltdown,"$660,998,756","$195,330,621",29.60%,"$465,668,135",70.40%
4,Casino Royale,"$605,999,592","$167,445,960",27.60%,"$438,553,632",72.40%
5,Night at the Museum,"$574,480,841","$250,863,268",43.70%,"$323,617,573",56.30%
6,Cars,"$461,983,149","$244,082,982",52.80%,"$217,900,167",47.20%
7,X-Men: The Last Stand,"$460,435,291","$234,362,462",50.90%,"$226,072,829",49.10%
8,Mission: Impossible III,"$398,479,497","$134,029,801",33.60%,"$264,449,696",66.40%
9,Superman Returns,"$391,081,192","$200,081,192",51.20%,"$191,000,000",48.80%
10,Happy Feet,"$384,335,608","$198,000,317",51.50%,"$186,335,291",48.50%
11,Over the Hedge,"$339,795,890","$155,019,340",45.60%,"$184,776,550",54.40%
12,The Devil Wears Prada,"$326,705,902","$124,740,460",38.20%,"$201,965,442",61.80%
13,The Pursuit of Happyness,"$307,127,625","$163,566,459",53.30%,"$143,561,166",46.70%
14,The Departed,"$291,465,034","$132,384,315",45.40%,"$159,080,719",54.60%
15,Borat,"$262,552,893","$128,505,958",48.90%,"$134,046,935",51.10%
16,Eragon,"$250,425,512","$75,030,163",30%,"$175,395,349",70%
17,Click,"$240,685,326","$137,355,633",57.10%,"$103,329,693",42.90%
18,The Holiday,"$205,841,885","$63,224,849",30.70%,"$142,617,036",69.30%
19,The Break-Up,"$205,668,210","$118,703,275",57.70%,"$86,964,935",42.30%
20,Open Season,"$200,811,689","$85,105,259",42.40%,"$115,706,430",57.60%
21,Inside Man,"$186,003,591","$88,513,495",47.60%,"$97,490,096",52.40%
22,Poseidon,"$181,674,817","$60,674,817",33.40%,"$121,000,000",66.60%
23,Deja Vu,"$180,557,550","$64,038,616",35.50%,"$116,518,934",64.50%
24,Flushed Away,"$178,281,554","$64,665,672",36.30%,"$113,615,882",63.70%
25,Scary Movie 4,"$178,262,620","$90,710,620",50.90%,"$87,552,000",49.10%
26,Blood Diamond,"$171,720,398","$57,377,916",33.40%,"$114,342,482",66.60%
27,Saw III,"$164,874,275","$80,238,724",48.70%,"$84,635,551",51.30%
28,The Pink Panther,"$164,115,897","$82,226,474",50.10%,"$81,889,423",49.90%
29,Miami Vice,"$163,794,509","$63,450,470",38.70%,"$100,344,039",61.30%
30,Talladega Nights: The Ballad of Ricky Bobby,"$163,362,095","$148,213,377",90.70%,"$15,148,718",9.30%
31,World Trade Center,"$163,247,198","$70,278,893",43.10%,"$92,968,305",56.90%
32,The Fast and the Furious: Tokyo Drift,"$158,964,610","$62,514,415",39.30%,"$96,450,195",60.70%
33,Rocky Balboa,"$155,929,020","$70,270,943",45.10%,"$85,658,077",54.90%
34,Dreamgirls,"$155,430,335","$103,365,956",66.50%,"$52,064,379",33.50%
35,Charlotte's Web,"$148,963,822","$82,985,708",55.70%,"$65,978,114",44.30%
36,Garfield: A Tail of Two Kitties,"$143,325,970","$28,426,747",19.80%,"$114,899,223",80.20%
37,Monster House,"$141,861,243","$73,661,010",51.90%,"$68,200,233",48.10%
38,Big Momma's House 2,"$141,522,961","$70,165,972",49.60%,"$71,356,989",50.40%
39,Babel,"$135,330,182","$34,302,837",25.30%,"$101,027,345",74.70%
40,Perfume: The Story of a Murderer,"$135,039,924","$2,223,293",1.60%,"$132,816,631",98.40%
41,V for Vendetta,"$132,511,035","$70,511,035",53.20%,"$62,000,000",46.80%
42,"You, Me and Dupree","$130,628,903","$75,628,110",57.90%,"$55,000,793",42.10%
43,Failure to Launch,"$130,224,158","$88,715,192",68.10%,"$41,508,966",31.90%
44,The Queen,"$123,384,128","$56,441,711",45.70%,"$66,942,417",54.30%
45,Apocalypto,"$120,673,227","$50,866,635",42.20%,"$69,806,592",57.80%
46,Eight Below,"$120,455,994","$81,612,565",67.80%,"$38,843,429",32.20%
47,The Omen,"$119,974,972","$54,607,383",45.50%,"$65,367,589",54.50%
48,Final Destination 3,"$118,890,272","$54,098,051",45.50%,"$64,792,221",54.50%
49,Barnyard,"$116,755,080","$72,637,803",62.20%,"$44,117,277",37.80%
50,The Lake House,"$114,830,111","$52,330,111",45.60%,"$62,500,000",54.40%
51,Step Up,"$114,194,847","$65,328,121",57.20%,"$48,866,726",42.80%
52,Underworld: Evolution,"$111,476,513","$62,318,875",55.90%,"$49,157,638",44.10%
53,The Santa Clause 3: The Escape Clause,"$110,768,122","$84,500,122",76.30%,"$26,268,000",23.70%
54,The Prestige,"$109,676,311","$53,089,891",48.40%,"$56,586,420",51.60%
55,Arthur and the Invisibles,"$107,944,236","$15,132,763",14%,"$92,811,473",86%
