Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Avengers: Endgame,"$2,799,439,100","$858,373,000",30.70%,"$1,941,066,100",69.30%
2,The Lion King,"$1,656,943,394","$543,638,043",32.80%,"$1,113,305,351",67.20%
3,Frozen II,"$1,450,026,933","$477,373,578",32.90%,"$972,653,355",67.10%
4,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.50%,"$741,395,911",65.50%
5,Captain Marvel,"$1,128,274,794","$426,829,839",37.80%,"$701,444,955",62.20%
6,Joker,"$1,074,251,311","$335,451,311",31.20%,"$738,800,000",68.80%
7,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248","$515,202,542",48%,"$558,941,706",52%
8,Toy Story 4,"$1,073,394,593","$434,038,008",40.40%,"$639,356,585",59.60%
9,Aladdin,"$1,050,693,953","$355,559,216",33.80%,"$695,134,737",66.20%
10,Jumanji: The Next Level,"$801,693,929","$320,314,960",40%,"$481,378,969",60%
11,Fast & Furious Presents: Hobbs & Shaw,"$760,732,926","$173,956,935",22.90%,"$586,775,991",77.10%
12,Ne Zha,"$726,063,471","$3,695,533",0.50%,"$722,367,938",99.50%
13,The Wandering Earth,"$699,856,699","$5,971,413",0.90%,"$693,885,286",99.10%
14,How to Train Your Dragon: The Hidden World,"$521,799,505","$160,799,505",30.80%,"$361,000,000",69.20%
15,Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",23.20%,"$377,800,484",76.80%
16,It Chapter Two,"$473,093,228","$211,593,228",44.70%,"$261,500,000",55.30%
17,"My People, My Country","$450,064,993","$2,356,683",0.50%,"$447,708,310",99.50%
18,Pokémon: Detective Pikachu,"$433,005,346","$144,105,346",33.30%,"$288,900,000",66.70%
19,The Secret Life of Pets 2,"$431,058,604","$158,874,395",36.90%,"$272,184,209",63.10%
20,The Captain,"$417,282,021","$706,572",0.20%,"$416,575,449",99.80%
21,Alita: Battle Angel,"$404,980,543","$85,838,210",21.20%,"$319,142,333",78.80%
22,Godzilla: King of the Monsters,"$386,600,138","$110,500,138",28.60%,"$276,100,000",71.40%
23,1917,"$384,579,437","$159,227,644",41.40%,"$225,351,793",58.60%
24,Once Upon a Time in Hollywood,"$377,426,903","$142,502,728",37.80%,"$234,924,175",62.20%
25,Shazam!,"$365,971,656","$140,371,656",38.40%,"$225,600,000",61.60%
26,Dumbo,"$353,284,621","$114,766,307",32.50%,"$238,518,314",67.50%
27,John Wick: Chapter 3 - Parabellum,"$327,777,335","$171,015,687",52.20%,"$156,761,648",47.80%
28,Crazy Alien,"$327,598,891",-,-,"$327,598,891",100%
29,Knives Out,"$312,897,920","$165,363,234",52.80%,"$147,534,686",47.20%
30,Terminator: Dark Fate,"$261,119,292","$62,253,077",23.80%,"$198,866,215",76.20%
31,Parasite,"$258,710,043","$53,369,749",20.60%,"$205,340,294",79.40%
32,Us,"$256,022,707","$175,084,580",68.40%,"$80,938,127",31.60%
33,Pegasus,"$255,863,112",-,-,"$255,863,112",100%
34,Men in Black: International,"$253,890,701","$80,001,807",31.50%,"$173,888,894",68.50%
35,X-Men: Dark Phoenix,"$252,442,974","$65,845,974",26.10%,"$186,597,000",73.90%
36,Glass,"$246,999,039","$111,048,468",45%,"$135,950,571",55%
37,The Bravest,"$245,179,562","$290,217",0.10%,"$244,889,345",99.90%
38,Annabelle Comes Home,"$231,252,591","$74,152,591",32.10%,"$157,100,000",67.90%
39,Better Days,"$225,918,798","$1,921,657",0.90%,"$223,997,141",99.10%
40,Ford v Ferrari,"$225,508,210","$117,624,357",52.20%,"$107,883,853",47.80%
41,Little Women,"$218,843,645","$108,101,214",49.40%,"$110,742,431",50.60%
