Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Avatar: The Way of Water,"$2,320,250,281","$684,075,767",29.50%,"$1,636,174,514",70.50%
2,Top Gun: Maverick,"$1,495,696,292","$718,732,821",48.10%,"$776,963,471",51.90%
3,Jurassic World Dominion,"$1,001,978,080","$376,851,080",37.60%,"$625,127,000",62.40%
4,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%
5,Minions: The Rise of Gru,"$939,628,210","$369,695,210",39.30%,"$569,933,000",60.70%
6,Black Panther: Wakanda Forever,"$859,208,836","$453,829,060",52.80%,"$405,379,776",47.20%
7,The Batman,"$770,962,583","$369,345,583",47.90%,"$401,617,000",52.10%
8,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.10%,"$417,671,251",54.90%
9,Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%
10,Puss in Boots: The Last Wish,"$480,936,486","$185,535,345",38.60%,"$295,401,141",61.40%
11,Moon Man,"$460,237,662",-,-,"$460,237,662",100%
12,Fantastic Beasts: The Secrets of Dumbledore,"$407,150,844","$95,850,844",23.50%,"$311,300,000",76.50%
13,Uncharted,"$407,141,258","$148,648,820",36.50%,"$258,492,438",63.50%
14,Sonic the Hedgehog 2,"$405,421,518","$190,872,904",47.10%,"$214,548,614",52.90%
15,Black Adam,"$393,252,111","$168,152,111",42.80%,"$225,100,000",57.20%
16,Elvis,"$287,740,048","$151,040,048",52.50%,"$136,700,000",47.50%
17,The Bad Guys,"$250,162,278","$97,233,630",38.90%,"$152,928,648",61.10%
18,Bullet Train,"$239,268,602","$103,368,602",43.20%,"$135,900,000",56.80%
19,Lightyear,"$226,425,420","$118,307,188",52.20%,"$108,118,232",47.80%
20,Smile,"$217,408,513","$105,935,048",48.70%,"$111,473,465",51.30%
21,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.90%
22,Nice View,"$211,019,042",-,-,"$211,019,042",100%
23,DC League of Super-Pets,"$207,557,117","$93,657,117",45.10%,"$113,900,000",54.90%
24,The Lost City,"$192,907,684","$105,344,029",54.60%,"$87,563,655",45.40%
25,One Piece Film: Red,"$187,170,704","$12,775,324",6.80%,"$174,395,380",93.20%
26,M3GAN,"$179,550,350","$95,043,350",52.90%,"$84,507,000",47.10%
27,Suzume,"$175,373,935","$10,760,901",6.10%,"$164,613,034",93.90%
28,Nope,"$171,235,592","$123,277,080",72%,"$47,958,512",28%
29,Ticket to Paradise,"$168,506,033","$68,275,985",40.50%,"$100,230,048",59.50%
30,Morbius,"$167,460,961","$73,865,530",44.10%,"$93,595,431",55.90%
31,RRR,"$165,955,146","$14,500,000",8.70%,"$151,455,146",91.30%
32,The Black Phone,"$161,440,742","$90,123,230",55.80%,"$71,317,512",44.20%
33,The First Slam Dunk,"$147,614,529",-,-,"$147,614,529",100%
34,Where the Crawdads Sing,"$144,353,965","$90,230,760",62.50%,"$54,123,205",37.50%
35,Everything Everywhere All at Once,"$139,327,836","$77,191,785",55.40%,"$62,136,051",44.60%
36,Scream,"$137,743,924","$81,641,405",59.30%,"$56,102,519",40.70%
37,Death on the Nile,"$137,307,235","$45,630,104",33.20%,"$91,677,131",66.80%
