Rank,Movie,Distributor,Domestic,Opening,Max
1,The Avengers,Walt Disney,"$623,357,910","$207,438,708","4,349"
2,The Dark Knight Rises,Warner Bros.,"$448,139,099","$160,887,295","4,404"
3,The Hunger Games,Lionsgate,"$408,010,692","$152,535,747","4,137"
4,Skyfall,Sony Pict…,"$304,360,277","$88,364,714","3,526"
5,The Hobbit: An Unexpected Journey,Warner Bros.,"$303,003,568","$84,617,303","4,100"
6,"The Twilight Saga: Breaking Dawn, Part 2",Lionsgate,"$292,324,737","$141,067,634","4,070"
7,The Amazing Spider-Man,Sony Pict…,"$262,030,663","$62,004,688","4,318"
8,Brave,Walt Disney,"$237,282,182","$66,323,594","4,164"
9,Ted,Universal,"$218,665,740","$54,415,205","3,303"
10,Madagascar 3: Europe's Most Wanted,Paramount…,"$216,391,482","$60,316,738","4,263"
11,Dr. Seuss’ The Lorax,Universal,"$214,030,500","$70,217,070","3,769"
12,Wreck-It Ralph,Walt Disney,"$189,412,677","$49,038,712","3,752"
13,Lincoln,Walt Disney,"$182,207,973","$944,308","2,293"
14,Men in Black 3,Sony Pict…,"$179,020,854","$54,592,779","4,248"
15,Django Unchained,Weinstein…,"$162,805,434","$30,122,888","3,012"
16,Ice Age: Continental Drift,20th Cent…,"$161,321,843","$46,629,259","3,886"
17,Snow White and the Huntsman,Universal,"$155,136,755","$56,217,700","3,777"
18,Les Misérables,Universal,"$148,809,770","$27,281,735","2,927"
19,Hotel Transylvania,Sony Pict…,"$148,313,048","$42,522,194","3,384"
20,Taken 2,20th Cent…,"$139,854,287","$49,514,769","3,706"
21,21 Jump Street,Sony Pict…,"$138,447,667","$36,302,612","3,148"
22,Argo,Warner Bros.,"$136,025,503","$19,458,109","3,247"
23,Silver Linings Playbook,Weinstein…,"$132,092,958","$443,003","2,809"
24,Prometheus,20th Cent…,"$126,477,084","$51,050,101","3,442"
25,Safe House,Universal,"$126,181,630","$40,172,720","3,121"
26,The Vow,Sony Pict…,"$125,014,030","$41,202,458","3,038"
