Rank,Movie,Distributor,Domestic,Opening,Max
1,Avatar,20th Cent…,"$785,221,649","$77,025,481","3,461"
2,Transformers: Revenge of the Fallen,Paramount…,"$402,111,870","$108,966,307","4,293"
3,Harry Potter and the Half-Blood Prince,Warner Bros.,"$302,089,278","$77,835,727","4,455"
4,The Twilight Saga: New Moon,Summit En…,"$296,623,634","$142,839,137","4,124"
5,Up,Walt Disney,"$293,004,164","$68,108,790","3,886"
6,The Hangover,Warner Bros.,"$277,322,503","$44,979,319","3,545"
7,Star Trek,Paramount…,"$257,730,019","$79,204,289","4,053"
8,The Blind Side,Warner Bros.,"$255,959,475","$34,119,372","3,407"
9,Alvin and the Chipmunks: The Squeakquel,20th Cent…,"$219,614,612","$48,875,415","3,747"
10,Sherlock Holmes,Warner Bros.,"$209,028,679","$62,304,277","3,626"
11,Monsters vs. Aliens,Paramount…,"$198,351,526","$59,321,095","4,136"
12,Ice Age: Dawn of the Dinosaurs,20th Cent…,"$196,573,705","$41,690,382","4,102"
13,X-Men Origins: Wolverine,20th Cent…,"$179,883,157","$85,058,003","4,102"
14,Night at the Museum: Battle of the Smithsonian,20th Cent…,"$177,243,721","$54,173,286","4,101"
15,2012,Sony Pict…,"$166,112,167","$65,237,614","3,444"
16,The Proposal,Walt Disney,"$163,958,031","$33,627,598","3,158"
17,Fast & Furious,Universal,"$155,064,265","$70,950,500","3,674"
18,G.I. Joe: The Rise of Cobra,Paramount…,"$150,201,498","$54,713,046","4,007"
19,Paul Blart: Mall Cop,Sony Pict…,"$146,336,178","$31,832,636","3,206"
20,Taken,20th Cent…,"$145,000,989","$24,717,037","3,184"
21,Disney’s A Christmas Carol,Walt Disney,"$137,855,863","$30,051,075","3,683"
22,Angels & Demons,Sony Pict…,"$133,375,846","$46,204,168","3,527"
23,Terminator Salvation,Warner Bros.,"$125,322,469","$42,558,390","3,602"
24,Cloudy with a Chance of Meatballs,Sony Pict…,"$124,870,275","$30,304,648","3,119"
25,Inglourious Basterds,Weinstein…,"$120,774,594","$38,054,676","3,358"
26,G-Force,Walt Disney,"$119,436,770","$31,706,934","3,697"
27,District 9,Sony Pict…,"$115,646,235","$37,354,308","3,180"
28,It’s Complicated,Universal,"$112,735,375","$22,100,820","2,955"
29,Couples Retreat,Universal,"$109,205,660","$34,286,740","3,074"
30,Paranormal Activity,Paramount…,"$107,918,810","$77,873","2,712"
31,Watchmen,Warner Bros.,"$107,509,799","$55,214,334","3,611"
32,The Princess and the Frog,Walt Disney,"$104,400,899","$786,190","3,475"
33,Public Enemies,Universal,"$97,104,620","$25,271,675","3,336"
34,Julie & Julia,Sony Pict…,"$94,125,426","$20,027,956","2,528"
35,He's Just Not That Into You,Warner Bros.,"$93,953,653","$27,785,487","3,175"
36,Madea Goes To Jail,Lionsgate,"$90,508,336","$41,030,947","2,203"
37,The Ugly Truth,Sony Pict…,"$88,915,214","$27,605,576","2,975"
38,Up in the Air,Paramount…,"$83,823,381","$1,181,450","2,218"
39,Knowing,Summit En…,"$79,957,634","$24,604,751","3,337"
40,Hannah Montana: The Movie,Walt Disney,"$79,576,189","$32,324,487","3,231"
41,Where the Wild Things Are,Warner Bros.,"$77,233,467","$32,695,407","3,735"
42,Zombieland,Sony Pict…,"$75,590,286","$24,733,155","3,171"
43,Coraline,Focus Fea…,"$75,286,229","$16,849,640","2,320"
44,Law Abiding Citizen,Overture …,"$73,357,727","$21,039,502","2,890"
45,Hotel for Dogs,Paramount…,"$73,178,547","$17,012,212","3,271"
46,Michael Jackson's This Is It,Sony Pict…,"$72,091,016","$23,234,394","3,481"
47,"I Love You, Man",Paramount…,"$72,013,010","$17,810,270","2,829"
48,Obsessed,Sony Pict…,"$68,261,644","$28,612,730","2,634"
49,Race to Witch Mountain,Walt Disney,"$67,172,595","$24,402,214","3,268"
50,The Final Destination,Warner Bros.,"$66,477,700","$27,408,309","3,121"
51,The Taking of Pelham 123,Sony Pict…,"$65,452,312","$23,373,102","3,077"
52,Friday the 13th,Warner Bros.,"$65,002,019","$40,570,365","3,105"
53,17 Again,Warner Bros.,"$64,167,069","$23,722,310","3,255"
54,The Time Traveler’s Wife,Warner Bros.,"$63,414,846","$18,623,171","2,988"
55,Brüno,Universal,"$60,054,530","$30,619,130","2,759"
56,Bride Wars,20th Cent…,"$58,715,510","$21,058,173","3,228"
57,The Haunting in Connecticut,Lionsgate,"$55,389,516","$23,004,765","2,732"
58,Ghosts of Girlfriends Past,Warner Bros.,"$55,250,026","$15,411,434","3,175"
59,Funny People,Universal,"$51,855,045","$22,657,780","3,008"
60,I Can Do Bad All By Myself,Lionsgate,"$51,733,921","$23,446,785","2,255"
61,My Bloody Valentine,Lionsgate,"$51,545,952","$21,241,456","2,534"
62,Old Dogs,Walt Disney,"$49,492,060","$16,894,511","3,425"
63,Land of the Lost,Universal,"$49,438,370","$18,837,350","3,534"
64,My Sister’s Keeper,Warner Bros.,"$49,200,230","$12,442,212","2,606"
65,Precious (Based on the Novel Push by Sapphire),Lionsgate,"$47,566,524","$1,872,458","1,003"
66,Underworld 3: Rise of the Lycans,Sony Pict…,"$45,802,315","$20,828,511","2,942"
67,Confessions of a Shopaholic,Walt Disney,"$44,277,350","$15,066,360","2,534"
68,The Lovely Bones,Paramount…,"$44,114,232","$116,616","2,638"
69,Year One,Sony Pict…,"$43,337,279","$19,610,304","3,024"
70,The Unborn,Universal,"$42,670,410","$19,810,585","2,359"
71,Planet 51,Sony Pict…,"$42,194,060","$12,286,129","3,035"
72,Drag Me To Hell,Universal,"$42,100,625","$15,825,480","2,510"
73,Orphan,Warner Bros.,"$41,596,251","$12,871,483","2,750"
74,Duplicity,Universal,"$40,572,825","$13,965,110","2,579"
75,Crazy Heart,Fox Searc…,"$39,471,742","$82,664","1,361"
76,Surrogates,Walt Disney,"$38,577,772","$14,902,692","2,992"
77,Ninja Assassin,Warner Bros.,"$38,122,883","$13,316,158","2,503"
78,Invictus,Warner Bros.,"$37,491,364","$8,611,147","2,170"
79,State of Play,Universal,"$37,017,955","$14,071,280","2,807"
80,Under the Sea 3D,Warner Bros.,"$36,883,601","$661,185",108
81,Notorious,Fox Searc…,"$36,843,682","$20,497,596","1,641"
82,The Pink Panther 2,Sony Pict…,"$35,922,978","$11,588,150","3,245"
83,All About Steve,20th Cent…,"$33,862,903","$11,241,214","2,265"
