Rank,Movie,Distributor,Domestic,Opening,Max
1,Star Wars Ep. VII: The Force Awakens,Walt Disney,"$936,662,225","$247,966,675","4,134"
2,Jurassic World,Universal,"$652,306,625","$208,806,270","4,291"
3,Avengers: Age of Ultron,Walt Disney,"$459,005,868","$191,271,109","4,276"
4,Inside Out,Walt Disney,"$356,461,711","$90,440,272","4,158"
5,Furious 7,Universal,"$353,007,020","$147,187,040","4,022"
6,Minions,Universal,"$336,045,770","$115,718,405","4,311"
7,The Hunger Games: Mockingjay - Part 2,Lionsgate,"$281,723,902","$102,665,981","4,175"
8,The Martian,20th Cent…,"$228,433,663","$54,308,575","3,854"
9,Cinderella,Walt Disney,"$201,151,353","$67,877,361","3,848"
10,Spectre,Sony Pict…,"$200,074,175","$70,403,148","3,929"
11,Mission: Impossible—Rogue Nation,Paramount…,"$195,042,377","$55,520,089","3,988"
12,Pitch Perfect 2,Universal,"$184,296,230","$69,216,890","3,660"
13,The Revenant,20th Cent…,"$183,637,894","$474,560","3,711"
14,Ant-Man,Walt Disney,"$180,202,163","$57,225,526","3,868"
15,Home,20th Cent…,"$177,397,510","$52,107,731","3,801"
16,Hotel Transylvania 2,Sony Pict…,"$169,700,110","$48,464,322","3,768"
17,Fifty Shades of Grey,Universal,"$166,167,230","$85,171,450","3,655"
18,The SpongeBob Movie: Sponge Out of Water,Paramount…,"$162,994,032","$55,365,012","3,680"
19,Straight Outta Compton,Universal,"$161,197,785","$60,200,180","3,142"
20,San Andreas,Warner Bros.,"$155,190,832","$54,588,173","3,812"
21,Mad Max: Fury Road,Warner Bros.,"$153,636,354","$45,428,128","3,722"
22,Daddy’s Home,Paramount…,"$150,357,137","$38,740,203","3,483"
23,The Divergent Series: Insurgent,Lionsgate,"$130,179,072","$52,263,680","3,875"
24,The Peanuts Movie,20th Cent…,"$130,178,411","$44,213,073","3,902"
25,Kingsman: The Secret Service,20th Cent…,"$128,261,724","$36,206,331","3,282"
26,The Good Dinosaur,Walt Disney,"$123,087,120","$39,155,217","3,749"
