Rank,Movie,Distributor,Domestic,Opening,Max
1,Harry Potter and the Deathly Hallows: Part II,Warner Bros.,"$381,193,157","$169,189,427","4,375"
2,Transformers: Dark of the Moon,Paramount…,"$352,390,543","$97,852,865","4,107"
3,"The Twilight Saga: Breaking Dawn, Part 1",Summit En…,"$281,287,133","$138,122,261","4,066"
4,The Hangover Part II,Warner Bros.,"$254,464,305","$85,946,294","3,675"
5,Pirates of the Caribbean: On Stranger Tides,Walt Disney,"$241,071,802","$90,151,958","4,164"
6,Fast Five,Universal,"$210,031,325","$86,198,765","3,793"
7,Mission: Impossible—Ghost Protocol,Paramount…,"$209,397,903","$12,785,204","3,555"
8,Cars 2,Walt Disney,"$191,450,875","$66,135,507","4,115"
9,Sherlock Holmes: A Game of Shadows,Warner Bros.,"$186,848,418","$39,637,079","3,703"
10,Thor,Paramount…,"$181,030,624","$65,723,338","3,963"
11,Rise of the Planet of the Apes,20th Cent…,"$176,760,185","$54,806,191","3,691"
12,Captain America: The First Avenger,Paramount…,"$176,654,505","$65,058,524","3,715"
13,The Help,Walt Disney,"$169,705,587","$26,044,590","3,014"
14,Bridesmaids,Universal,"$169,211,718","$26,247,410","2,958"
15,Kung Fu Panda 2,Paramount…,"$165,249,063","$47,656,302","3,952"
16,Puss in Boots,Paramount…,"$149,260,504","$34,077,439","3,963"
17,X-Men: First Class,20th Cent…,"$146,408,305","$55,101,604","3,692"
18,Rio,20th Cent…,"$143,619,809","$39,225,962","3,842"
19,The Smurfs,Sony Pict…,"$142,614,158","$35,611,637","3,427"
20,Alvin and the Chipmunks: Chipwrecked,20th Cent…,"$133,107,389","$23,244,744","3,734"
21,Super 8,Paramount…,"$127,004,179","$35,451,168","3,424"
22,Rango,Paramount…,"$123,477,607","$38,079,323","3,923"
23,Horrible Bosses,Warner Bros.,"$117,538,559","$28,302,165","3,134"
24,Green Lantern,Warner Bros.,"$116,601,172","$53,174,303","3,816"
25,Hop,Universal,"$108,085,305","$37,543,710","3,616"
26,Paranormal Activity 3,Paramount…,"$104,028,807","$52,568,183","3,329"
27,Just Go With It,Sony Pict…,"$103,028,109","$30,514,732","3,548"
28,The Girl with the Dragon Tattoo,Sony Pict…,"$102,515,793","$12,768,604","2,950"
29,Cowboys and Aliens,Universal,"$100,368,560","$36,431,290","3,754"
30,Bad Teacher,Sony Pict…,"$100,292,856","$31,603,106","3,049"
31,Gnomeo and Juliet,Walt Disney,"$99,967,670","$25,356,909","3,037"
32,The Green Hornet,Sony Pict…,"$98,780,042","$33,526,876","3,584"
33,The Muppets,Walt Disney,"$88,625,922","$29,239,026","3,440"
34,Real Steel,Walt Disney,"$85,463,309","$27,319,677","3,440"
35,"Crazy, Stupid, Love",Warner Bros.,"$84,351,197","$19,104,303","3,020"
36,Battle: Los Angeles,Sony Pict…,"$83,552,429","$35,573,187","3,417"
37,Immortals,Relativity,"$83,504,017","$32,206,425","3,120"
38,The Descendants,Fox Searc…,"$82,624,961","$1,190,096","2,038"
39,Zookeeper,Sony Pict…,"$80,360,866","$20,065,617","3,482"
40,War Horse,Walt Disney,"$79,883,359","$7,515,402","2,856"
41,Limitless,Relativity,"$79,249,455","$18,907,302","2,838"
42,Tower Heist,Universal,"$78,046,570","$24,025,190","3,370"
43,The Adventures of Tintin,Paramount…,"$77,591,831","$9,720,993","3,087"
44,Contagion,Warner Bros.,"$75,658,097","$22,403,596","3,222"
45,We Bought a Zoo,20th Cent…,"$75,624,550","$9,360,434","3,170"
46,Moneyball,Sony Pict…,"$75,605,492","$19,501,302","3,018"
47,Jack and Jill,Sony Pict…,"$74,158,157","$25,003,575","3,438"
48,Hugo,Paramount…,"$73,864,507","$11,364,505","2,608"
49,Justin Bieber: Never Say Never,Paramount…,"$73,013,910","$29,514,054","3,118"
50,Dolphin Tale,Warner Bros.,"$72,286,779","$19,152,401","3,515"
51,No Strings Attached,Paramount…,"$70,662,220","$19,652,921","3,050"
52,Mr. Poppers's Penguins,20th Cent…,"$68,224,452","$18,445,355","3,342"
53,Happy Feet Two,Warner Bros.,"$64,006,466","$21,237,068","3,611"
54,Unknown,Warner Bros.,"$63,686,397","$21,856,389","3,043"
55,The Adjustment Bureau,Universal,"$62,495,645","$21,157,730","2,847"
56,Water for Elephants,20th Cent…,"$58,709,717","$16,842,353","2,820"
57,The Lincoln Lawyer,Lionsgate,"$58,009,200","$13,206,453","2,707"
58,Midnight in Paris,Sony Pict…,"$56,816,662","$599,003","1,038"
59,Friends with Benefits,Sony Pict…,"$55,802,754","$18,622,150","2,926"
60,I am Number Four,Walt Disney,"$55,100,437","$19,449,893","3,156"
61,Source Code,Summit En…,"$54,712,227","$14,812,094","2,971"
62,New Year’s Eve,Warner Bros.,"$54,544,638","$13,019,180","3,505"
63,Insidious,FilmDistrict,"$54,009,150","$13,271,464","2,419"
64,Madea’s Big Happy Family,Lionsgate,"$53,345,287","$25,068,677","2,288"
65,Diary of a Wimpy Kid: Rodrick Rules,20th Cent…,"$52,698,535","$23,751,502","3,169"
66,Footloose,Paramount…,"$51,802,742","$15,556,113","3,555"
67,The Dilemma,Universal,"$48,475,290","$17,816,230","2,943"
68,Arthur Christmas,Sony Pict…,"$46,462,469","$12,068,931","3,376"
69,Hall Pass,Warner Bros.,"$45,060,734","$13,535,374","2,950"
70,The Artist,Weinstein…,"$44,667,095","$204,878","1,756"
71,Soul Surfer,Sony Pict…,"$43,853,424","$10,601,862","2,240"
72,Final Destination 5,Warner Bros.,"$42,587,643","$18,031,396","3,155"
73,The Ides of March,Sony Pict…,"$40,962,534","$10,470,143","2,199"
74,Hanna,Focus Fea…,"$40,259,119","$12,370,549","2,545"
75,Something Borrowed,Warner Bros.,"$39,046,489","$13,945,368","2,904"
76,Spy Kids: All the Time in the World,Weinstein…,"$38,536,376","$11,644,672","3,305"
77,Scream 4,Weinstein…,"$38,180,928","$18,692,090","3,314"
78,"Big Mommas: Like Father, Like Son",20th Cent…,"$37,915,414","$16,300,803","2,821"
79,Red Riding Hood,Warner Bros.,"$37,662,162","$14,005,335","3,030"
80,In Time,20th Cent…,"$37,553,932","$12,050,368","3,127"
81,Paul,Universal,"$37,412,945","$13,043,310","2,806"
82,J. Edgar,Warner Bros.,"$37,306,030","$11,217,324","1,985"
83,The Roommate,Sony Pict…,"$37,300,107","$15,002,635","2,534"
84,Jumping the Broom,Sony Pict…,"$37,295,394","$15,215,487","2,035"
85,The Change-Up,Universal,"$37,243,418","$13,531,115","2,913"
86,30 Minutes or Less,Sony Pict…,"$37,053,924","$13,330,118","2,888"
87,Born to be Wild 3D,Warner Bros.,"$36,669,628","$871,478",208
88,Colombiana,Sony Pict…,"$36,665,854","$10,408,176","2,614"
89,Sucker Punch,Warner Bros.,"$36,392,502","$19,058,199","3,033"
90,Larry Crowne,Universal,"$35,608,245","$13,096,065","2,976"
91,A Very Harold & Kumar 3D Christmas,Warner Bros.,"$35,061,031","$12,954,142","2,875"
92,Drive,FilmDistrict,"$35,060,689","$11,340,461","2,904"
93,Courageous,Sony Pict…,"$35,017,223","$9,112,839","1,214"
94,50/50,Summit En…,"$35,016,118","$8,644,095","2,479"
95,The Rite,Warner Bros.,"$33,047,633","$14,789,393","2,985"
96,Arthur,Warner Bros.,"$33,035,397","$12,222,756","3,276"
97,Extremely Loud and Incredibly Close,Warner Bros.,"$31,847,881","$72,348","2,630"
98,The Debt,Focus Fea…,"$31,177,548","$9,909,499","1,876"
99,The Sitter,20th Cent…,"$30,542,576","$9,851,435","2,752"
100,Priest,Sony Pict…,"$29,136,626","$14,953,664","2,864"
101,The Mechanic,CBS Films,"$29,121,498","$11,422,006","2,704"
102,Abduction,Lionsgate,"$28,087,155","$10,925,253","3,118"
103,Beastly,CBS Films,"$27,865,571","$9,851,102","1,959"
104,Winnie the Pooh,Walt Disney,"$26,692,846","$7,857,076","2,405"
105,Killer Elite,Open Road,"$25,124,986","$9,352,008","2,986"
106,Season of the Witch,Relativity,"$24,827,228","$10,612,375","2,827"
107,Our Idiot Brother,Weinstein…,"$24,814,830","$7,011,631","2,555"
108,Tinker Tailor Soldier Spy,Focus Fea…,"$24,149,393","$310,562",886
109,Don't Be Afraid of the Dark,FilmDistrict,"$24,046,682","$8,525,728","2,780"
110,Sanctum,Universal,"$23,209,310","$9,447,930","2,789"
111,Monte Carlo,20th Cent…,"$23,186,769","$7,453,944","2,473"
112,Your Highness,Universal,"$21,596,445","$9,360,020","2,772"
113,The Darkest Hour,Summit En…,"$21,443,494","$2,993,519","2,327"
114,Mars Needs Moms,Walt Disney,"$21,392,758","$6,914,488","3,117"
115,Dream House,Universal,"$21,302,340","$8,129,355","2,664"
116,Conan the Barbarian,Lionsgate,"$21,295,021","$10,021,215","3,015"
117,The Three Musketeers,Summit En…,"$20,377,913","$8,674,452","3,017"
118,The Eagle,Focus Fea…,"$19,490,041","$8,684,464","2,296"
119,Shark Night 3D,Relativity,"$18,877,153","$8,404,260","2,848"
120,Fright Night,Walt Disney,"$18,298,649","$8,114,388","3,114"
121,Apollo 18,Weinstein…,"$17,686,929","$8,704,271","3,330"
122,The Thing,Universal,"$16,999,934","$8,493,665","2,997"
123,Young Adult,Paramount…,"$16,311,571","$310,263",987
124,African Cats,Walt Disney,"$15,428,747","$6,003,200","1,224"
125,Judy Moody and the Not Bummer Summer,Relativity,"$15,013,650","$6,076,859","2,524"
126,My Week with Marilyn,Weinstein…,"$14,597,405","$1,750,507",630
127,What's Your Number?,20th Cent…,"$14,011,084","$5,421,669","3,011"
128,One Day,Focus Fea…,"$13,843,771","$5,079,566","1,725"
129,Warrior,Lionsgate,"$13,657,115","$5,242,107","1,883"
130,The Tree of Life,Fox Searc…,"$13,305,665","$372,920",237
131,The Rum Diary,FilmDistrict,"$13,109,815","$5,135,369","2,292"
132,Glee: The 3D Concert Movie,20th Cent…,"$11,862,398","$5,961,231","2,040"
133,The Conspirator,Roadside …,"$11,538,204","$3,506,602",849
134,Jane Eyre,Focus Fea…,"$11,242,660","$182,885",319
135,Drive Angry,Summit En…,"$10,721,033","$5,187,625","2,290"
136,Straw Dogs,Sony Pict…,"$10,324,441","$5,123,760","2,408"
137,Win Win,Fox Searc…,"$10,179,275","$150,362",388
138,Hoodwinked Too: Hood vs. Evil,Weinstein…,"$10,143,779","$4,108,630","2,505"
139,Prom,Walt Disney,"$10,130,219","$4,712,638","2,730"
140,I Don't Know How She Does It,Weinstein…,"$9,659,074","$4,402,201","2,490"
141,Johnny English Reborn,Universal,"$8,406,711","$3,833,300","1,554"
142,Kevin Hart: Laugh at My Pain,Codeblack…,"$7,706,436","$1,908,420",287
143,Elle s'appelait Sarah,Weinstein…,"$7,691,700","$115,708",319
144,Barney's Version,Sony Pict…,"$7,502,560","$362,524",322
145,The Big Year,20th Cent…,"$7,204,138","$3,251,884","2,150"
146,Jodaeiye Nader az Simin,Sony Pict…,"$7,098,492","$59,481",282
147,Take Me Home Tonight,Relativity,"$6,928,068","$3,464,679","2,003"
148,Cedar Rapids,Fox Searc…,"$6,861,102","$302,968",462
149,Beginners,Focus Fea…,"$5,790,894","$141,340",170
150,Flying Monsters 3D,National …,"$5,751,141",,18
151,A Dangerous Method,Sony Pict…,"$5,702,083","$167,953",365
152,The Guard,Sony Pict…,"$5,359,774","$76,834",203
153,Margin Call,Roadside …,"$5,353,586","$561,906",199
154,Cave of Forgotten Dreams,IFC Films,"$5,304,920","$139,101",123
155,Biutiful,Roadside …,"$5,101,237","$456,930",191
156,Atlas Shrugged: Part 1,Rocky Mou…,"$4,752,353","$1,686,347",465
157,Anonymous,Sony Pict…,"$4,463,292","$1,021,768",514
158,The Company Men,Weinstein…,"$4,444,612","$647,797",277
159,The Way,Producers…,"$4,430,650","$110,418",283
160,Seven Days In Utopia,Visio Ent…,"$4,367,448","$1,304,500",561
161,Buck,IFC Films,"$4,036,175","$67,548",152
162,Shame,Fox Searc…,"$4,002,293","$349,519",95
163,Des Hommes et Des Dieux,Sony Pict…,"$3,954,651","$308,895",120
164,Starbuck,Entertain…,"$3,790,059",,70
165,Don 2,Reliance …,"$3,674,480","$1,673,921",167
166,Like Crazy,Paramount…,"$3,395,391","$123,140",162
167,Monsieur Lazhar,Films Sev…,"$3,371,810","$246,410",86
168,La piel que habito,Sony Pict…,"$3,185,193","$223,119",116
169,Le sens de l’humour,Alliance …,"$3,179,193","$466,499",89
170,Zindagi Na Milegi Dobara,Eros Ente…,"$3,103,656","$960,548",100
171,From Prada to Nada,Lionsgate,"$3,033,623","$1,115,638",261
172,Melancholia,Magnolia …,"$3,030,848","$257,174",145
173,Albert Nobbs,Roadside …,"$3,014,696",,245
174,Martha Marcy May Marlene,Fox Searc…,"$2,981,038","$137,651",183
175,The Way Back,Newmarket…,"$2,719,296","$1,218,867",678
176,Everything Must Go,Roadside …,"$2,712,131","$791,676",245
177,Carnage,Sony Pict…,"$2,546,747","$79,795",494
