Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Avatar,"$2,743,577,587","$749,766,139",27.30%,"$1,993,811,448",72.70%
2,Harry Potter and the Half-Blood Prince,"$933,959,197","$301,959,197",32.30%,"$632,000,000",67.70%
3,Ice Age: Dawn of the Dinosaurs,"$886,686,817","$196,573,705",22.20%,"$690,113,112",77.80%
4,Transformers: Revenge of the Fallen,"$836,303,693","$402,111,870",48.10%,"$434,191,823",51.90%
5,2012,"$769,679,473","$166,112,167",21.60%,"$603,567,306",78.40%
6,Up,"$735,099,082","$293,004,164",39.90%,"$442,094,918",60.10%
7,The Twilight Saga: New Moon,"$709,827,462","$296,623,634",41.80%,"$413,203,828",58.20%
8,Sherlock Holmes,"$524,028,679","$209,028,679",39.90%,"$315,000,000",60.10%
9,Angels & Demons,"$485,930,816","$133,375,846",27.40%,"$352,554,970",72.60%
10,The Hangover,"$468,812,793","$277,322,503",59.20%,"$191,490,290",40.80%
11,Alvin and the Chipmunks: The Squeakquel,"$443,140,005","$219,614,612",49.60%,"$223,525,393",50.40%
12,Night at the Museum: Battle of the Smithsonian,"$413,106,170","$177,243,721",42.90%,"$235,862,449",57.10%
13,Star Trek,"$385,680,446","$257,730,019",66.80%,"$127,950,427",33.20%
14,Monsters vs. Aliens,"$381,509,870","$198,351,526",52%,"$183,158,344",48%
15,X-Men Origins: Wolverine,"$373,062,864","$179,883,157",48.20%,"$193,179,707",51.80%
16,Terminator Salvation,"$371,353,001","$125,322,469",33.70%,"$246,030,532",66.30%
17,Fast & Furious,"$360,364,265","$155,064,265",43%,"$205,300,000",57%
18,Prince of Persia: The Sands of Time,"$336,365,676","$90,759,676",27%,"$245,606,000",73%
19,A Christmas Carol,"$325,286,646","$137,855,863",42.40%,"$187,430,783",57.60%
20,Inglourious Basterds,"$321,455,689","$120,540,719",37.50%,"$200,914,970",62.50%
21,The Proposal,"$317,375,031","$163,958,031",51.70%,"$153,417,000",48.30%
22,The Blind Side,"$309,208,309","$255,959,475",82.80%,"$53,248,834",17.20%
23,G.I. Joe: The Rise of Cobra,"$302,469,017","$150,201,498",49.70%,"$152,267,519",50.30%
24,G-Force,"$292,817,841","$119,436,770",40.80%,"$173,381,071",59.20%
25,The Princess and the Frog,"$267,045,765","$104,400,899",39.10%,"$162,644,866",60.90%
26,This Is It,"$261,183,588","$72,091,016",27.60%,"$189,092,572",72.40%
27,Cloudy with a Chance of Meatballs,"$243,006,126","$124,870,275",51.40%,"$118,135,851",48.60%
28,It's Complicated,"$219,103,655","$112,735,375",51.50%,"$106,368,280",48.50%
29,Public Enemies,"$214,104,620","$97,104,620",45.40%,"$117,000,000",54.60%
30,District 9,"$210,888,950","$115,646,235",54.80%,"$95,242,715",45.20%
31,The Ugly Truth,"$205,298,907","$88,915,214",43.30%,"$116,383,693",56.70%
32,Paranormal Activity,"$193,355,800","$107,918,810",55.80%,"$85,436,990",44.20%
33,The Final Destination,"$186,167,139","$66,477,700",35.70%,"$119,689,439",64.30%
34,Watchmen,"$185,382,813","$107,509,799",58%,"$77,873,014",42%
35,Paul Blart: Mall Cop,"$183,348,429","$146,336,178",79.80%,"$37,012,251",20.20%
36,He's Just Not That Into You,"$178,866,158","$93,953,653",52.50%,"$84,912,505",47.50%
37,Couples Retreat,"$171,844,840","$109,204,945",63.50%,"$62,639,895",36.50%
38,Up in the Air,"$166,842,739","$83,823,381",50.20%,"$83,019,358",49.80%
39,Hannah Montana: The Movie,"$155,545,279","$79,576,189",51.20%,"$75,969,090",48.80%
40,The Taking of Pelham 123,"$150,166,126","$65,452,312",43.60%,"$84,713,814",56.40%
41,Brüno,"$138,805,831","$60,054,530",43.30%,"$78,751,301",56.70%
42,17 Again,"$136,316,880","$64,167,069",47.10%,"$72,149,811",52.90%
43,Julie & Julia,"$129,540,522","$94,125,426",72.70%,"$35,415,096",27.30%
44,The Fighter,"$129,190,869","$93,617,009",72.50%,"$35,573,860",27.50%
45,Law Abiding Citizen,"$127,944,208","$73,357,727",57.30%,"$54,586,481",42.70%
46,Coraline,"$124,596,837","$75,286,229",60.40%,"$49,310,608",39.60%
47,Surrogates,"$122,444,772","$38,577,772",31.50%,"$83,867,000",68.50%
48,Invictus,"$122,233,971","$37,491,364",30.70%,"$84,742,607",69.30%
49,Red Cliff II,"$120,432,178",-,-,"$120,432,178",100%
50,Hotel for Dogs,"$117,252,578","$73,034,460",62.30%,"$44,218,118",37.70%
51,Bride Wars,"$115,375,850","$58,715,510",50.90%,"$56,660,340",49.10%
52,Confessions of a Shopaholic,"$108,394,089","$44,277,350",40.80%,"$64,116,739",59.20%
53,Race to Witch Mountain,"$106,387,141","$67,172,594",63.10%,"$39,214,547",36.90%
54,Planet 51,"$105,647,102","$42,194,060",39.90%,"$63,453,042",60.10%
55,The Girl with the Dragon Tattoo,"$104,414,200","$10,095,170",9.70%,"$94,319,030",90.30%
56,Zombieland,"$102,392,080","$75,590,286",73.80%,"$26,801,794",26.20%
57,Ghosts of Girlfriends Past,"$102,366,815","$55,250,026",54%,"$47,116,789",46%
58,The Time Traveler's Wife,"$101,344,412","$63,414,846",62.60%,"$37,929,566",37.40%
59,My Bloody Valentine,"$100,734,718","$51,545,952",51.20%,"$49,188,766",48.80%
60,Where the Wild Things Are,"$100,140,096","$77,233,467",77.10%,"$22,906,629",22.90%
61,Old Dogs,"$96,753,696","$49,492,060",51.20%,"$47,261,636",48.80%
62,My Sister's Keeper,"$95,714,875","$49,200,230",51.40%,"$46,514,645",48.60%
63,Green Zone,"$94,882,549","$35,053,660",36.90%,"$59,828,889",63.10%
64,The Lovely Bones,"$93,621,340","$44,114,232",47.10%,"$49,507,108",52.90%
65,Underworld: Rise of the Lycans,"$92,158,961","$45,802,315",49.70%,"$46,356,646",50.30%
66,"I Love You, Man","$91,980,359","$71,440,011",77.70%,"$20,540,348",22.30%
67,Friday the 13th,"$91,509,154","$65,002,019",71%,"$26,507,135",29%
68,Drag Me to Hell,"$90,842,646","$42,100,625",46.30%,"$48,742,021",53.70%
69,Madea Goes to Jail,"$90,508,336","$90,508,336",100%,-,-
70,Rookies the Movie: Graduation,"$88,055,243",-,-,"$88,055,243",100%
71,State of Play,"$87,812,371","$37,017,955",42.20%,"$50,794,416",57.80%
72,Did You Hear About the Morgans?,"$85,280,250","$29,580,087",34.70%,"$55,700,163",65.30%
73,Duplicity,"$78,176,181","$40,572,825",51.90%,"$37,603,356",48.10%
74,Orphan,"$77,912,251","$41,596,251",53.40%,"$36,316,000",46.60%
75,The Haunting in Connecticut,"$77,536,359","$55,389,516",71.40%,"$22,146,843",28.60%
76,Fame,"$77,211,836","$22,455,510",29.10%,"$54,756,326",70.90%
77,The Unborn,"$76,514,050","$42,670,410",55.80%,"$33,843,640",44.20%
78,The Pink Panther 2,"$76,025,134","$35,922,978",47.30%,"$40,102,156",52.70%
79,Obsessed,"$73,830,347","$68,261,644",92.50%,"$5,568,703",7.50%
80,Funny People,"$71,585,235","$51,855,045",72.40%,"$19,730,190",27.60%
81,Tidal Wave,"$71,283,278",-,-,"$71,283,278",100%
82,The Men Who Stare at Goats,"$69,095,771","$32,428,195",46.90%,"$36,667,576",53.10%
83,Land of the Lost,"$68,777,554","$49,438,370",71.90%,"$19,339,184",28.10%
84,Saw VI,"$68,234,154","$27,693,292",40.60%,"$40,540,862",59.40%
85,The Girl Who Played with Fire,"$67,153,225","$7,638,241",11.40%,"$59,514,984",88.60%
86,Precious,"$63,649,529","$47,566,524",74.70%,"$16,083,005",25.30%
87,Little Nicholas,"$62,792,067",-,-,"$62,792,067",100%
88,Year One,"$62,357,900","$43,337,279",69.50%,"$19,020,621",30.50%
89,The Imaginarium of Doctor Parnassus,"$61,808,775","$7,689,607",12.40%,"$54,119,168",87.60%
90,Ninja Assassin,"$61,601,280","$38,122,883",61.90%,"$23,478,397",38.10%
91,500 Days of Summer,"$60,722,734","$32,391,374",53.30%,"$28,331,360",46.70%
92,3 Idiots,"$60,262,836","$6,532,874",10.80%,"$53,729,962",89.20%
93,The International,"$60,253,843","$25,450,527",42.20%,"$34,803,316",57.80%
94,Aliens in the Attic,"$57,881,056","$25,200,412",43.50%,"$32,680,644",56.50%
95,Vicky the Viking,"$56,390,258",-,-,"$56,390,258",100%
96,Under the Sea 3D,"$55,902,624","$36,262,926",64.90%,"$19,639,698",35.10%
97,Dragonball Evolution,"$55,720,772","$9,362,785",16.80%,"$46,357,987",83.20%
98,Nine,"$54,004,950","$19,676,965",36.40%,"$34,327,985",63.60%
99,Arthur and the Revenge of Maltazard,"$52,377,611",-,-,"$52,377,611",100%
100,Take Off,"$52,141,043",-,-,"$52,141,043",100%
101,Pokémon: Arceus and the Jewel of Life,"$52,119,081",-,-,"$52,119,081",100%
102,I Can Do Bad All by Myself,"$51,733,921","$51,733,921",100%,-,-
103,Coco Before Chanel,"$50,812,934","$6,113,834",12%,"$44,699,100",88%
104,One Piece: Strong World,"$49,271,461",-,-,"$49,271,461",100%
105,Push,"$48,858,618","$31,811,527",65.10%,"$17,047,091",34.90%
106,9,"$48,428,063","$31,749,894",65.60%,"$16,678,169",34.40%
107,20th Century Boys 3: Redemption,"$48,397,818",-,-,"$48,397,818",100%
108,The Fourth Kind,"$47,709,193","$25,486,040",53.40%,"$22,223,153",46.60%
109,Crazy Heart,"$47,405,566","$39,464,306",83.20%,"$7,941,260",16.80%
110,Hachi: A Dog's Tale,"$46,748,131",-,-,"$46,748,131",100%
111,Fantastic Mr. Fox,"$46,471,023","$21,002,919",45.20%,"$25,468,104",54.80%
112,Rabbit Without Ears 2,"$46,439,905",-,-,"$46,439,905",100%
113,The Last House on the Left,"$45,289,053","$32,752,215",72.30%,"$12,536,838",27.70%
114,The Spy Next Door,"$45,236,543","$24,307,086",53.70%,"$20,929,457",46.30%
115,Nodame Cantabile: The Movie II,"$44,879,450",-,-,"$44,879,450",100%
116,Notorious,"$44,420,167","$36,843,682",82.90%,"$7,576,485",17.10%
117,The Girl Who Kicked the Hornet's Nest,"$44,276,335","$5,190,196",11.70%,"$39,086,139",88.30%
118,Brothers,"$43,474,578","$28,544,157",65.70%,"$14,930,421",34.30%
119,The Informant!,"$41,771,168","$33,316,821",79.80%,"$8,454,347",20.20%
120,The Uninvited,"$41,633,384","$28,596,818",68.70%,"$13,036,566",31.30%
121,Toy Story 2009 Re-release,"$41,258,298","$30,702,446",74.40%,"$10,555,852",25.60%
122,Evangelion: 2.0 You Can (Not) Advance,"$41,162,041","$133,640",0.30%,"$41,028,401",99.70%
123,The Concert,"$41,146,351","$657,986",1.60%,"$40,488,365",98.40%
124,Gamer,"$40,828,540","$20,534,907",50.30%,"$20,293,633",49.70%
125,All About Steve,"$40,105,542","$33,862,903",84.40%,"$6,242,639",15.60%
126,Astro Boy,"$39,886,986","$19,551,067",49%,"$20,335,919",51%
127,Detective Conan: The Raven Chaser,"$39,664,359",-,-,"$39,664,359",100%
128,Agora,"$39,457,342","$619,423",1.60%,"$38,837,919",98.40%
129,Halloween II,"$39,421,467","$33,392,973",84.70%,"$6,028,494",15.30%
130,Cirque du Freak: The Vampire's Assistant,"$39,291,383","$13,869,515",35.30%,"$25,421,868",64.70%
131,Jeon Woochi,"$38,681,926",-,-,"$38,681,926",100%
132,The Soloist,"$38,332,994","$31,720,158",82.70%,"$6,612,836",17.30%
133,Amalfi: Rewards of the Goddess,"$37,840,539",-,-,"$37,840,539",100%
134,Broken Embraces,"$37,472,507","$5,014,305",13.40%,"$32,458,202",86.60%
135,Brooklyn's Finest,"$36,440,201","$27,163,593",74.50%,"$9,276,608",25.50%
136,The Boat That Rocked,"$36,348,784","$8,017,917",22.10%,"$28,330,867",77.90%
137,Love Happens,"$36,088,028","$22,965,110",63.60%,"$13,122,918",36.40%
138,Whatever Works,"$36,020,534","$5,306,706",14.70%,"$30,713,828",85.30%
139,The Secret in Their Eyes,"$35,079,650","$6,391,436",18.20%,"$28,688,214",81.80%
140,Crank: High Voltage,"$34,572,541","$13,684,249",39.60%,"$20,888,292",60.40%
141,Gokusen: The Movie,"$34,117,482",-,-,"$34,117,482",100%
142,The Box,"$33,333,531","$15,051,977",45.20%,"$18,281,554",54.80%
143,LOL (Laughing Out Loud),"$32,764,784",-,-,"$32,764,784",100%
144,Fighting,"$32,482,728","$23,091,010",71.10%,"$9,391,718",28.90%
145,The Invention of Lying,"$32,406,507","$18,451,251",56.90%,"$13,955,256",43.10%
146,April Bride,"$32,112,343",-,-,"$32,112,343",100%
147,Jennifer's Body,"$31,556,061","$16,204,793",51.40%,"$15,351,268",48.60%
148,Dance Flick,"$31,439,140","$25,662,155",81.60%,"$5,776,985",18.40%
149,A Serious Man,"$31,430,334","$9,228,768",29.40%,"$22,201,566",70.60%
150,The Stepfather,"$31,198,531","$29,062,561",93.20%,"$2,135,970",6.80%
151,Yatterman,"$30,365,792",-,-,"$30,365,792",100%
152,Natale a Beverly Hills,"$29,976,481",-,-,"$29,976,481",100%
153,Crows Zero II,"$29,893,636",-,-,"$29,893,636",100%
154,20th Century Boys 2: The Last Hope,"$29,502,213",-,-,"$29,502,213",100%
155,The Young Victoria,"$29,181,829","$11,001,272",37.70%,"$18,180,557",62.30%
156,New in Town,"$29,010,817","$16,734,283",57.70%,"$12,276,534",42.30%
157,The Unbroken,"$29,000,322",-,-,"$29,000,322",100%
158,Shorts,"$28,972,508","$20,919,166",72.20%,"$8,053,342",27.80%
159,Pope Joan,"$28,748,076",-,-,"$28,748,076",100%
160,Case 39,"$28,190,603","$13,261,851",47%,"$14,928,752",53%
161,Recep Ivedik 2,"$27,699,692",-,-,"$27,699,692",100%
162,The Road,"$27,639,579","$8,117,000",29.40%,"$19,522,579",70.60%
163,Sorority Row,"$27,206,120","$11,965,282",44%,"$15,240,838",56%
164,Observe and Report,"$26,973,554","$24,007,324",89%,"$2,966,230",11%
165,An Education,"$26,096,852","$12,574,914",48.20%,"$13,521,938",51.80%
166,Coco,"$25,593,707",-,-,"$25,593,707",100%
167,Doraemon the Movie: The New Records of Nobita's Spaceblazer,"$25,422,212",-,-,"$25,422,212",100%
168,Mt. Tsurugidake,"$25,134,437",-,-,"$25,134,437",100%
169,A Single Man,"$24,964,890","$9,176,000",36.80%,"$15,788,890",63.20%
170,Kaiji: The Ultimate Gambler,"$24,709,016",-,-,"$24,709,016",100%
171,If I Were You 2,"$24,415,116",-,-,"$24,415,116",100%
172,I Give My First Love to You,"$24,051,386",-,-,"$24,051,386",100%
173,Mao's Last Dancer,"$23,914,731","$4,817,770",20.10%,"$19,096,961",79.90%
174,Dark Planet,"$23,772,559",-,-,"$23,772,559",100%
175,Jonas Brothers: The 3D Concert Experience,"$23,186,960","$19,162,740",82.60%,"$4,024,220",17.40%
176,Imagine That,"$22,985,194","$16,123,323",70.10%,"$6,861,871",29.90%
177,Armored,"$22,942,221","$15,988,876",69.70%,"$6,953,345",30.30%
178,A Perfect Getaway,"$22,938,329","$15,515,460",67.60%,"$7,422,869",32.40%
179,Dorian Gray,"$22,873,653",-,-,"$22,873,653",100%
180,Men in the City,"$22,420,615",-,-,"$22,420,615",100%
181,Neuilly Yo Mama!,"$22,243,482",-,-,"$22,243,482",100%
182,OSS 117: Lost in Rio,"$21,924,245","$89,375",0.40%,"$21,834,870",99.60%
183,The Rebound,"$21,791,288",-,-,"$21,791,288",100%
184,My Girlfriend Is an Agent,"$21,056,256",-,-,"$21,056,256",100%
185,Black Lightning,"$20,984,902",-,-,"$20,984,902",100%
186,Love Aaj Kal,"$20,794,985","$2,430,083",11.70%,"$18,364,902",88.30%
187,I Love You Phillip Morris,"$20,768,906","$2,037,459",9.80%,"$18,731,447",90.20%
188,Pandemic,"$20,712,567",-,-,"$20,712,567",100%
189,Pandorum,"$20,648,328","$10,330,853",50%,"$10,317,475",50%
190,My Life in Ruins,"$20,455,482","$8,665,206",42.40%,"$11,790,276",57.60%
191,Cado dalle nubi,"$20,123,466",-,-,"$20,123,466",100%
192,Solomon Kane,"$19,652,185",-,-,"$19,652,185",100%
193,Amelia,"$19,643,086","$14,246,488",72.50%,"$5,396,598",27.50%
194,Drop,"$19,611,028",-,-,"$19,611,028",100%
195,High Security Vacation,"$19,487,557",-,-,"$19,487,557",100%
196,Kamen Rider Decade: All Riders vs. Dai-Shocker,"$19,418,091",-,-,"$19,418,091",100%
197,Ballad,"$19,328,678",-,-,"$19,328,678",100%
198,The White Ribbon,"$19,319,671","$2,222,862",11.50%,"$17,096,809",88.50%
199,Cell 211,"$19,300,483",-,-,"$19,300,483",100%
200,Taras Bulba,"$18,874,808",-,-,"$18,874,808",100%
