Rank,Release Group,Worldwide,Domestic,%,Foreign,%
73,Birdman or (The Unexpected Virtue of Ignorance),"$103,215,094","$42,340,598",41%,"$60,874,496",59%
74,Transcendence,"$103,039,258","$23,022,309",22.30%,"$80,016,949",77.70%
75,Heaven Is for Real,"$101,888,019","$91,443,253",89.70%,"$10,444,766",10.30%
76,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","$100,654,149","$66,954,149",66.50%,"$33,700,000",33.50%
77,Tammy,"$100,375,432","$84,525,432",84.20%,"$15,850,000",15.80%
78,PK,"$100,370,104","$10,616,104",10.60%,"$89,754,000",89.40%
79,The Continent,"$100,125,957",-,-,"$100,125,957",100%
80,The Book of Life,"$99,783,556","$50,151,543",50.30%,"$49,632,013",49.70%
81,Ode to My Father,"$99,085,291","$2,300,121",2.30%,"$96,785,170",97.70%
82,Fleet of Time,"$94,244,191","$569,280",0.60%,"$93,674,911",99.40%
83,The Man from Macau,"$93,864,936",-,-,"$93,864,936",100%
84,Paranormal Activity: The Marked Ones,"$90,894,962","$32,462,372",35.70%,"$58,432,590",64.30%
85,The Hundred-Foot Journey,"$89,514,453","$54,240,821",60.60%,"$35,273,632",39.40%
86,Deliver Us from Evil,"$87,937,815","$30,577,122",34.80%,"$57,360,693",65.20%
87,A Million Ways to Die in the West,"$87,189,756","$43,139,300",49.50%,"$44,050,456",50.50%
88,Step Up All In,"$86,165,646","$14,904,384",17.30%,"$71,261,262",82.70%
89,John Wick,"$86,013,056","$43,037,835",50%,"$42,975,221",50%
90,The Judge,"$84,419,388","$47,119,388",55.80%,"$37,300,000",44.20%
91,Tiny Times 3.0,"$82,320,000",-,-,"$82,320,000",100%
92,Gone with the Bullets,"$81,387,479",-,-,"$81,387,479",100%
93,Muppets Most Wanted,"$80,383,113","$51,183,113",63.70%,"$29,200,000",36.30%
94,Spanish Affair,"$78,768,613",-,-,"$78,768,613",100%
95,If I Stay,"$78,274,843","$50,474,843",64.50%,"$27,800,000",35.50%
96,Head Full of Honey,"$78,127,384",-,-,"$78,127,384",100%
97,"I, Frankenstein","$76,801,179","$19,075,290",24.80%,"$57,725,889",75.20%
98,Crimson Peak,"$74,679,822","$31,090,320",41.60%,"$43,589,502",58.40%
99,My Old Classmate,"$73,052,128",-,-,"$73,052,128",100%
100,The Bélier Family,"$72,751,538",-,-,"$72,751,538",100%
101,Brick Mansions,"$71,416,730","$20,396,829",28.60%,"$51,019,901",71.40%
102,Son of God,"$70,829,270","$59,700,064",84.30%,"$11,129,206",15.70%
103,Think Like a Man Too,"$70,181,428","$65,182,182",92.90%,"$4,999,246",7.10%
104,Jersey Boys,"$67,647,013","$47,047,013",69.50%,"$20,600,000",30.50%
105,The Giver,"$66,980,456","$45,090,374",67.30%,"$21,890,082",32.70%
106,Selma,"$66,787,908","$52,076,908",78%,"$14,711,000",22%
107,Beijing Love Story,"$65,842,375","$428,318",0.70%,"$65,414,057",99.30%
108,The House That Never Dies,"$65,220,000",-,-,"$65,220,000",100%
109,The Pirates,"$64,858,224","$415,775",0.60%,"$64,442,449",99.40%
110,God's Not Dead,"$64,667,874","$60,755,732",94%,"$3,912,142",6%
111,The Pirate Fairy,"$63,998,725",-,-,"$63,998,725",100%
112,The Inbetweeners 2,"$63,852,235",-,-,"$63,852,235",100%
113,Begin Again,"$63,464,861","$16,170,632",25.50%,"$47,294,229",74.50%
114,The White Haired Witch of Lunar Kingdom,"$62,515,046",-,-,"$62,515,046",100%
115,The Walk,"$61,181,942","$10,137,502",16.60%,"$51,044,440",83.40%
116,Miss Granny,"$58,940,254",-,-,"$58,940,254",100%
117,A Walk Among the Tombstones,"$58,834,384","$26,307,600",44.70%,"$32,526,784",55.30%
118,Dolphin Tale 2,"$57,824,533","$42,024,533",72.70%,"$15,800,000",27.30%
119,St. Vincent,"$54,837,234","$44,137,712",80.50%,"$10,699,522",19.50%
120,No Good Deed,"$54,323,210","$52,543,632",96.70%,"$1,779,578",3.30%
121,Overheard 3,"$53,493,428",-,-,"$53,493,428",100%
122,Supercondriaque,"$53,425,036",-,-,"$53,425,036",100%
123,3 Days to Kill,"$53,260,230","$30,697,999",57.60%,"$22,562,231",42.40%
124,Rurouni Kenshin Part II: Kyoto Inferno,"$52,696,176",-,-,"$52,696,176",100%
125,Wild,"$52,501,541","$37,880,356",72.20%,"$14,621,185",27.80%
126,Magic in the Moonlight,"$51,029,361","$10,539,326",20.70%,"$40,490,035",79.30%
127,About Last Night,"$50,445,860","$48,637,684",96.40%,"$1,808,176",3.60%
128,Dearest 2014 Re-release,"$50,000,583",-,-,"$50,000,583",100%
129,Whiplash,"$48,982,041","$13,092,000",26.70%,"$35,890,041",73.30%
130,Chef,"$48,428,048","$31,424,003",64.90%,"$17,004,045",35.10%
131,Boyhood,"$48,137,666","$25,352,281",52.70%,"$22,785,385",47.30%
132,Coming Home,"$47,587,984","$377,607",0.80%,"$47,210,377",99.20%
133,Beauty and the Beast,"$47,430,624",-,-,"$47,430,624",100%
134,Nightcrawler,"$47,398,992","$32,381,217",68.30%,"$15,017,775",31.70%
135,Earth to Echo,"$45,681,062","$38,934,842",85.20%,"$6,746,220",14.80%
136,That Awkward Moment,"$45,640,143","$26,068,955",57.10%,"$19,571,188",42.90%
137,Love on the Cloud,"$45,386,560","$271,734",0.60%,"$45,114,826",99.40%
138,Oculus,"$44,446,287","$27,695,246",62.30%,"$16,751,041",37.70%
139,The Great Hypnotist,"$44,077,818",-,-,"$44,077,818",100%
140,Kick,"$43,996,483","$2,472,695",5.60%,"$41,523,788",94.40%
141,Asterix and Obelix: Mansion of the Gods,"$42,830,578",-,-,"$42,830,578",100%
142,Thermae Romae II,"$42,473,163",-,-,"$42,473,163",100%
143,Bang Bang,"$42,045,981","$2,546,172",6.10%,"$39,499,809",93.90%
144,Detective Conan: The Sniper from Another Dimension,"$42,028,116",-,-,"$42,028,116",100%
145,Rurouni Kenshin: The Legend Ends,"$41,900,000",-,-,"$41,900,000",100%
146,"As Above, So Below","$41,898,409","$21,321,100",50.90%,"$20,577,309",49.10%
147,This Is Where I Leave You,"$41,296,320","$34,296,320",83%,"$7,000,000",17%
148,Boonie Bears: To the Rescue,"$40,163,675",-,-,"$40,163,675",100%
149,The November Man,"$39,661,919","$25,018,119",63.10%,"$14,643,800",36.90%
150,Recep Ivedik 4,"$39,477,906",-,-,"$39,477,906",100%
151,Sin City: A Dame to Kill For,"$39,407,616","$13,757,804",34.90%,"$25,649,812",65.10%
152,The Gambler,"$39,280,992","$33,680,992",85.70%,"$5,600,000",14.30%
153,Samba,"$39,178,695","$151,530",0.40%,"$39,027,165",99.60%
154,Women Who Flirt,"$39,156,132","$375,495",1%,"$38,780,637",99%
155,Forbidden Empire 2014 Re-release,"$38,885,962",-,-,"$38,885,962",100%
156,The Best of Me,"$38,609,668","$26,766,213",69.30%,"$11,843,455",30.70%
157,Million Dollar Arm,"$38,483,455","$36,457,627",94.70%,"$2,025,828",5.30%
158,The Water Diviner,"$38,176,317","$4,196,641",11%,"$33,979,676",89%
159,But Always,"$38,039,248","$430,760",1.10%,"$37,608,488",98.90%
160,Devil's Due,"$36,921,560","$15,821,461",42.90%,"$21,100,099",57.10%
161,A Most Wanted Man,"$36,233,517","$17,237,855",47.60%,"$18,995,662",52.40%
162,Kundo: Age of the Rampant,"$35,941,291","$280,958",0.80%,"$35,660,333",99.20%
163,Doraemon the Movie: The New Records of Nobita's Spaceblazer 2014 Re-release,"$35,861,856",-,-,"$35,861,856",100%
164,When Marnie Was There,"$34,949,567","$561,085",1.60%,"$34,388,482",98.40%
165,Endless Love,"$34,718,173","$23,438,250",67.50%,"$11,279,923",32.50%
166,Black & White: The Dawn of Justice,"$34,146,896",-,-,"$34,146,896",100%
167,"My Love, Don't Cross That River","$34,012,261",-,-,"$34,012,261",100%
168,Don't Go Breaking My Heart 2,"$33,801,759",-,-,"$33,801,759",100%
