Rank,Movie,Distributor,Domestic,Opening,Max
1,How the Grinch Stole Christmas,Universal,"$260,348,825","$55,820,330","3,256"
2,Cast Away,20th Cent…,"$233,632,142","$28,883,406","3,061"
3,Mission: Impossible 2,Paramount…,"$215,409,889","$57,845,297","3,669"
4,Gladiator,Dreamwork…,"$187,683,805","$34,819,017","3,188"
5,What Women Want,Paramount…,"$182,805,123","$33,614,543","3,092"
6,The Perfect Storm,Warner Bros.,"$182,618,434","$41,325,042","3,407"
7,Meet the Parents,Universal,"$166,225,040","$28,623,300","2,697"
8,X-Men,20th Cent…,"$157,299,717","$54,471,475","3,112"
9,Scary Movie,Miramax/D…,"$157,019,771","$42,346,669","3,301"
10,What Lies Beneath,Dreamwork…,"$155,464,351","$29,702,959","2,925"
11,Dinosaur,Walt Disney,"$137,748,063","$38,854,851","3,319"
12,"Crouching Tiger, Hidden Dragon",Sony Pict…,"$128,519,357","$663,205","2,027"
13,Erin Brockovich,Universal,"$125,548,685","$28,138,465","3,265"
14,Charlie's Angels,Sony Pict…,"$125,305,545","$40,128,550","3,037"
15,Traffic,USA Films,"$124,107,476","$184,725","1,755"
16,Nutty Professor II: The Klumps,Universal,"$123,307,945","$42,518,830","3,251"
17,Big Momma's House,20th Cent…,"$117,559,438","$25,661,041","2,854"
18,Remember the Titans,Walt Disney,"$115,719,751","$20,905,831","2,803"
19,The Patriot,Sony Pict…,"$113,330,342","$22,413,710","3,061"
20,Miss Congeniality,Warner Bros.,"$106,807,667","$13,853,686","2,669"
21,Chicken Run,Dreamwork…,"$106,793,915","$17,506,162","2,953"
22,Gone in 60 Seconds,Walt Disney,"$101,643,008","$25,336,048","3,089"
23,Unbreakable,Walt Disney,"$94,999,143","$30,330,771","2,790"
24,"Me, Myself & Irene",20th Cent…,"$90,570,999","$24,209,385","3,087"
25,Space Cowboys,Warner Bros.,"$90,454,043","$18,093,776","2,835"
26,The Emperor's New Groove,Walt Disney,"$89,630,573","$9,812,302","2,887"
27,Scream 3,Miramax,"$89,138,076","$34,713,342","3,467"
28,U-571,Universal,"$77,086,030","$19,553,310","2,820"
29,Rugrats in Paris,Paramount…,"$76,501,438","$22,718,184","2,957"
30,The Family Man,Universal,"$75,764,085","$15,104,055","2,441"
31,Hollow Man,Sony Pict…,"$73,209,340","$26,414,386","2,956"
32,Chocolat,Miramax,"$71,309,760","$157,624","1,928"
33,Shaft,Paramount…,"$70,327,868","$21,714,757","2,433"
34,The Kid,Walt Disney,"$69,688,384","$12,687,726","2,343"
35,Road Trip,Dreamwork…,"$68,525,609","$15,484,004","2,654"
36,Vertical Limit,Sony Pict…,"$68,473,360","$15,507,845","2,602"
37,Bring it On,Universal,"$68,353,550","$17,362,105","2,466"
38,102 Dalmatians,Walt Disney,"$66,941,559","$19,883,351","2,704"
39,Rules of Engagement,Paramount…,"$61,322,858","$15,011,181","3,220"
40,The Cell,New Line,"$61,280,963","$17,515,050","2,476"
41,Mission to Mars,Walt Disney,"$60,874,615","$22,855,247","3,101"
42,Coyote Ugly,Walt Disney,"$60,786,269","$17,319,282","2,664"
43,Snow Day,Paramount…,"$60,008,303","$14,331,819","2,717"
44,The Whole Nine Yards,Warner Bros.,"$57,262,492","$15,915,676","2,910"
45,Next Friday,New Line,"$57,176,582","$16,918,226","2,012"
46,Shanghai Noon,Walt Disney,"$56,932,305","$19,647,065","2,751"
47,Romeo Must Die,Warner Bros.,"$55,973,336","$18,014,503","2,641"
48,Dolphins,MacGilliv…,"$54,000,000",,
49,Final Destination,New Line,"$53,302,314","$10,015,822","2,587"
50,Finding Forrester,Sony Pict…,"$51,768,623","$701,207","2,002"
51,The Road to El Dorado,Dreamwork…,"$50,802,661","$12,846,652","3,223"
52,Men of Honor,20th Cent…,"$48,814,909","$13,339,465","2,190"
53,"Dude, Where's My Car?",20th Cent…,"$46,729,374","$13,845,914","2,100"
54,The Tigger Movie,Walt Disney,"$45,542,421","$9,427,532","2,820"
55,"O Brother, Where Art Thou?",Walt Disney,"$45,506,619","$195,104",847
56,Frequency,New Line,"$44,983,704","$9,025,584","2,631"
57,The Replacements,Warner Bros.,"$44,737,059","$11,039,214","2,754"
58,Pokemon 2000,Warner Bros.,"$43,746,923","$19,575,608","2,752"
59,The Beach,20th Cent…,"$39,778,599","$15,277,921","2,587"
60,Little Nicky,New Line,"$39,442,871","$16,063,904","2,910"
61,Pitch Black,USA Films,"$39,235,088","$14,015,741","1,930"
62,The Original Kings of Comedy,Paramount…,"$38,168,022","$11,053,832","1,082"
63,Bedazzled,20th Cent…,"$37,879,996","$13,106,526","2,571"
64,Autumn in New York,MGM,"$37,752,931","$10,987,006","2,282"
65,Keeping the Faith,Walt Disney,"$37,036,404","$8,078,671","2,390"
66,28 Days,Sony Pict…,"$37,035,515","$10,310,672","2,560"
67,Bounce,Miramax,"$36,805,288","$11,423,716","2,028"
68,Hanging Up,Sony Pict…,"$36,037,909","$15,710,411","2,620"
69,The Flintstones in Viva Rock Vegas,Universal,"$35,231,365","$10,518,435","3,125"
70,The Skulls,Universal,"$35,007,180","$11,034,885","2,464"
71,Thirteen Days,New Line,"$34,566,746","$46,668","2,034"
72,The 6th Day,Sony Pict…,"$34,543,701","$13,020,883","2,518"
73,My Dog Skip,Warner Bros.,"$34,099,640","$56,943","2,331"
74,Where the Heart Is,20th Cent…,"$33,771,174","$8,292,939","2,439"
75,Pay it Forward,Warner Bros.,"$33,508,922","$9,631,359","2,130"
76,Dracula 2000,Miramax,"$33,000,377","$8,636,567","2,204"
77,Return to Me,MGM,"$32,662,299","$7,820,836","2,320"
78,Proof of Life,Warner Bros.,"$32,598,931","$10,207,869","2,705"
79,Almost Famous,Dreamwork…,"$32,522,352","$2,314,646","2,262"
80,The Legend of Bagger Vance,Dreamwork…,"$30,695,227","$11,516,712","2,162"
81,The Art of War,Warner Bros.,"$30,199,105","$10,410,993","2,630"
82,Snatch,Sony Pict…,"$30,093,107","$27,932","1,444"
83,Bless the Child,Paramount…,"$29,374,178","$9,413,684","2,524"
84,The Watcher,Universal,"$28,946,615","$9,062,295","2,780"
85,Love & Basketball,New Line,"$27,441,122","$8,139,180","1,245"
86,High Fidelity,Walt Disney,"$27,277,055","$6,429,107","1,357"
87,Book of Shadows: Blair Witch 2,Artisan,"$26,421,314","$13,223,887","3,320"
88,The Adventures of Rocky & Bullwinkle,Universal,"$26,000,610","$6,814,270","2,482"
89,Nurse Betty,USA Films,"$25,170,054","$7,145,950","1,491"
90,Reindeer Games,Miramax,"$23,360,779","$8,128,356","2,205"
91,Titan A.E.,20th Cent…,"$22,751,979","$9,376,845","2,775"
92,Billy Elliot,Focus Fea…,"$21,995,263","$215,681",510
93,Boys and Girls,Miramax,"$21,799,652","$7,008,950","1,989"
94,Battlefield Earth: A Saga of the Year 3000,Warner Bros.,"$21,471,685","$11,548,898","3,307"
95,Urban Legends: Final Cut,Sony Pict…,"$21,468,807","$8,505,513","2,539"
96,Down to You,Miramax,"$20,035,310","$7,602,507","2,005"
97,Wonder Boys,Paramount…,"$19,389,454","$5,808,919","1,509"
98,The Ninth Gate,Artisan,"$18,653,746","$6,622,518","1,694"
99,Michael Jordan to the MAX,Giant Scr…,"$18,642,318","$578,141",56
100,Best in Show,Warner Bros.,"$18,621,249","$413,436",497
101,The Contender,Dreamwork…,"$17,804,273","$5,363,900","1,639"
102,Red Planet,Warner Bros.,"$17,480,890","$8,721,296","2,703"
103,Small Time Crooks,Dreamwork…,"$17,266,359","$3,880,723","2,874"
104,Center Stage,Sony Pict…,"$17,200,925","$4,604,621","1,506"
105,Boiler Room,New Line,"$16,963,963","$6,722,884","1,335"
106,Lost Souls,New Line,"$16,779,636","$7,954,766","1,970"
107,Eye of the Beholder,Destinati…,"$16,500,786","$5,959,447","2,351"
108,Thomas and the Magic Railroad,Destinati…,"$15,911,332","$4,154,932","2,110"
109,Cirque du Soleil - Journey of Man,Sony Pict…,"$15,626,076","$49,837",133
110,All the Pretty Horses,Miramax,"$15,527,125",,"1,593"
111,Loser,Sony Pict…,"$15,464,026","$6,008,611","2,016"
112,Drowning Mona,Destinati…,"$15,427,192","$5,802,229","1,981"
113,Bait,Warner Bros.,"$15,325,127","$5,485,591","2,352"
114,Dungeons and Dragons,New Line,"$15,185,241","$7,237,422","2,078"
115,American Psycho,Lionsgate,"$15,070,285","$4,961,015","1,248"
116,The Next Best Thing,Paramount…,"$14,983,572","$5,870,387","2,035"
117,Get Carter,Warner Bros.,"$14,967,182","$6,637,830","2,315"
118,Supernova,MGM,"$14,218,868","$6,731,940","2,280"
119,The Ladies Man,Paramount…,"$13,592,872","$5,426,390","2,043"
120,The Little Vampire,New Line,"$13,555,988","$5,719,627","2,009"
121,Dr. T and the Women,Artisan,"$13,065,561","$5,012,867","1,489"
122,The Crew,Walt Disney,"$13,019,253","$4,051,921","1,515"
123,Highlander: Endgame,Miramax/D…,"$12,801,190","$6,223,330","1,546"
124,Ready to Rumble,Warner Bros.,"$12,372,410","$5,257,778","2,585"
125,Saving Grace,Fine Line,"$12,178,602","$287,452",875
126,The Gift,Paramount…,"$12,008,642","$11,827",807
127,The Legend of Drunken Master,Miramax,"$11,546,543","$3,845,278","1,345"
128,Cyberworld 3D,IMAX Films,"$11,243,857","$278,199",38
129,Here on Earth,20th Cent…,"$10,494,147","$4,510,705","1,750"
130,Godzilla 2000,Sony Pict…,"$10,037,390","$4,407,720","2,111"
131,Lucky Numbers,Paramount…,"$10,014,234","$4,536,625","2,528"
132,3 Strikes,MGM,"$9,821,335","$3,684,704",678
133,Digimon: The Movie,20th Cent…,"$9,628,751","$4,233,304","1,825"
134,You Can Count on Me,Paramount…,"$9,180,275","$118,170",150
135,Whatever it Takes,Sony Pict…,"$8,735,529","$4,104,298","2,272"
136,Pollock,Sony Pict…,"$8,596,914","$44,244",280
137,Shadow of the Vampire,Lionsgate,"$8,279,017","$108,189",513
138,Quills,Fox Searc…,"$7,060,876","$249,383",223
139,Screwed,Universal,"$6,982,680","$3,342,085","1,761"
140,State and Main,Fine Line,"$6,920,692","$580,163",462
141,I Dreamed of Africa,Sony Pict…,"$6,543,194","$2,411,445","2,112"
142,What Planet Are You From?,Sony Pict…,"$6,291,602","$3,008,746","2,248"
143,Croupier,Shooting …,"$6,201,143","$63,472",141
144,The Way of the Gun,Artisan,"$6,047,856","$2,150,979","1,565"
145,Where the Money Is,USA Films,"$5,658,940","$2,513,530","1,538"
146,Black and White,Sony Pict…,"$5,241,315","$2,212,535","1,284"
147,The In Crowd,Warner Bros.,"$5,217,498","$1,505,551","1,357"
148,Gossip,Warner Bros.,"$5,108,820","$2,321,729","1,525"
149,Woman on Top,Fox Searc…,"$5,018,450","$2,008,191","1,086"
150,Alien Adventure,nWave Pic…,"$5,017,383","$38,410",10
151,The Virgin Suicides,Paramount…,"$4,859,475","$235,122",275
152,Duets,Walt Disney,"$4,734,235","$2,002,588",583
