Rank,Movie,Distributor,Domestic,Opening,Max
1,Spider-Man: No Way Home,Sony Pict…,"$814,115,070","$260,138,569","4,336"
2,Shang-Chi and the Legend of the Ten Rings,Walt Disney,"$224,543,292","$75,388,688","4,300"
3,Venom: Let There be Carnage,Sony Pict…,"$213,550,366","$90,033,210","4,225"
4,Black Widow,Walt Disney,"$183,651,655","$80,366,312","4,275"
5,F9: The Fast Saga,Universal,"$173,005,945","$70,043,165","4,203"
6,Eternals,Walt Disney,"$164,870,264","$71,297,219","4,090"
7,Sing 2,Universal,"$162,790,990","$22,326,230","3,892"
8,No Time to Die,United Ar…,"$160,891,007","$55,225,007","4,407"
9,A Quiet Place: Part II,Paramount…,"$160,215,764","$47,547,231","3,744"
10,Ghostbusters: Afterlife,Sony Pict…,"$129,360,575","$44,008,406","4,315"
11,Free Guy,20th Cent…,"$121,626,598","$28,365,416","4,165"
12,Jungle Cruise,Walt Disney,"$116,987,516","$35,018,731","4,310"
13,Dune,Warner Bros.,"$108,327,830","$41,011,174","4,125"
14,Godzilla vs. Kong,Warner Bros.,"$100,916,094","$32,200,000","3,084"
15,Encanto,Walt Disney,"$96,093,622","$27,206,494","3,980"
16,Halloween Kills,Universal,"$92,002,155","$49,404,980","3,727"
17,Cruella,Walt Disney,"$86,103,234","$21,496,997","3,922"
18,Space Jam: A New Legacy,Warner Bros.,"$70,592,228","$31,053,362","4,002"
19,The Conjuring: The Devil Made Me Do It,Warner Bros.,"$65,631,050","$24,104,332","3,280"
20,Candyman,Universal,"$61,186,570","$22,001,750","3,569"
21,The Boss Baby: Family Business,Universal,"$57,300,280","$16,000,665","3,688"
22,The Addams Family 2,United Ar…,"$56,489,153","$17,325,007","4,207"
23,The Suicide Squad,Warner Bros.,"$55,817,425","$26,205,415","4,019"
24,Raya and the Last Dragon,Walt Disney,"$54,723,032","$8,502,498","2,375"
25,House of Gucci,United Ar…,"$53,809,574","$14,423,794","3,477"
26,Kimetsu no Yaiba: Mugen Ressha-Hen,FUNimation,"$49,888,502","$22,789,600","2,087"
27,Clifford the Big Red Dog,Paramount…,"$48,947,356","$16,627,491","3,700"
28,Old,Universal,"$48,276,510","$16,854,735","3,379"
29,Tom and Jerry,Warner Bros.,"$46,536,687","$14,112,629","2,563"
30,The Forever Purge,Universal,"$44,539,245","$12,551,220","3,058"
31,Mortal Kombat,Warner Bros.,"$42,326,031","$23,302,503","3,114"
32,Peter Rabbit 2: The Runaway,Sony Pict…,"$40,501,717","$10,101,066","3,346"
33,The Matrix Resurrections,Warner Bros.,"$40,463,197","$10,749,011","3,552"
34,PAW Patrol: The Movie,Paramount…,"$40,127,371","$13,148,340","3,189"
35,West Side Story,20th Cent…,"$38,530,322","$10,574,618","2,820"
36,The Hitman’s Wife’s Bodyguard,Lionsgate,"$38,014,727","$11,397,820","3,361"
37,The King’s Man,20th Cent…,"$37,176,373","$5,915,542","3,180"
38,Don’t Breathe 2,Sony Pict…,"$32,638,038","$10,622,473","3,005"
39,In the Heights,Warner Bros.,"$29,975,167","$11,504,710","3,509"
40,Snake Eyes: G.I. Joe Origins,Paramount…,"$28,264,325","$13,367,853","3,540"
41,Nobody,Universal,"$27,568,035","$6,820,100","2,567"
42,Wrath of Man,United Ar…,"$27,466,489","$8,309,007","3,007"
43,American Underdog: The Kurt Warner Story,Lionsgate,"$26,514,814","$5,861,836","2,813"
44,Escape Room: Tournament of Champions,Sony Pict…,"$25,314,753","$8,801,391","2,815"
45,Respect,United Ar…,"$24,278,399","$8,807,513","3,207"
46,Spiral,Lionsgate,"$23,216,862","$8,750,034","2,991"
47,Ron’s Gone Wrong,20th Cent…,"$23,009,270","$7,300,225","3,560"
48,Spirit Untamed,Universal,"$17,716,215","$6,101,050","3,394"
49,Licorice Pizza,United Ar…,"$17,318,007","$345,157","1,977"
50,The Green Knight,A24,"$17,173,321","$6,745,121","2,798"
51,Resident Evil: Welcome to Raccoon City,Sony Pict…,"$17,000,612","$5,319,280","2,803"
52,The French Dispatch,Searchlig…,"$16,124,375","$1,348,804","1,225"
53,The Marksman,Open Road,"$15,566,093","$3,104,204","2,018"
54,The Unholy,Sony Pict…,"$15,532,137","$3,153,456","2,057"
55,The Little Things,Warner Bros.,"$15,342,746","$4,705,527","2,206"
56,King Richard,Warner Bros.,"$15,138,334","$5,406,033","3,302"
57,Dear Evan Hansen,Universal,"$15,002,646","$7,442,625","3,364"
58,Stillwater,Focus Fea…,"$14,465,535","$5,188,150","2,611"
59,Malignant,Warner Bros.,"$13,391,791","$5,434,620","3,501"
60,Christmas with the Chosen: The Messengers,Fathom Ev…,"$13,388,000","$4,245,000","1,700"
61,Chaos Walking,Lionsgate,"$13,287,908","$3,775,350","2,132"
62,Nightmare Alley,Searchlig…,"$11,338,107","$2,811,703","2,145"
63,The Last Duel,20th Cent…,"$10,853,945","$4,759,151","3,065"
64,Antlers,Searchlig…,"$10,619,670","$4,271,346","2,800"
65,Cry Macho,Warner Bros.,"$10,310,734","$4,426,161","4,022"
66,Last Night in Soho,Focus Fea…,"$10,127,625","$4,178,460","3,016"
67,Boku no Hero Academia: World Heroes’ Mission,FUNimation,"$9,767,647","$6,219,176","1,581"
68,Belfast,Focus Fea…,"$9,250,870","$1,779,410","1,255"
69,The Many Saints of Newark,Warner Bros.,"$8,237,403","$4,651,571","3,181"
70,The Protégé,Lionsgate,"$7,446,823","$2,908,221","2,577"
71,Those Who Wish Me Dead,Warner Bros.,"$7,407,200","$2,830,000","3,379"
72,The Night House,Searchlig…,"$7,100,581","$2,859,409","2,240"
73,Spencer,Neon,"$7,086,632","$2,104,767","1,265"
74,Ironbark,Roadside …,"$6,613,432","$1,885,829","1,641"
75,A Journal for Jordan,Sony Pict…,"$6,545,174","$1,211,089","2,500"
76,Judas and the Black Messiah,Warner Bros.,"$5,478,009","$2,027,076","1,906"
77,Roadrunner: A Film About Anthony Bourdain,Focus Fea…,"$5,354,970","$1,988,795",954
78,CopShop,Open Road,"$5,213,243","$2,315,638","3,005"
79,Zola,A24,"$4,844,399","$1,200,013","1,468"
80,Separation,Open Road,"$4,509,143","$1,800,162","1,911"
81,Boogie,Focus Fea…,"$4,178,620","$1,200,165","1,272"
82,Reminiscence,Warner Bros.,"$3,900,193","$1,950,793","3,265"
83,Nomadland,Searchlig…,"$3,700,000",,"1,200"
84,12 Mighty Orphans,Sony Pict…,"$3,688,723","$251,569","1,047"
85,Pig,Neon,"$3,186,667","$970,935",588
86,The Girl Who Believes In Miracles,Atlas Dis…,"$3,163,362","$546,000","1,012"
87,Voyagers,Lionsgate,"$3,149,935","$1,379,988","1,996"
88,Dream Horse,Bleecker …,"$2,913,328","$794,741","1,284"
89,The House Next Door: Meet the Blacks 2,HEFG Rele…,"$2,893,660","$1,011,756",539
90,Here Today,Sony Pict…,"$2,807,494","$1,042,171","1,230"
91,Finding You,Roadside …,"$2,753,985","$920,476","1,447"
92,Lamb,A24,"$2,676,410","$1,000,089",865
93,The Card Counter,Focus Fea…,"$2,657,850","$1,039,580",739
94,Land,Focus Fea…,"$2,577,830","$899,810","1,349"
95,The Eyes of Tammy Faye,Searchlig…,"$2,404,127","$652,358","1,352"
96,Doraibu mai kâ,Janus Films,"$2,352,240","$13,775",213
97,"Summer of Soul (…Or, When the Revolution Could …",Searchlig…,"$2,320,649","$647,634",752
98,Madres paralelas,Sony Pict…,"$2,297,501","$38,249",684
99,After We Fell,Vertical …,"$2,170,750","$426,457","1,294"
100,The Father,Sony Pict…,"$2,120,992",,933
101,C’mon C’mon,A24,"$2,005,481","$134,447",569
102,Queen Bees,Gravitas …,"$1,926,706","$375,232",600
103,Show Me the Father,Sony Pict…,"$1,803,226","$700,181","1,073"
104,Profile,Focus Fea…,"$1,744,740","$730,290","2,104"
105,Titane,Neon,"$1,442,988","$533,397",562
106,Together Together,Bleecker …,"$1,436,324","$532,773",665
107,Joe Bell,Roadside …,"$1,405,488","$749,635","1,094"
108,Honsla Rakh,,"$1,319,170",,68
109,Wrong Turn,Saban Films,"$1,251,184","$107,897",259
110,CS Lewis: The Most Reluctant Convert,Trafalgar…,"$1,205,000",,400
111,God’s Not Dead: We the People,Pinnacle …,"$1,170,387",,685
112,In the Earth,Neon,"$1,113,722","$505,723","1,094"
113,Red Rocket,A24,"$1,039,866","$96,593",385
114,True To The Game 3,Faith Med…,"$1,038,255","$573,031",440
115,Long Weekend,Sony Pict…,"$1,018,532","$245,182",821
116,The Jesus Music,Lionsgate,"$1,016,725","$548,848",270
117,Un rescate de huevitos,Lionsgate,"$927,154","$428,034",320
118,Witnesses,Purdie Di…,"$855,765","$134,490",90
119,The Alpinist,Fathom Ev…,"$844,743","$318,648",245
